PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Aaron Nesmith,36:06,11,16,68.8,6,7,85.7,2,2,100,2,2,4,2,1,0,0,3,30,27
Pascal Siakam,39:00,12,22,54.5,2,7,28.6,0,1,0.0,4,3,7,2,0,2,4,3,26,-2
Myles Turner,29:46,4,13,30.8,2,10,20.0,4,4,100,2,2,4,2,1,0,1,1,14,4
Andrew Nembhard,31:34,3,7,42.9,1,2,50.0,0,0,0.0,0,3,3,2,1,1,2,3,7,27
Tyrese Haliburton,36:34,9,16,56.3,2,6,33.3,4,5,80.0,0,6,6,15,5,0,0,1,24,12
Bennedict Mathurin,11:54,2,3,66.7,2,2,100,0,0,0.0,0,1,1,0,0,0,1,0,6,-34
Obi Toppin,22:34,3,9,33.3,2,6,33.3,0,1,0.0,0,3,3,3,1,1,3,1,8,-2
,16:17,2,8,25.0,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,2,4,-34
Ben Sheppard,11:35,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,-19
Thomas Bryant,4:40,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-14
Tony Bradley,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Enrique Freeman,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Quenton Jackson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
James Johnson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Jarace Walker,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,46,96,47.9,17,43,39.5,10,13,76.9,10,22,32,29,9,4,11,15,119,-7
Kyle Kuzma,31:43,4,11,36.4,0,4,0.0,0,0,0.0,2,6,8,0,3,0,1,2,8,-5
Giannis Antetokounmpo,34:33,14,19,73.7,0,0,0.0,6,6,100,1,9,10,7,1,3,6,6,34,2
Brook Lopez,32:56,4,5,80.0,1,1,100,1,1,100,0,2,2,1,0,0,4,2,10,-5
Taurean Prince,34:53,4,6,66.7,2,4,50.0,4,4,100,1,2,3,1,5,1,1,1,14,-3
Damian Lillard,36:33,7,15,46.7,6,12,50.0,5,5,100,1,9,10,8,0,0,2,3,25,-10
Gary Trent Jr,23:29,5,9,55.6,3,6,50.0,0,0,0.0,0,4,4,3,0,0,0,1,13,23
Kevin Porter Jr,18:59,3,7,42.9,1,4,25.0,9,9,100,1,5,6,4,0,0,0,0,16,13
Jericho Sims,11:26,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,18
Andre Jackson Jr,0:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
AJ Green,15:19,2,7,28.6,2,6,33.3,0,1,0.0,1,0,1,3,0,0,1,0,6,2
Pat Connaughton,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Chris Livingston,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Ryan Rollins,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Tyler Smith,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,43,79,54.4,15,37,40.5,25,26,96.2,7,38,45,28,9,4,15,16,126,7
