PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Andrew Wiggins,21:42,3,8,37.5,1,5,20.0,1,1,100,0,0,0,1,0,0,1,3,8,-20
Bam Adebayo,29:59,7,15,46.7,2,4,50.0,2,2,100,2,4,6,0,1,2,3,1,18,-29
Kel'el Ware,35:44,8,14,57.1,2,6,33.3,1,3,33.3,2,9,11,1,1,0,1,5,19,-14
Duncan Robinson,13:18,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,1,0,0,1,2,0,-14
Tyler Herro,22:28,3,12,25.0,1,4,25.0,1,1,100,0,2,2,7,2,1,1,0,8,-23
Kyle Anderson,29:49,5,8,62.5,1,3,33.3,2,2,100,1,5,6,5,1,0,2,1,13,-22
Davion Mitchell,19:32,1,4,25.0,1,2,50.0,0,0,0.0,1,1,2,2,1,1,2,1,3,-1
Jaime Jaquez Jr,26:46,4,10,40.0,0,2,0.0,5,6,83.3,3,2,5,3,0,0,2,1,13,-17
Terry Rozier,26:34,2,9,22.2,1,6,16.7,0,0,0.0,0,3,3,2,0,0,1,0,5,-16
Pelle Larsson,14:08,2,5,40.0,0,2,0.0,0,0,0.0,1,1,2,2,0,0,0,2,4,-14
Haywood Highsmith,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Kevin Love,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,35,88,39.8,9,37,24.3,12,15,80.0,10,27,37,24,6,4,14,16,91,-34
Jaylen Wells,26:08,3,9,33.3,1,5,20.0,1,2,50.0,0,3,3,2,0,0,1,1,8,18
Jaren Jackson Jr,32:57,13,18,72.2,1,4,25.0,4,4,100,1,5,6,1,0,2,3,3,31,11
Zach Edey,27:12,5,9,55.6,0,1,0.0,2,2,100,5,3,8,1,0,2,2,4,12,11
Desmond Bane,30:27,9,16,56.3,4,5,80.0,0,0,0.0,0,10,10,8,2,0,2,1,22,32
Luke Kennard,29:12,5,8,62.5,1,3,33.3,0,0,0.0,1,3,4,4,0,0,1,2,11,12
Scotty Pippen Jr,29:24,4,10,40.0,2,3,66.7,1,1,100,1,5,6,11,2,1,1,2,11,22
Brandon Clarke,13:55,6,7,85.7,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,12,17
Lamar Stevens,19:18,3,6,50.0,0,2,0.0,1,1,100,1,4,5,1,1,1,0,0,7,21
Cam Spencer,18:00,2,5,40.0,2,4,50.0,0,0,0.0,1,1,2,3,0,0,0,1,6,7
GG Jackson,8:11,1,4,25.0,1,4,25.0,2,2,100,0,2,2,0,1,0,0,1,5,3
John Konchar,2:38,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,8
Marvin Bagley II,2:38,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,8
Jay Huff,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,51,92,55.4,12,31,38.7,11,12,91.7,11,40,51,31,7,6,10,16,125,34
