PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Luguentz Dort,26:48,3,6,50.0,1,4,25.0,0,0,0.0,2,5,7,1,0,1,3,2,7,27
Kenrich Williams,31:09,5,9,55.6,0,4,0.0,0,0,0.0,2,3,5,1,0,0,1,3,10,12
Isaiah Hartenstein,30:35,5,9,55.6,0,0,0.0,2,4,50.0,4,6,10,5,2,3,5,4,12,-1
Cason Wallace,35:45,9,15,60.0,2,4,50.0,0,0,0.0,1,4,5,0,3,0,3,4,20,0
Shai Gilgeous-Alexander,37:55,17,26,65.4,4,6,66.7,10,10,100,0,4,4,6,3,1,2,1,48,18
Jaylin Williams,17:25,0,5,0.0,0,4,0.0,2,4,50.0,0,8,8,1,0,2,1,1,2,7
Alex Caruso,20:53,0,4,0.0,0,1,0.0,3,4,75.0,0,0,0,1,3,1,2,1,3,-17
Isaiah Joe,33:25,4,13,30.8,3,11,27.3,0,0,0.0,1,3,4,1,0,0,0,1,11,-5
Dillon Jones,3:56,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-5
Ousmane Dieng,1:45,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
Adam Flagler,0:25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Aaron Wiggins,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,43,89,48.3,10,34,29.4,17,22,77.3,10,34,44,17,11,8,17,20,113,6
Ausar Thompson,20:40,3,7,42.9,1,1,100,1,2,50.0,3,1,4,1,1,0,3,3,8,-16
Tobias Harris,34:24,6,12,50.0,2,3,66.7,4,4,100,0,7,7,0,0,0,0,1,18,-15
Jalen Duren,28:34,3,6,50.0,0,0,0.0,2,4,50.0,1,4,5,2,0,0,3,3,8,-15
Tim Hardaway Jr,32:12,4,10,40.0,3,7,42.9,0,0,0.0,0,1,1,0,1,0,0,1,11,-10
Cade Cunningham,29:01,5,18,27.8,0,4,0.0,1,1,100,0,7,7,9,0,0,3,0,11,-28
Malik Beasley,27:54,6,11,54.5,3,7,42.9,0,0,0.0,0,0,0,2,1,0,4,1,15,10
Dennis Schroder,26:47,6,12,50.0,4,8,50.0,1,2,50.0,0,3,3,11,1,0,0,2,17,21
Isaiah Stewart,18:17,4,4,100,1,1,100,0,0,0.0,2,5,7,0,2,3,1,3,9,6
Simone Fontecchio,12:39,2,4,50.0,0,1,0.0,0,0,0.0,0,2,2,2,1,0,0,2,4,15
Ronald Holland I,9:33,3,4,75.0,0,1,0.0,0,0,0.0,0,3,3,2,1,0,3,5,6,2
Paul Reed,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Marcus Sasser,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Lindy Waters II,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,42,88,47.7,14,33,42.4,9,13,69.2,6,33,39,29,8,3,17,21,107,-6
