PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Kenrich Williams,18:38,0,3,0.0,0,2,0.0,0,0,0.0,1,5,6,5,1,0,1,3,0,16
Chet Holmgren,35:28,6,9,66.7,2,4,50.0,2,4,50.0,1,7,8,3,0,0,2,3,16,4
Isaiah Hartenstein,32:26,11,15,73.3,0,0,0.0,2,3,66.7,2,10,12,3,0,0,2,3,24,23
Cason Wallace,27:01,4,7,57.1,1,2,50.0,0,0,0.0,1,3,4,1,1,0,1,2,9,4
Shai Gilgeous-Alexander,33:35,11,27,40.7,0,5,0.0,9,11,81.8,1,1,2,8,0,1,1,1,31,8
Dillon Jones,6:13,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,7
Jaylin Williams,13:47,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,4,3,-6
Alex Caruso,22:58,4,6,66.7,0,1,0.0,2,3,66.7,0,3,3,5,1,1,1,2,10,10
Isaiah Joe,29:39,6,12,50.0,5,9,55.6,2,2,100,0,6,6,2,0,0,1,1,19,4
Aaron Wiggins,19:11,3,8,37.5,1,4,25.0,2,2,100,2,2,4,3,0,1,0,0,9,9
Adam Flagler,1:05,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,1
Ousmane Dieng,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,46,89,51.7,10,29,34.5,19,25,76.0,8,42,50,30,3,3,9,20,121,16
Kyle Kuzma,26:12,4,11,36.4,2,5,40.0,0,0,0.0,0,1,1,2,0,1,1,5,10,-12
Giannis Antetokounmpo,35:57,7,15,46.7,0,0,0.0,7,12,58.3,3,9,12,10,1,2,1,1,21,-13
Brook Lopez,32:43,3,8,37.5,0,3,0.0,2,2,100,2,3,5,0,1,2,2,3,8,-11
Taurean Prince,24:41,3,6,50.0,0,2,0.0,0,1,0.0,0,1,1,1,2,0,1,1,6,-15
Damian Lillard,29:07,3,9,33.3,2,4,50.0,11,11,100,0,1,1,2,1,0,1,0,19,-15
Kevin Porter Jr,18:33,3,9,33.3,3,4,75.0,2,2,100,0,4,4,1,0,0,0,2,11,5
Gary Trent Jr,25:10,4,11,36.4,3,9,33.3,1,2,50.0,0,1,1,2,2,0,0,2,12,-11
Jericho Sims,11:58,0,2,0.0,0,0,0.0,0,0,0.0,3,1,4,1,0,1,1,2,0,1
AJ Green,18:39,3,5,60.0,2,4,50.0,0,0,0.0,0,2,2,1,0,0,1,3,8,-10
Andre Jackson Jr,4:37,1,2,50.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,2
Pat Connaughton,4:37,0,1,0.0,0,0,0.0,2,2,100,0,0,0,1,0,0,0,1,2,2
Ryan Rollins,3:50,2,3,66.7,1,2,50.0,1,1,100,0,1,1,0,0,2,0,1,6,1
Tyler Smith,1:58,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Chris Livingston,1:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Pete Nance,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,33,83,39.8,13,34,38.2,26,33,78.8,9,25,34,21,7,8,9,23,105,-16
