PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Cody Williams,19:39,1,4,25.0,0,3,0.0,0,0,0.0,1,0,1,1,0,0,0,2,2,-24
Lauri Markkanen,26:21,5,12,41.7,4,11,36.4,2,2,100,0,1,1,2,0,0,3,1,16,-22
Walker Kessler,31:06,6,15,40.0,1,6,16.7,2,2,100,5,14,19,0,0,0,2,3,15,-23
Collin Sexton,34:11,9,18,50.0,1,2,50.0,3,5,60.0,0,4,4,4,1,0,2,3,22,-17
Isaiah Collier,31:26,4,9,44.4,0,0,0.0,3,3,100,2,4,6,6,0,0,5,2,11,-22
Johnny Juzang,28:55,5,14,35.7,1,6,16.7,1,1,100,0,1,1,3,1,0,0,1,12,-3
Brice Sensabaugh,23:43,2,4,50.0,1,2,50.0,1,2,50.0,0,5,5,2,0,0,5,1,6,-4
Kyle Filipowski,18:43,4,7,57.1,2,4,50.0,0,0,0.0,2,2,4,3,2,0,3,3,10,-8
Svi Mykhailiuk,25:56,3,7,42.9,2,4,50.0,0,0,0.0,0,3,3,2,0,0,2,4,8,-7
Keyonte George,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
KJ Martin,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Jaden Springer,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,39,90,43.3,12,38,31.6,12,15,80.0,10,34,44,23,4,0,22,20,102,-26
Jaden McDaniels,26:43,8,13,61.5,2,3,66.7,2,2,100,3,9,12,2,1,2,0,0,20,31
Julius Randle,19:47,4,9,44.4,1,2,50.0,2,4,50.0,2,1,3,4,0,0,1,2,11,14
Rudy Gobert,25:54,3,5,60.0,0,0,0.0,1,2,50.0,3,3,6,0,2,2,1,1,7,26
Anthony Edwards,30:36,16,27,59.3,5,14,35.7,4,6,66.7,0,2,2,2,1,0,1,1,41,31
Donte DiVincenzo,24:17,4,9,44.4,3,8,37.5,0,0,0.0,0,1,1,7,2,0,1,2,11,18
Nickeil Alexander-Walker,21:19,3,6,50.0,1,4,25.0,2,2,100,1,5,6,3,0,1,1,3,9,14
Naz Reid,19:53,2,10,20.0,0,5,0.0,1,2,50.0,4,5,9,3,3,1,3,1,5,11
Jaylen Clark,16:56,1,2,50.0,0,1,0.0,6,8,75.0,3,0,3,4,3,0,0,1,8,7
Terrence Shannon Jr,19:22,2,4,50.0,0,0,0.0,0,0,0.0,0,4,4,1,1,0,0,2,4,-5
Josh Minott,9:24,2,2,100,1,1,100,0,0,0.0,0,2,2,1,1,0,0,1,5,-4
Rob Dillingham,9:24,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-4
Luka Garza,9:24,1,5,20.0,1,2,50.0,0,0,0.0,0,0,0,2,0,0,1,1,3,-4
Bones Hyland,7:01,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-5
Joe Ingles,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,48,97,49.5,14,43,32.6,18,26,69.2,16,33,49,30,14,6,9,16,128,26
