PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Kevin Huerter,35:45,6,11,54.5,5,9,55.6,0,0,0.0,0,9,9,2,1,1,0,1,17,23
Matas Buzelis,29:46,7,13,53.8,3,7,42.9,0,0,0.0,1,8,9,2,0,1,1,1,17,20
Nikola Vucevic,30:50,3,15,20.0,2,6,33.3,2,2,100,1,9,10,4,1,1,1,2,10,17
Coby White,35:23,9,19,47.4,2,10,20.0,6,7,85.7,0,3,3,4,0,0,2,0,26,16
Tre Jones,33:32,8,10,80.0,1,2,50.0,1,1,100,1,3,4,12,3,0,1,1,18,6
Julian Phillips,16:02,2,3,66.7,1,2,50.0,0,0,0.0,1,0,1,1,2,0,0,2,5,2
Patrick Williams,20:12,2,10,20.0,0,3,0.0,1,2,50.0,2,4,6,2,1,0,2,3,5,1
Zach Collins,17:10,0,6,0.0,0,3,0.0,0,0,0.0,2,1,3,1,1,0,2,2,0,-3
Dalen Terry,15:06,5,7,71.4,0,2,0.0,2,2,100,1,2,3,1,2,0,0,1,12,-7
Talen Horton-Tucker,6:14,0,3,0.0,0,1,0.0,1,2,50.0,0,1,1,0,1,0,0,1,1,-5
Jevon Carter,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Jalen Smith,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,42,97,43.3,14,45,31.1,13,16,81.3,9,40,49,29,12,3,9,14,111,14
Lauri Markkanen,23:45,7,16,43.8,1,8,12.5,1,1,100,0,2,2,1,0,1,1,1,16,-17
Micah Potter,23:06,0,2,0.0,0,2,0.0,2,2,100,1,6,7,1,0,0,2,1,2,1
Walker Kessler,30:46,3,11,27.3,0,5,0.0,1,1,100,2,10,12,1,0,3,0,4,7,-9
Cody Williams,27:23,2,8,25.0,1,5,20.0,0,2,0.0,0,3,3,2,0,0,3,3,5,-7
Isaiah Collier,26:27,3,10,30.0,0,1,0.0,2,2,100,0,6,6,8,0,0,1,1,8,-17
Johnny Juzang,15:42,3,6,50.0,2,4,50.0,0,0,0.0,0,2,2,0,1,0,0,4,8,-18
Keyonte George,27:19,4,7,57.1,1,3,33.3,7,7,100,0,2,2,2,2,0,4,3,16,-7
Jordan Clarkson,21:33,5,10,50.0,1,5,20.0,3,5,60.0,1,2,3,3,0,0,4,1,14,3
Kyle Filipowski,23:47,4,9,44.4,0,4,0.0,0,0,0.0,0,5,5,1,0,0,1,0,8,-5
Brice Sensabaugh,20:12,4,7,57.1,3,5,60.0,2,2,100,0,6,6,1,1,0,1,1,13,6
Elijah Harkless,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Oscar Tshiebwe,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,35,86,40.7,9,42,21.4,18,22,81.8,4,44,48,20,4,4,17,19,97,-14
