PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Ausar Thompson,18:14,3,4,75.0,0,1,0.0,3,4,75.0,1,3,4,3,1,2,1,1,9,4
Tobias Harris,25:18,3,8,37.5,0,4,0.0,3,4,75.0,1,5,6,0,0,0,0,2,9,16
Jalen Duren,21:58,4,6,66.7,0,0,0.0,1,2,50.0,1,6,7,6,0,2,0,3,9,11
Tim Hardaway Jr,21:01,3,8,37.5,2,5,40.0,0,0,0.0,0,3,3,0,0,0,0,0,8,6
Cade Cunningham,29:33,10,16,62.5,1,2,50.0,3,4,75.0,0,4,4,8,1,0,4,3,24,21
Malik Beasley,24:21,4,14,28.6,3,12,25.0,0,0,0.0,1,3,4,3,0,0,3,1,11,31
Dennis Schroder,18:47,2,4,50.0,0,0,0.0,8,9,88.9,0,0,0,5,1,0,1,0,12,17
Isaiah Stewart,15:39,3,3,100,0,0,0.0,0,0,0.0,2,3,5,1,1,2,0,3,6,17
Simone Fontecchio,21:32,9,10,90.0,5,5,100,0,0,0.0,1,6,7,0,1,0,1,2,23,24
Ronald Holland I,19:54,3,4,75.0,0,1,0.0,4,6,66.7,1,1,2,3,2,1,0,3,10,34
Paul Reed,10:23,1,2,50.0,1,1,100,0,0,0.0,2,2,4,1,2,0,2,1,3,18
Marcus Sasser,6:58,1,3,33.3,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,0,3,15
Lindy Waters II,6:23,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,2,1,0,1,0,0,16
TOTA,,46,84,54.8,13,35,37.1,22,29,75.9,11,39,50,33,10,7,13,19,127,46
Zion Williamson,27:58,9,18,50.0,0,0,0.0,12,15,80.0,2,4,6,3,0,2,3,3,30,-18
Kelly Olynyk,23:39,3,6,50.0,1,3,33.3,2,2,100,0,3,3,3,1,1,1,3,9,-10
Yves Missi,21:33,4,7,57.1,0,0,0.0,4,6,66.7,2,8,10,0,0,2,0,0,12,-16
Trey Murphy II,0:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1
CJ McCollum,30:27,1,15,6.7,0,7,0.0,1,5,20.0,2,2,4,5,2,0,0,0,3,-19
Jordan Hawkins,27:50,2,11,18.2,2,7,28.6,0,0,0.0,0,2,2,1,0,1,3,0,6,-42
Jose Alvarado,28:11,1,10,10.0,1,9,11.1,0,1,0.0,0,1,1,4,0,0,0,3,3,-21
Bruce Brown,15:43,1,4,25.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,-19
Karlo Matkovic,20:22,3,4,75.0,0,0,0.0,1,1,100,4,3,7,0,2,0,1,2,7,-17
Jeremiah Robinson-Earl,18:22,3,4,75.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,2,2,6,-30
Antonio Reeves,17:03,1,6,16.7,1,4,25.0,0,0,0.0,0,0,0,0,1,0,3,1,3,-22
Mo Bamba,8:03,0,1,0.0,0,1,0.0,0,0,0.0,2,2,4,1,0,0,1,0,0,-15
TOTA,,28,86,32.6,5,32,15.6,20,30,66.7,13,26,39,18,7,6,16,15,81,-46
