PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Obi Toppin,44:32,12,19,63.2,7,10,70.0,3,4,75.0,2,8,10,2,1,1,2,0,34,10
Jarace Walker,35:03,5,12,41.7,3,8,37.5,0,0,0.0,1,4,5,1,2,0,5,5,13,2
Thomas Bryant,32:40,4,12,33.3,1,7,14.3,1,1,100,1,6,7,0,1,2,4,1,10,3
Bennedict Mathurin,35:09,6,17,35.3,3,7,42.9,7,8,87.5,1,2,3,1,1,1,2,6,22,4
Andrew Nembhard,19:21,5,8,62.5,1,2,50.0,1,2,50.0,0,2,2,3,0,0,2,1,12,4
Ben Sheppard,29:10,1,3,33.3,1,2,50.0,0,0,0.0,2,4,6,6,0,0,0,4,3,-1
Tony Bradley,20:16,6,8,75.0,0,0,0.0,0,0,0.0,5,4,9,2,1,2,3,2,12,-1
Quenton Jackson,18:18,4,6,66.7,1,1,100,4,4,100,1,1,2,0,1,0,0,5,13,-6
,30:07,5,12,41.7,0,0,0.0,1,2,50.0,1,3,4,13,0,0,2,1,11,-4
Enrique Freeman,0:25,0,0,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,0,0,2,-1
RayJ Dennis,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
James Johnson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,48,97,49.5,17,37,45.9,19,23,82.6,14,34,48,28,7,6,20,25,132,2
Jaden McDaniels,32:33,6,14,42.9,1,6,16.7,0,0,0.0,2,5,7,4,1,1,3,5,13,-6
Julius Randle,40:37,5,11,45.5,1,2,50.0,6,10,60.0,1,5,6,4,1,0,4,2,17,-6
Rudy Gobert,21:30,1,2,50.0,0,0,0.0,1,2,50.0,3,4,7,1,0,3,0,1,3,0
Anthony Edwards,41:07,9,24,37.5,1,11,9.1,19,20,95.0,0,3,3,5,2,2,3,3,38,-7
Mike Conley,31:49,2,3,66.7,2,2,100,3,4,75.0,0,3,3,5,2,0,1,3,9,24
Donte DiVincenzo,31:46,7,16,43.8,5,11,45.5,0,0,0.0,0,3,3,3,2,0,0,4,19,-20
Naz Reid,30:13,9,16,56.3,3,7,42.9,0,0,0.0,1,3,4,0,1,1,2,3,21,5
Nickeil Alexander-Walker,26:56,4,8,50.0,0,3,0.0,0,0,0.0,1,8,9,3,0,0,1,1,8,-2
Jaylen Clark,8:30,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,0,2,0,0,0,2,2
Rob Dillingham,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Luka Garza,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Bones Hyland,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Joe Ingles,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Josh Minott,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Terrence Shannon Jr,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,97,45.4,13,42,31.0,29,36,80.6,9,35,44,25,11,7,14,22,130,-2
