PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylen Wells,33:39,4,11,36.4,3,8,37.5,3,3,100,0,4,4,2,1,0,0,5,14,3
Jaren Jackson Jr,31:07,5,11,45.5,0,2,0.0,2,2,100,0,3,3,3,1,0,3,5,12,0
Zach Edey,24:23,6,11,54.5,0,0,0.0,0,0,0.0,6,2,8,1,0,4,0,3,12,-14
Desmond Bane,41:20,15,25,60.0,7,7,100,7,7,100,0,6,6,4,1,0,4,2,44,0
Luke Kennard,28:14,4,11,36.4,0,4,0.0,0,0,0.0,0,2,2,8,2,0,2,1,8,-16
Vince Williams Jr,16:44,0,3,0.0,0,3,0.0,2,2,100,0,3,3,0,1,1,2,2,2,-15
Brandon Clarke,24:54,6,8,75.0,0,0,0.0,3,3,100,6,2,8,3,1,1,3,0,15,4
Cam Spencer,15:15,2,5,40.0,1,3,33.3,2,2,100,1,2,3,2,0,0,0,0,7,-17
Lamar Stevens,3:28,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,3,2,0,-7
Jay Huff,3:35,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,3
John Konchar,17:21,2,2,100,2,2,100,2,2,100,2,6,8,1,1,1,0,2,8,9
Marvin Bagley II,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,90,48.9,13,30,43.3,21,21,100,15,33,48,24,8,7,17,22,122,-10
DeMar DeRozan,32:37,7,19,36.8,3,6,50.0,5,7,71.4,3,3,6,8,0,1,1,2,22,-1
Keegan Murray,33:16,6,14,42.9,3,8,37.5,1,1,100,1,8,9,1,2,0,0,4,16,1
Domantas Sabonis,12:04,3,4,75.0,0,0,0.0,0,1,0.0,1,0,1,4,0,0,1,0,6,3
Zach LaVine,37:20,7,11,63.6,5,8,62.5,4,5,80.0,1,1,2,6,0,0,2,1,23,-1
Malik Monk,35:41,10,17,58.8,4,8,50.0,4,4,100,0,3,3,7,1,3,3,1,28,8
Jonas Valanciunas,16:01,4,5,80.0,0,0,0.0,0,0,0.0,2,3,5,3,0,3,1,2,8,9
Keon Ellis,19:07,3,6,50.0,3,6,50.0,0,0,0.0,0,0,0,3,1,0,0,2,9,13
Jake LaRavia,23:28,4,7,57.1,2,4,50.0,2,2,100,1,1,2,1,2,0,3,6,12,8
Devin Carter,10:31,0,1,0.0,0,0,0.0,2,6,33.3,0,1,1,2,4,0,0,1,2,12
Trey Lyles,19:47,2,4,50.0,0,1,0.0,1,2,50.0,1,8,9,0,1,0,1,1,5,-5
Isaiah Crawford,0:08,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,1,1,3
Jae Crowder,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Markelle Fultz,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Doug McDermott,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,46,88,52.3,20,41,48.8,20,30,66.7,10,28,38,35,11,7,12,21,132,10
