PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Zaccharie Risacher,23:34,7,15,46.7,5,9,55.6,2,2,100,1,7,8,2,0,1,1,0,21,26
Mouhamed Gueye,23:29,1,6,16.7,1,5,20.0,1,2,50.0,1,2,3,1,2,0,0,2,4,21
Onyeka Okongwu,27:07,5,10,50.0,3,6,50.0,2,2,100,2,8,10,3,3,0,1,4,15,35
Dyson Daniels,27:36,10,12,83.3,1,2,50.0,1,3,33.3,2,5,7,7,3,1,3,0,22,25
Trae Young,30:30,11,20,55.0,5,9,55.6,4,4,100,0,2,2,8,3,0,4,3,31,32
Vit Krejci,30:44,1,4,25.0,1,4,25.0,2,2,100,1,3,4,2,0,1,0,2,5,5
Terance Mann,22:11,5,8,62.5,2,3,66.7,0,0,0.0,1,3,4,2,0,1,0,1,12,1
Georges Niang,23:58,2,4,50.0,2,3,66.7,0,0,0.0,0,0,0,0,0,1,0,1,6,12
Dominick Barlow,20:53,6,11,54.5,0,1,0.0,0,0,0.0,3,3,6,1,1,2,1,4,12,-3
Garrison Mathews,9:58,2,3,66.7,2,3,66.7,0,0,0.0,0,2,2,1,0,1,0,0,6,6
Jalen Johnson,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,
Caris LeVert,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,50,93,53.8,22,45,48.9,12,15,80.0,11,35,46,27,12,8,10,17,134,32
Josh Green,19:42,1,6,16.7,0,3,0.0,0,0,0.0,0,2,2,3,0,0,3,2,2,-24
DaQuan Jeffries,32:08,8,12,66.7,3,5,60.0,0,0,0.0,3,2,5,1,0,2,2,4,19,-32
Mark Williams,22:50,1,3,33.3,0,0,0.0,2,2,100,1,4,5,5,2,2,3,1,4,-24
Seth Curry,25:24,6,11,54.5,4,6,66.7,3,3,100,0,0,0,1,0,0,0,1,19,-27
Damion Baugh,33:03,4,11,36.4,1,3,33.3,2,2,100,1,8,9,5,1,0,3,2,11,-20
Nick Smith Jr,27:08,4,13,30.8,0,5,0.0,3,4,75.0,2,3,5,4,0,0,2,1,11,2
Marcus Garrett,24:14,5,10,50.0,1,3,33.3,1,2,50.0,0,3,3,3,3,1,2,2,12,-14
Jusuf Nurkic,16:33,4,7,57.1,1,1,100,2,3,66.7,1,1,2,0,0,1,0,1,11,-6
Wendell Moore Jr,21:08,4,8,50.0,0,3,0.0,3,5,60.0,2,4,6,3,1,0,1,0,11,-8
Moussa Diabate,17:50,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,0,0,2,1,2,2,-7
Taj Gibson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Grant Williams,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,38,84,45.2,10,30,33.3,16,21,76.2,10,29,39,25,7,8,17,16,102,-32
