PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Michael Porter Jr,27:30,5,10,50.0,1,5,20.0,1,1,100,2,2,4,1,3,0,2,1,12,-16
Peyton Watson,25:08,5,8,62.5,1,2,50.0,1,4,25.0,1,1,2,2,0,1,3,2,12,-12
Aaron Gordon,30:03,9,14,64.3,5,9,55.6,3,4,75.0,1,10,11,0,1,0,4,2,26,-22
Christian Braun,27:43,4,6,66.7,0,1,0.0,2,4,50.0,0,4,4,3,0,0,2,1,10,-15
Russell Westbrook,28:38,4,14,28.6,1,4,25.0,3,5,60.0,3,1,4,9,2,0,3,2,12,-15
Spencer Jones,29:17,4,8,50.0,0,3,0.0,1,1,100,2,1,3,0,0,1,1,3,9,-7
Vlatko Cancar,22:02,1,4,25.0,0,2,0.0,0,0,0.0,0,8,8,3,0,0,2,2,2,0
Zeke Nnaji,9:38,0,6,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-1
Jalen Pickett,19:22,5,9,55.6,4,6,66.7,0,0,0.0,1,3,4,5,2,0,0,1,14,3
Hunter Tyson,12:20,2,6,33.3,0,4,0.0,2,2,100,1,0,1,1,0,0,1,0,6,14
PJ Hall,8:19,2,2,100,1,1,100,0,0,0.0,1,1,2,1,0,2,0,3,5,11
DeAndre Jordan,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Dario Saric,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,41,87,47.1,13,39,33.3,13,21,61.9,12,33,45,25,8,4,18,17,108,-12
Jordan Goodwin,26:28,2,7,28.6,0,3,0.0,4,4,100,1,2,3,3,4,0,1,1,8,1
Dorian Finney-Smith,30:12,5,7,71.4,3,4,75.0,1,2,50.0,1,3,4,4,1,0,0,1,14,26
Jaxson Hayes,24:11,3,4,75.0,0,0,0.0,0,2,0.0,2,5,7,0,1,1,0,1,6,11
Austin Reaves,36:07,8,16,50.0,2,7,28.6,4,4,100,0,5,5,8,2,1,1,2,22,13
Luka Doncic,32:16,10,21,47.6,4,9,44.4,7,10,70.0,0,8,8,7,2,1,6,3,31,20
Gabe Vincent,22:50,4,6,66.7,4,6,66.7,0,0,0.0,0,0,0,1,0,0,1,2,12,7
Jarred Vanderbilt,18:10,4,6,66.7,0,1,0.0,2,2,100,1,1,2,1,3,0,3,2,10,6
Dalton Knecht,25:13,4,10,40.0,3,7,42.9,1,2,50.0,0,3,3,1,0,0,0,1,12,-6
Christian Koloko,14:00,2,2,100,0,0,0.0,0,0,0.0,2,3,5,0,0,0,1,3,4,-3
Shake Milton,6:35,0,4,0.0,0,1,0.0,1,2,50.0,1,0,1,0,0,0,0,1,1,-11
Bronny James,3:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Alex Len,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Markieff Morris,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Cam Reddish,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,42,83,50.6,16,38,42.1,20,28,71.4,8,30,38,25,13,3,13,17,120,12
