PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
OG Anunoby,37:28,5,15,33.3,2,6,33.3,2,3,66.7,0,5,5,1,2,2,0,3,14,-19
Josh Hart,34:59,1,4,25.0,0,3,0.0,0,0,0.0,3,4,7,7,3,2,2,5,2,-26
Karl-Anthony Towns,35:11,11,21,52.4,2,5,40.0,8,9,88.9,4,5,9,2,1,0,3,1,32,-13
Mikal Bridges,32:18,5,13,38.5,1,4,25.0,3,3,100,3,2,5,7,0,0,3,1,14,-3
Miles McBride,30:37,4,14,28.6,3,8,37.5,0,0,0.0,1,2,3,5,0,0,1,3,11,-12
Mitchell Robinson,17:14,5,6,83.3,0,0,0.0,3,6,50.0,5,6,11,0,1,2,0,1,13,3
Landry Shamet,20:34,1,6,16.7,0,5,0.0,0,0,0.0,0,2,2,0,0,0,1,2,2,4
Cameron Payne,17:23,4,9,44.4,3,6,50.0,0,0,0.0,0,0,0,4,0,1,0,2,11,-3
Precious Achiuwa,7:09,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,4,-14
,1:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Tyler Kolek,1:47,1,1,100,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,2
Delon Wright,1:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2
Anton Watson,1:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
TOTA,,39,92,42.4,11,37,29.7,16,21,76.2,17,27,44,28,7,7,10,18,105,-15
Devin Vassell,33:21,3,9,33.3,1,4,25.0,3,4,75.0,1,3,4,3,0,4,1,2,10,4
Harrison Barnes,20:15,4,8,50.0,2,5,40.0,1,2,50.0,0,4,4,1,0,1,0,1,11,13
Jeremy Sochan,37:57,5,14,35.7,0,3,0.0,0,0,0.0,2,4,6,3,1,0,2,4,10,5
Stephon Castle,26:52,8,16,50.0,2,4,50.0,4,6,66.7,0,3,3,3,1,1,3,2,22,2
Chris Paul,30:43,5,8,62.5,2,4,50.0,0,0,0.0,1,5,6,9,0,1,4,4,12,-3
Keldon Johnson,25:59,2,9,22.2,1,4,25.0,1,2,50.0,1,9,10,1,0,0,0,3,6,13
Bismack Biyombo,10:07,2,3,66.7,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,2,4,3
Julian Champagnie,19:45,1,4,25.0,1,3,33.3,2,2,100,3,1,4,2,1,0,1,3,5,-2
Blake Wesley,15:35,2,5,40.0,0,1,0.0,2,3,66.7,0,2,2,3,3,0,1,0,6,18
Sandro Mamukelashvili,19:26,13,14,92.9,7,7,100,1,1,100,5,4,9,3,1,0,0,1,34,22
Jordan McLaughlin,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,45,90,50.0,16,35,45.7,14,20,70.0,15,37,52,28,7,7,13,22,120,15
