PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Bub Carrington,22:35,3,5,60.0,0,2,0.0,0,0,0.0,0,5,5,4,1,1,1,0,6,-5
Tristan Vukcevic,20:58,8,11,72.7,1,4,25.0,0,2,0.0,1,4,5,0,0,2,0,1,17,0
Alex Sarr,23:12,7,14,50.0,4,8,50.0,4,4,100,5,4,9,2,2,0,2,0,22,-7
AJ Johnson,28:25,5,10,50.0,1,5,20.0,1,1,100,1,0,1,6,2,0,1,4,12,2
Jordan Poole,19:35,1,11,9.1,0,9,0.0,0,0,0.0,0,2,2,5,0,0,2,0,2,-1
JT Thor,30:25,3,8,37.5,0,3,0.0,2,2,100,2,1,3,3,3,0,0,2,8,-20
Jaylen Martin,31:21,4,11,36.4,1,3,33.3,2,2,100,2,5,7,1,0,0,3,1,11,-18
Colby Jones,26:18,9,11,81.8,4,4,100,2,3,66.7,1,3,4,3,3,0,1,2,24,-14
Anthony Gill,23:32,3,6,50.0,1,3,33.3,3,4,75.0,1,0,1,2,0,0,2,3,10,-6
Marcus Smart,13:39,0,6,0.0,0,4,0.0,0,0,0.0,0,0,0,4,1,1,1,0,0,-11
Justin Champagnie,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Richaun Holmes,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,43,93,46.2,12,45,26.7,14,18,77.8,13,24,37,30,12,4,13,13,112,-16
Cody Williams,28:16,1,7,14.3,0,5,0.0,0,0,0.0,0,1,1,1,1,0,1,3,2,1
Kyle Filipowski,21:26,8,11,72.7,4,6,66.7,1,4,25.0,1,3,4,2,0,0,2,3,21,6
Walker Kessler,15:15,3,8,37.5,1,6,16.7,0,0,0.0,2,3,5,2,1,1,0,3,7,2
Collin Sexton,19:01,7,8,87.5,2,2,100,2,4,50.0,1,2,3,5,0,0,3,2,18,14
Isaiah Collier,27:44,7,10,70.0,2,3,66.7,0,0,0.0,1,2,3,6,4,0,1,1,16,6
Oscar Tshiebwe,18:29,1,3,33.3,0,0,0.0,2,2,100,2,8,10,2,0,0,1,0,4,10
Micah Potter,15:25,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,1,1,0,1,1,0,4
Keyonte George,29:09,7,12,58.3,3,5,60.0,3,4,75.0,0,4,4,4,0,0,2,2,20,5
Jordan Clarkson,20:16,5,11,45.5,1,4,25.0,3,4,75.0,0,3,3,4,0,0,5,0,14,10
Brice Sensabaugh,22:42,7,11,63.6,3,6,50.0,0,0,0.0,0,0,0,1,0,0,0,1,17,16
Johnny Juzang,22:17,4,7,57.1,1,4,25.0,0,0,0.0,1,5,6,2,0,0,0,0,9,6
Elijah Harkless,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,50,89,56.2,17,42,40.5,11,18,61.1,9,33,42,30,7,1,16,16,128,16
