PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jalen Wilson,19:15,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-5
Ziaire Williams,34:39,8,15,53.3,6,12,50.0,0,1,0.0,0,5,5,1,2,0,2,1,22,-5
Nic Claxton,30:30,3,5,60.0,0,0,0.0,0,0,0.0,6,8,14,0,1,2,5,3,6,-12
Keon Johnson,27:26,2,12,16.7,1,6,16.7,1,2,50.0,1,2,3,2,2,0,0,5,6,-14
D'Angelo Russell,32:22,7,22,31.8,3,12,25.0,5,6,83.3,0,1,1,6,1,0,1,4,22,-2
Tyrese Martin,30:54,1,8,12.5,0,5,0.0,2,2,100,0,4,4,4,2,0,3,3,4,-11
Trendon Watford,26:33,6,11,54.5,1,1,100,2,4,50.0,1,4,5,2,1,0,1,2,15,8
Day'Ron Sharpe,22:30,3,8,37.5,0,2,0.0,0,0,0.0,4,5,9,2,0,2,1,0,6,6
Maxwell Lewis,21:51,3,6,50.0,2,2,100,0,0,0.0,1,1,2,2,1,0,0,0,8,6
Noah Clowney,19:00,3,10,30.0,1,7,14.3,3,3,100,1,2,3,1,1,0,2,5,10,-1
Cam Thomas,NWT - Not With Team,,,,,,,,,,,,,,,,,,,
TOTA,,36,101,35.6,14,50,28.0,13,18,72.2,14,33,47,20,11,4,16,24,99,-6
Aaron Nesmith,34:40,4,9,44.4,2,6,33.3,4,4,100,1,5,6,0,2,0,2,5,14,5
Pascal Siakam,35:25,2,8,25.0,0,2,0.0,2,3,66.7,0,6,6,5,1,0,4,3,6,11
Myles Turner,39:33,8,11,72.7,2,5,40.0,5,5,100,2,8,10,1,1,5,3,2,23,13
Bennedict Mathurin,39:18,10,17,58.8,2,4,50.0,6,7,85.7,5,11,16,3,2,0,3,0,28,17
Andrew Nembhard,30:47,4,12,33.3,1,4,25.0,0,0,0.0,0,3,3,4,0,0,6,3,9,3
Obi Toppin,17:35,2,6,33.3,0,2,0.0,3,3,100,1,2,3,1,1,0,1,2,7,-5
Ben Sheppard,22:21,0,6,0.0,0,4,0.0,0,0,0.0,1,7,8,2,1,1,0,2,0,-11
Thomas Bryant,13:27,1,3,33.3,0,1,0.0,1,2,50.0,0,3,3,0,0,2,0,2,3,-7
,17:50,1,3,33.3,0,0,0.0,5,6,83.3,0,1,1,1,2,0,2,1,7,-2
Jarace Walker,9:41,3,6,50.0,1,3,33.3,1,1,100,0,0,0,1,0,0,1,0,8,1
Quenton Jackson,4:23,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,5
Tony Bradley,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
RayJ Dennis,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Johnny Furphy,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
James Johnson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,35,81,43.2,8,31,25.8,27,31,87.1,10,47,57,18,10,8,22,21,105,6
