PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
DaQuan Jeffries,23:18,3,6,50.0,1,1,100,0,0,0.0,0,3,3,0,0,1,0,2,7,-6
Miles Bridges,34:25,7,18,38.9,0,7,0.0,3,3,100,6,7,13,4,0,0,4,0,17,-7
Mark Williams,27:30,6,7,85.7,0,0,0.0,2,2,100,1,4,5,1,0,3,2,2,14,-8
Nick Smith Jr,38:22,7,14,50.0,5,9,55.6,0,0,0.0,0,3,3,3,1,0,2,2,19,-19
LaMelo Ball,34:04,6,19,31.6,2,10,20.0,4,4,100,1,2,3,11,2,0,5,3,18,-14
Tidjane Salaun,24:32,3,4,75.0,1,2,50.0,0,0,0.0,1,4,5,1,1,0,1,2,7,2
KJ Simpson,22:04,0,4,0.0,0,2,0.0,2,2,100,1,2,3,2,0,0,3,1,2,-15
Jusuf Nurkic,15:14,2,6,33.3,0,0,0.0,1,2,50.0,1,2,3,2,0,0,2,2,5,-9
Seth Curry,15:15,4,6,66.7,2,2,100,0,0,0.0,0,0,0,0,0,0,0,1,10,-9
Moussa Diabate,5:16,3,3,100,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,6,0
Taj Gibson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Grant Williams,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,41,87,47.1,11,33,33.3,12,13,92.3,12,28,40,24,5,4,19,15,105,-17
Andrew Wiggins,35:13,16,21,76.2,6,8,75.0,4,7,57.1,0,3,3,5,2,1,2,2,42,22
Bam Adebayo,31:53,4,10,40.0,1,3,33.3,2,2,100,3,1,4,2,2,0,2,3,11,1
Kel'el Ware,28:09,6,10,60.0,0,3,0.0,0,0,0.0,1,7,8,5,0,1,0,1,12,16
Duncan Robinson,18:55,1,5,20.0,1,2,50.0,0,0,0.0,0,2,2,2,0,0,1,0,3,2
Tyler Herro,39:45,11,19,57.9,2,5,40.0,5,5,100,1,5,6,3,3,0,0,0,29,20
Davion Mitchell,35:58,5,7,71.4,0,2,0.0,2,2,100,0,3,3,7,2,0,2,4,12,17
Haywood Highsmith,35:58,2,5,40.0,0,1,0.0,3,4,75.0,2,4,6,2,1,2,1,3,7,17
Jaime Jaquez Jr,5:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-4
Alec Burks,8:17,2,5,40.0,2,5,40.0,0,0,0.0,0,0,0,0,0,0,1,0,6,-6
Pelle Larsson,0:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Nikola Jovic,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Kevin Love,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Terry Rozier,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,47,82,57.3,12,29,41.4,16,20,80.0,7,25,32,27,10,4,10,13,122,17
