PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Michael Porter Jr,32:23,7,16,43.8,1,3,33.3,2,2,100,4,5,9,2,0,0,1,3,17,-4
Aaron Gordon,37:06,5,9,55.6,1,3,33.3,2,2,100,1,3,4,8,1,0,0,3,13,9
DeAndre Jordan,38:22,5,7,71.4,0,0,0.0,1,3,33.3,3,12,15,4,1,0,1,5,11,5
Christian Braun,34:23,3,6,50.0,1,2,50.0,4,4,100,0,4,4,2,0,0,1,0,11,17
Jamal Murray,38:10,15,28,53.6,4,6,66.7,5,6,83.3,1,3,4,7,0,0,1,2,39,19
Russell Westbrook,23:59,5,11,45.5,2,4,50.0,2,4,50.0,0,2,2,1,1,2,5,6,14,-5
Zeke Nnaji,11:44,1,2,50.0,0,1,0.0,0,2,0.0,0,0,0,1,1,0,0,1,2,0
Peyton Watson,20:33,3,8,37.5,1,2,50.0,2,3,66.7,1,4,5,3,1,2,0,3,9,-14
Jalen Pickett,3:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Trey Alexander,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Vlatko Cancar,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
PJ Hall,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Spencer Jones,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Dario Saric,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Hunter Tyson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,87,50.6,10,21,47.6,18,26,69.2,10,33,43,28,5,4,9,23,116,5
Amen Thompson,31:48,5,11,45.5,1,2,50.0,0,4,0.0,3,3,6,1,1,3,1,5,11,-5
Dillon Brooks,36:39,8,12,66.7,5,8,62.5,0,0,0.0,0,3,3,1,0,0,1,2,21,-3
Alperen Sengun,39:30,6,15,40.0,0,1,0.0,5,8,62.5,3,11,14,10,2,1,0,1,17,-6
Jalen Green,35:50,8,22,36.4,3,12,25.0,11,14,78.6,0,2,2,5,0,0,0,4,30,-6
Fred VanVleet,41:44,2,12,16.7,1,8,12.5,2,2,100,0,3,3,5,0,0,1,2,7,-2
Tari Eason,15:25,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,1,1,0,2,1,4,-2
Steven Adams,22:25,6,10,60.0,0,0,0.0,2,4,50.0,10,2,12,2,0,3,1,3,14,9
Jabari Smith Jr,16:38,2,4,50.0,1,2,50.0,2,2,100,0,3,3,0,0,0,0,2,7,-10
Jeff Green,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Aaron Holiday,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Jock Landale,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Reed Sheppard,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Jae'Sean Tate,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Cam Whitmore,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,39,89,43.8,11,34,32.4,22,34,64.7,16,29,45,25,4,7,6,20,111,-5
