PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Bruce Brown,35:19,5,9,55.6,1,2,50.0,1,2,50.0,0,1,1,2,0,0,0,2,12,0
Kelly Olynyk,24:37,4,7,57.1,1,3,33.3,1,2,50.0,2,3,5,8,0,2,5,6,10,-8
Karlo Matkovic,16:01,4,7,57.1,0,0,0.0,0,0,0.0,5,6,11,0,0,0,3,6,8,11
CJ McCollum,36:41,16,28,57.1,5,12,41.7,3,5,60.0,1,4,5,7,1,0,2,2,40,3
Jose Alvarado,27:36,4,8,50.0,2,3,66.7,0,0,0.0,1,3,4,8,2,0,2,4,10,2
Jeremiah Robinson-Earl,31:43,4,6,66.7,3,5,60.0,2,2,100,1,5,6,8,0,0,2,2,13,-4
Jamal Cain,13:14,1,2,50.0,0,0,0.0,2,2,100,0,1,1,0,0,1,0,1,4,-9
Jordan Hawkins,30:42,8,13,61.5,6,11,54.5,3,3,100,0,3,3,2,0,0,3,4,25,-7
Keion Brooks Jr,20:45,2,4,50.0,1,3,33.3,0,0,0.0,0,1,1,0,0,2,0,2,5,-15
Antonio Reeves,3:22,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,3,-3
Elfrid Payton,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,49,85,57.6,20,40,50.0,12,16,75.0,10,27,37,35,3,5,17,30,130,-6
Ausar Thompson,9:12,0,0,0.0,0,0,0.0,5,6,83.3,0,1,1,1,0,0,1,4,5,-2
Tobias Harris,32:04,7,15,46.7,0,4,0.0,0,0,0.0,1,2,3,4,1,0,0,2,14,-6
Jalen Duren,29:02,8,11,72.7,0,0,0.0,6,9,66.7,6,6,12,2,0,0,3,4,22,-4
Malik Beasley,29:04,4,11,36.4,4,6,66.7,1,1,100,2,2,4,2,1,0,0,1,13,3
Dennis Schroder,34:34,4,12,33.3,1,5,20.0,7,8,87.5,1,0,1,5,2,0,1,2,16,-3
Simone Fontecchio,18:33,3,6,50.0,2,3,66.7,0,0,0.0,0,2,2,1,0,0,0,0,8,6
Ronald Holland I,35:44,10,14,71.4,1,3,33.3,5,11,45.5,1,4,5,6,1,0,0,4,26,2
Isaiah Stewart,18:58,4,6,66.7,1,1,100,0,0,0.0,0,3,3,2,0,2,1,2,9,10
Marcus Sasser,26:14,6,9,66.7,3,4,75.0,5,5,100,0,1,1,2,1,0,0,1,20,18
Lindy Waters II,6:35,1,2,50.0,1,1,100,0,0,0.0,0,0,0,1,0,0,0,0,3,6
Cade Cunningham,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,
Paul Reed,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,47,86,54.7,13,27,48.1,29,40,72.5,11,21,32,26,6,2,6,20,136,6
