PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Alex Caruso,31:27,5,11,45.5,2,7,28.6,2,4,50.0,1,5,6,5,2,0,1,3,14,5
Luguentz Dort,28:37,4,6,66.7,2,4,50.0,0,0,0.0,0,4,4,2,1,1,0,5,10,4
Isaiah Hartenstein,33:04,6,12,50.0,0,0,0.0,2,2,100,3,7,10,6,2,3,3,3,14,8
Cason Wallace,30:16,3,7,42.9,1,1,100,1,2,50.0,2,2,4,2,2,1,1,2,8,2
Shai Gilgeous-Alexander,37:19,7,29,24.1,1,7,14.3,11,11,100,0,3,3,8,2,2,1,2,26,0
Aaron Wiggins,25:55,8,17,47.1,3,8,37.5,0,0,0.0,1,2,3,1,0,0,1,4,19,-6
Jaylin Williams,14:57,4,4,100,3,3,100,1,1,100,0,7,7,2,0,1,0,1,12,-6
Isaiah Joe,19:54,0,4,0.0,0,4,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,-5
Kenrich Williams,18:31,0,2,0.0,0,1,0.0,0,0,0.0,2,1,3,2,0,0,1,1,0,8
Branden Carlson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Adam Flagler,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Dillon Jones,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,37,92,40.2,12,35,34.3,17,20,85.0,10,32,42,28,9,8,9,22,103,2
Norman Powell,31:00,4,12,33.3,1,6,16.7,0,0,0.0,1,3,4,1,1,0,2,4,9,0
Kawhi Leonard,40:16,10,20,50.0,2,4,50.0,3,4,75.0,2,8,10,3,1,1,2,0,25,1
Ivica Zubac,33:17,4,10,40.0,0,0,0.0,7,8,87.5,4,7,11,3,0,2,1,1,15,-1
Kris Dunn,19:13,3,5,60.0,1,1,100,0,0,0.0,0,3,3,1,1,0,0,2,7,5
James Harden,35:24,4,14,28.6,2,6,33.3,7,8,87.5,1,4,5,8,0,1,6,4,17,4
Derrick Jones Jr,26:06,2,5,40.0,2,4,50.0,3,4,75.0,1,3,4,1,0,3,0,4,9,-11
Bogdan Bogdanovic,20:54,1,6,16.7,0,3,0.0,0,0,0.0,0,3,3,3,2,1,0,1,2,-1
Ben Simmons,14:43,4,5,80.0,0,0,0.0,0,0,0.0,2,5,7,0,0,0,3,2,8,-1
Nicolas Batum,5:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,3
Amir Coffey,13:38,3,5,60.0,0,2,0.0,3,4,75.0,0,1,1,0,1,0,0,0,9,-9
Drew Eubanks,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kobe Brown,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Patty Mills,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,35,82,42.7,8,26,30.8,23,28,82.1,11,37,48,20,6,8,14,19,101,-2
