PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Devin Vassell,29:38,11,14,78.6,3,6,50.0,0,0,0.0,0,6,6,3,2,1,1,4,25,37
Harrison Barnes,19:44,4,9,44.4,2,6,33.3,0,0,0.0,0,3,3,0,0,0,0,0,10,21
Bismack Biyombo,23:20,3,5,60.0,0,0,0.0,2,2,100,4,5,9,3,1,0,0,1,8,10
Stephon Castle,19:50,3,8,37.5,1,3,33.3,8,10,80.0,1,4,5,1,1,1,4,2,15,3
Chris Paul,22:07,1,4,25.0,0,3,0.0,0,0,0.0,0,1,1,6,2,0,0,1,2,21
Jeremy Sochan,20:15,3,8,37.5,1,3,33.3,2,2,100,0,5,5,2,2,1,2,1,9,21
Keldon Johnson,19:05,2,10,20.0,1,6,16.7,2,2,100,0,2,2,3,0,1,0,0,7,19
Julian Champagnie,23:23,6,9,66.7,4,6,66.7,4,5,80.0,3,2,5,2,3,1,2,2,20,26
Blake Wesley,25:53,3,5,60.0,0,2,0.0,2,2,100,1,0,1,4,3,0,2,3,8,13
Sandro Mamukelashvili,16:25,4,10,40.0,2,6,33.3,3,4,75.0,4,3,7,1,0,1,2,0,13,3
Malaki Branham,10:10,1,4,25.0,0,2,0.0,2,3,66.7,0,1,1,1,0,0,1,0,4,-2
Jordan McLaughlin,10:10,0,0,0.0,0,0,0.0,2,2,100,0,1,1,1,1,0,0,0,2,-2
TOTA,,41,86,47.7,14,43,32.6,27,32,84.4,13,33,46,27,15,6,14,14,123,34
RJ Barrett,30:04,8,17,47.1,1,6,16.7,1,4,25.0,0,7,7,2,0,0,6,3,18,-16
Scottie Barnes,29:43,8,11,72.7,3,6,50.0,3,4,75.0,2,4,6,6,2,1,6,1,22,-13
Colin Castleton,23:59,2,6,33.3,0,1,0.0,0,0,0.0,3,1,4,1,2,1,2,3,4,-5
Ochai Agbaji,29:57,1,8,12.5,0,3,0.0,0,0,0.0,2,5,7,3,0,0,0,2,2,-10
Jamal Shead,27:22,7,14,50.0,2,8,25.0,1,1,100,1,1,2,6,1,0,3,2,17,-5
Jonathan Mogbo,26:31,3,9,33.3,0,2,0.0,0,0,0.0,4,6,10,4,1,1,1,3,6,-31
Orlando Robinson,22:44,2,6,33.3,1,1,100,0,0,0.0,1,5,6,0,0,0,2,4,5,-31
Ja'Kobe Walter,24:32,3,12,25.0,2,6,33.3,2,2,100,3,0,3,4,0,0,1,0,10,-29
Jamison Battle,21:55,1,8,12.5,1,6,16.7,2,2,100,0,1,1,1,2,0,0,3,5,-27
Garrett Temple,3:13,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Chris Boucher,NWT - Not With Team,,,,,,,,,,,,,,,,,,,
Jakob Poeltl,DND - Rest,,,,,,,,,,,,,,,,,,,
Immanuel Quickley,DND - Rest,,,,,,,,,,,,,,,,,,,
TOTA,,35,92,38.0,10,39,25.6,9,13,69.2,16,30,46,27,8,3,21,21,89,-34
