PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
,30:41,7,12,58.3,1,2,50.0,1,1,100,1,1,2,5,1,0,0,2,16,8
Anthony Davis,26:32,6,9,66.7,0,2,0.0,0,0,0.0,0,6,6,3,1,1,2,1,12,12
Kai Jones,27:53,5,5,100,0,0,0.0,3,5,60.0,3,6,9,0,1,0,1,2,13,11
Klay Thompson,24:38,3,9,33.3,2,8,25.0,0,0,0.0,0,3,3,2,0,0,0,1,8,6
Spencer Dinwiddie,28:49,7,10,70.0,2,5,40.0,0,2,0.0,0,1,1,12,4,0,1,2,16,11
Max Christie,25:43,3,9,33.3,2,6,33.3,2,2,100,1,4,5,2,1,0,1,0,10,9
Naji Marshall,27:27,9,15,60.0,2,4,50.0,2,2,100,0,4,4,2,0,0,1,3,22,22
Dwight Powell,15:47,1,1,100,0,0,0.0,2,2,100,3,3,6,2,1,0,1,2,4,9
Brandon Williams,19:11,6,10,60.0,1,2,50.0,2,2,100,3,2,5,4,1,0,1,1,15,8
Jaden Hardy,13:19,2,7,28.6,0,2,0.0,0,0,0.0,0,0,0,2,0,0,2,1,4,-1
Dereck Lively I,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Caleb Martin,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,49,87,56.3,10,31,32.3,12,16,75.0,11,30,41,34,10,1,10,15,120,19
Cameron Johnson,30:09,6,13,46.2,1,7,14.3,4,4,100,1,1,2,8,0,0,6,0,17,-9
Ziaire Williams,21:54,2,6,33.3,2,5,40.0,0,0,0.0,0,2,2,1,1,0,2,0,6,-19
Nic Claxton,26:41,8,11,72.7,2,2,100,1,3,33.3,2,5,7,3,0,1,1,3,19,-11
Keon Johnson,28:33,3,7,42.9,0,2,0.0,2,2,100,1,3,4,3,1,0,3,3,8,-12
Tyrese Martin,25:28,2,7,28.6,2,4,50.0,0,0,0.0,0,4,4,5,1,0,2,0,6,-12
Trendon Watford,28:00,5,9,55.6,1,3,33.3,1,2,50.0,0,1,1,4,0,0,2,2,12,-6
Day'Ron Sharpe,24:14,5,8,62.5,0,2,0.0,0,0,0.0,2,5,7,4,4,0,1,2,10,-6
Jalen Wilson,17:51,3,7,42.9,1,3,33.3,1,1,100,0,2,2,0,0,0,1,3,8,-10
Maxwell Lewis,14:59,4,6,66.7,1,2,50.0,0,0,0.0,2,0,2,0,0,1,0,1,9,-7
Noah Clowney,22:11,2,4,50.0,1,3,33.3,1,2,50.0,1,5,6,2,0,0,0,1,6,-3
D'Angelo Russell,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Cam Thomas,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,40,78,51.3,11,33,33.3,10,14,71.4,9,28,37,30,7,2,18,15,101,-19
