PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dorian Finney-Smith,35:28,5,7,71.4,4,6,66.7,0,0,0.0,3,4,7,0,2,0,0,0,14,-6
LeBron James,37:40,9,18,50.0,0,3,0.0,6,7,85.7,3,3,6,7,0,0,2,0,24,-17
Jaxson Hayes,18:28,2,4,50.0,0,0,0.0,0,0,0.0,2,2,4,0,0,1,1,5,4,-10
Austin Reaves,35:40,7,16,43.8,1,6,16.7,3,4,75.0,0,6,6,4,0,0,3,4,18,-7
Luka Doncic,38:06,9,23,39.1,4,10,40.0,10,11,90.9,0,7,7,7,1,0,3,2,32,-9
Jordan Goodwin,13:16,0,0,0.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,0,0,1,0
Rui Hachimura,23:59,2,4,50.0,0,2,0.0,1,2,50.0,1,2,3,0,1,0,1,1,5,-1
Jarred Vanderbilt,12:03,0,1,0.0,0,0,0.0,1,2,50.0,1,3,4,1,1,0,0,3,1,-2
Gabe Vincent,20:07,2,6,33.3,0,4,0.0,0,0,0.0,0,1,1,0,2,0,0,4,4,-2
Dalton Knecht,4:38,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,3,-6
Trey Jemison II,0:35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Alex Len,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Shake Milton,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Markieff Morris,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Cam Reddish,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,37,80,46.3,10,32,31.3,22,28,78.6,11,28,39,19,7,1,10,20,106,-12
Franz Wagner,38:15,13,26,50.0,3,10,30.0,3,3,100,0,5,5,9,1,0,2,2,32,12
Paolo Banchero,39:34,9,17,52.9,2,6,33.3,10,12,83.3,0,7,7,1,0,1,4,2,30,14
Wendell Carter Jr,31:32,4,10,40.0,1,3,33.3,3,4,75.0,3,5,8,0,0,0,0,2,12,8
Kentavious Caldwell-Pope,33:53,3,6,50.0,3,6,50.0,0,0,0.0,3,1,4,3,0,0,0,2,9,6
Cory Joseph,17:12,2,4,50.0,1,3,33.3,0,0,0.0,1,3,4,5,0,0,0,3,5,-3
Caleb Houstan,17:16,3,7,42.9,2,6,33.3,0,0,0.0,1,1,2,1,0,0,0,2,8,2
Anthony Black,30:17,7,10,70.0,3,5,60.0,0,0,0.0,2,3,5,6,1,1,1,2,17,15
Jonathan Isaac,9:17,0,2,0.0,0,1,0.0,2,2,100,0,2,2,0,1,1,0,0,2,-1
Gary Harris,7:07,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,1,1,0,0,1,4
Tristan da Silva,6:56,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,2,5
Goga Bitadze,8:41,0,2,0.0,0,0,0.0,0,0,0.0,2,2,4,0,1,0,0,2,0,-2
Jett Howard,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,42,85,49.4,15,40,37.5,19,23,82.6,12,31,43,25,6,4,8,18,118,12
