PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Kyle Kuzma,33:47,5,16,31.3,2,7,28.6,3,4,75.0,1,1,2,4,1,0,2,2,15,-9
Giannis Antetokounmpo,37:06,12,19,63.2,1,2,50.0,6,13,46.2,1,9,10,5,1,0,2,3,31,-4
Brook Lopez,41:34,8,14,57.1,2,6,33.3,5,6,83.3,4,6,10,3,2,0,1,0,23,5
Taurean Prince,28:05,1,5,20.0,1,5,20.0,0,0,0.0,0,1,1,2,1,0,0,1,3,6
Ryan Rollins,25:49,2,3,66.7,1,2,50.0,3,3,100,1,2,3,3,1,0,0,4,8,7
Gary Trent Jr,30:52,6,12,50.0,4,8,50.0,3,3,100,2,2,4,2,2,0,0,3,19,-5
AJ Green,20:38,1,5,20.0,0,4,0.0,0,0,0.0,0,2,2,2,1,0,1,1,2,-1
Kevin Porter Jr,22:09,2,9,22.2,1,5,20.0,0,0,0.0,0,4,4,3,3,0,1,2,5,-9
Jamaree Bouyea,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Pat Connaughton,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Andre Jackson Jr,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Chris Livingston,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Pete Nance,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Tyler Smith,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,37,83,44.6,12,39,30.8,20,29,69.0,9,27,36,24,12,0,7,16,106,-2
Ryan Dunn,29:36,5,7,71.4,2,4,50.0,0,1,0.0,3,6,9,0,0,0,2,4,12,-8
Kevin Durant,37:06,11,21,52.4,7,9,77.8,9,10,90.0,0,8,8,5,0,3,5,3,38,4
Nick Richards,28:52,4,8,50.0,0,0,0.0,2,2,100,6,4,10,1,0,1,2,2,10,-3
Devin Booker,39:30,7,18,38.9,0,5,0.0,5,5,100,2,5,7,12,0,0,5,3,19,13
Collin Gillespie,21:50,2,6,33.3,2,5,40.0,0,0,0.0,0,5,5,3,0,0,1,1,6,1
Royce O'Neale,12:56,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,2,3,-6
Tyus Jones,25:13,4,8,50.0,0,4,0.0,0,0,0.0,2,1,3,3,0,0,0,0,8,5
Cody Martin,14:02,2,3,66.7,1,2,50.0,0,0,0.0,1,3,4,0,1,0,0,1,5,-6
Oso Ighodaro,19:08,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,4,4,5
Grayson Allen,11:47,1,5,20.0,1,5,20.0,0,0,0.0,0,2,2,0,0,0,1,1,3,5
Bol Bol,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Damion Lee,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Vasilije Micic,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Monte Morris,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Mason Plumlee,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,39,82,47.6,14,36,38.9,16,18,88.9,14,38,52,25,2,4,16,21,108,2
