PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Ochai Agbaji,29:59,3,10,30.0,1,4,25.0,2,2,100,1,3,4,3,0,0,2,4,9,1
Scottie Barnes,27:32,5,16,31.3,0,5,0.0,3,4,75.0,3,7,10,8,3,2,1,3,13,10
Jakob Poeltl,25:48,10,13,76.9,0,0,0.0,1,2,50.0,3,8,11,1,2,3,2,1,21,9
Jamison Battle,26:34,4,9,44.4,3,6,50.0,0,0,0.0,0,3,3,0,0,0,0,3,11,0
Immanuel Quickley,25:41,5,16,31.3,3,9,33.3,8,8,100,2,2,4,7,1,1,2,1,21,10
Jonathan Mogbo,24:19,3,7,42.9,0,1,0.0,2,4,50.0,3,8,11,2,2,0,1,3,8,-3
,22:57,3,7,42.9,1,3,33.3,1,2,50.0,0,2,2,2,2,0,0,1,8,6
Jamal Shead,19:54,5,10,50.0,1,4,25.0,3,5,60.0,0,2,2,3,1,0,0,0,14,0
Orlando Robinson,18:48,1,7,14.3,0,1,0.0,0,0,0.0,4,3,7,1,0,0,2,6,2,-2
Colin Castleton,18:28,2,6,33.3,1,3,33.3,0,0,0.0,1,5,6,1,0,0,2,1,5,9
RJ Barrett,DND - Rest,,,,,,,,,,,,,,,,,,,
Garrett Temple,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Ja'Kobe Walter,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,41,101,40.6,10,36,27.8,20,27,74.1,17,43,60,28,11,6,12,23,112,8
Kyshawn George,1:53,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,0,5
Khris Middleton,21:39,2,7,28.6,0,2,0.0,5,5,100,0,2,2,5,1,0,1,2,9,8
Alex Sarr,31:47,6,19,31.6,1,7,14.3,3,9,33.3,1,4,5,2,1,3,2,1,16,3
Jordan Poole,21:39,8,13,61.5,5,9,55.6,2,2,100,0,1,1,1,1,1,5,3,23,8
Bub Carrington,30:54,6,15,40.0,1,6,16.7,2,3,66.7,2,9,11,6,2,0,3,4,15,5
Justin Champagnie,21:02,0,1,0.0,0,1,0.0,0,0,0.0,0,5,5,2,0,1,0,0,0,0
AJ Johnson,28:22,5,9,55.6,1,2,50.0,6,6,100,1,5,6,3,1,0,1,3,17,-15
Marcus Smart,12:29,2,4,50.0,1,2,50.0,1,2,50.0,0,2,2,1,2,0,2,1,6,-8
Colby Jones,26:35,0,4,0.0,0,2,0.0,2,2,100,1,3,4,2,0,2,2,2,2,-15
Tristan Vukcevic,23:34,4,9,44.4,2,4,50.0,1,3,33.3,1,3,4,1,0,1,1,1,11,-16
JT Thor,16:04,2,5,40.0,0,2,0.0,1,2,50.0,1,2,3,0,0,1,0,2,5,-11
Jaylen Martin,4:02,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-4
Anthony Gill,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Richaun Holmes,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,35,87,40.2,11,37,29.7,23,34,67.6,9,39,48,24,8,9,17,19,104,-8
