PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Gary Payton I,20:03,2,2,100,0,0,0.0,0,0,0.0,2,5,7,2,2,0,2,3,4,-21
Jimmy Butler II,28:43,5,12,41.7,0,2,0.0,1,1,100,5,1,6,2,1,0,0,0,11,-19
Draymond Green,23:11,1,4,25.0,0,3,0.0,0,0,0.0,2,3,5,3,0,0,3,1,2,-23
Moses Moody,25:03,3,13,23.1,0,9,0.0,1,1,100,1,0,1,2,0,0,0,1,7,-23
Brandin Podziemski,30:17,6,16,37.5,2,6,33.3,0,1,0.0,1,2,3,4,2,0,1,1,14,-4
Buddy Hield,25:31,3,8,37.5,2,5,40.0,2,2,100,0,3,3,0,0,0,1,2,10,-5
Quinten Post,13:38,1,5,20.0,1,4,25.0,0,0,0.0,0,1,1,3,0,0,4,2,3,-15
Jonathan Kuminga,24:49,4,10,40.0,1,3,33.3,6,9,66.7,0,2,2,2,2,0,1,0,15,-13
Gui Santos,19:35,5,8,62.5,3,6,50.0,0,0,0.0,2,1,3,0,0,0,0,2,13,-2
Kevon Looney,14:27,1,1,100,0,0,0.0,1,2,50.0,0,5,5,2,1,1,0,2,3,0
Pat Spencer,6:17,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Kevin Knox I,4:13,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1
Trayce Jackson-Davis,4:13,2,2,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,4,-1
TOTA,,33,83,39.8,9,38,23.7,11,16,68.8,14,24,38,20,8,1,12,14,86,-26
Andrew Wiggins,27:59,4,13,30.8,2,4,50.0,0,0,0.0,2,3,5,5,2,3,2,2,10,2
Bam Adebayo,34:15,9,18,50.0,2,3,66.7,7,9,77.8,1,7,8,1,1,1,3,1,27,23
Kel'el Ware,27:58,7,11,63.6,0,1,0.0,0,0,0.0,1,9,10,0,0,1,2,4,14,4
Alec Burks,24:15,6,8,75.0,5,7,71.4,0,0,0.0,0,2,2,0,1,0,1,1,17,5
Tyler Herro,35:44,7,10,70.0,4,4,100,2,2,100,0,3,3,7,0,0,2,0,20,33
Davion Mitchell,32:25,5,8,62.5,2,2,100,0,1,0.0,3,2,5,7,1,0,2,3,12,14
Haywood Highsmith,30:11,0,2,0.0,0,1,0.0,0,0,0.0,1,5,6,3,1,0,0,4,0,25
Kyle Anderson,20:01,3,3,100,1,1,100,0,0,0.0,0,3,3,3,2,0,2,0,7,24
Pelle Larsson,3:36,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,0,5,0
Jaime Jaquez Jr,3:36,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Nikola Jovic,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Kevin Love,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Duncan Robinson,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Terry Rozier,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,43,77,55.8,17,25,68.0,9,12,75.0,8,34,42,26,8,5,15,15,112,26
