PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylen Wells,28:58,3,10,30.0,2,6,33.3,2,2,100,3,3,6,5,1,0,1,3,10,26
Santi Aldama,23:29,3,7,42.9,2,6,33.3,1,2,50.0,1,4,5,3,0,0,1,1,9,7
Jaren Jackson Jr,22:52,8,12,66.7,2,3,66.7,1,2,50.0,1,2,3,1,1,2,1,2,19,13
Desmond Bane,29:42,8,16,50.0,2,4,50.0,3,3,100,1,3,4,6,1,1,1,0,21,20
Scotty Pippen Jr,24:15,7,8,87.5,2,2,100,0,0,0.0,3,2,5,10,1,0,0,4,16,28
Luke Kennard,23:28,3,9,33.3,2,7,28.6,0,0,0.0,1,2,3,6,1,0,1,2,8,14
Jay Huff,17:50,6,13,46.2,1,6,16.7,2,2,100,2,4,6,0,0,1,1,2,15,23
Vince Williams Jr,21:38,5,7,71.4,3,5,60.0,2,2,100,0,4,4,1,0,0,2,1,15,31
Zach Edey,21:20,5,8,62.5,2,2,100,3,3,100,4,3,7,2,2,0,0,5,15,11
John Konchar,19:37,3,5,60.0,2,3,66.7,0,0,0.0,1,6,7,3,0,0,0,1,8,8
Cam Spencer,6:51,1,3,33.3,0,1,0.0,2,2,100,0,2,2,1,0,0,0,0,4,4
Lamar Stevens,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,52,98,53.1,20,45,44.4,16,18,88.9,17,35,52,38,7,4,8,21,140,37
Cody Williams,28:18,3,9,33.3,2,5,40.0,0,0,0.0,0,1,1,1,0,0,0,2,8,-13
Kyle Filipowski,24:26,4,6,66.7,2,3,66.7,3,3,100,0,2,2,0,1,0,2,0,13,-24
Walker Kessler,28:11,3,6,50.0,1,1,100,0,0,0.0,4,5,9,1,1,2,2,3,7,-23
Collin Sexton,17:43,4,10,40.0,1,5,20.0,6,6,100,0,3,3,5,2,0,1,0,15,-16
Isaiah Collier,27:54,7,13,53.8,4,8,50.0,3,5,60.0,0,3,3,4,1,0,6,3,21,-21
Oscar Tshiebwe,17:50,2,4,50.0,0,0,0.0,2,3,66.7,0,3,3,0,0,0,0,1,6,-5
KJ Martin,23:34,2,5,40.0,0,2,0.0,1,1,100,0,2,2,1,0,0,0,2,5,-13
Keyonte George,22:38,1,8,12.5,1,6,16.7,3,4,75.0,0,1,1,1,0,0,1,2,6,-29
Brice Sensabaugh,21:07,3,5,60.0,3,5,60.0,0,0,0.0,0,1,1,5,1,1,1,2,9,-17
Johnny Juzang,18:19,5,10,50.0,3,6,50.0,0,0,0.0,0,1,1,5,0,0,0,1,13,-11
Jaden Springer,0:11,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
Svi Mykhailiuk,9:49,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-13
Elijah Harkless,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,34,78,43.6,17,42,40.5,18,22,81.8,4,24,28,24,6,3,13,16,103,-37
