PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Devin Vassell,32:19,10,21,47.6,6,12,50.0,0,0,0.0,0,6,6,1,0,0,1,0,26,-9
Harrison Barnes,23:02,1,9,11.1,1,7,14.3,6,6,100,1,3,4,3,0,0,1,2,9,-4
Bismack Biyombo,25:22,0,3,0.0,0,0,0.0,0,0,0.0,1,6,7,3,0,0,1,2,0,-7
Stephon Castle,29:37,7,15,46.7,1,4,25.0,4,6,66.7,0,2,2,4,1,0,2,1,19,-7
Chris Paul,21:04,1,4,25.0,1,4,25.0,0,0,0.0,0,1,1,3,2,1,2,3,3,-6
Keldon Johnson,22:27,3,9,33.3,0,2,0.0,4,4,100,5,0,5,3,0,0,1,0,10,-16
Jeremy Sochan,14:48,1,4,25.0,0,0,0.0,0,0,0.0,3,1,4,0,1,1,0,3,2,-16
Julian Champagnie,22:28,1,7,14.3,0,6,0.0,2,2,100,1,5,6,2,2,0,1,2,4,-20
Blake Wesley,22:57,2,7,28.6,1,3,33.3,0,0,0.0,2,1,3,0,1,0,1,1,5,-19
Sandro Mamukelashvili,16:54,4,7,57.1,3,4,75.0,0,2,0.0,2,0,2,1,0,0,0,5,11,-14
Jordan McLaughlin,4:31,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-6
Malaki Branham,4:31,2,2,100,1,1,100,0,0,0.0,1,0,1,0,0,0,0,0,5,-6
TOTA,,33,91,36.3,14,44,31.8,16,20,80.0,16,25,41,21,7,2,10,19,96,-26
Ausar Thompson,26:59,6,10,60.0,1,3,33.3,1,2,50.0,2,4,6,3,2,0,1,4,14,8
Tobias Harris,27:16,4,10,40.0,3,5,60.0,4,4,100,0,8,8,4,3,1,1,0,15,5
Jalen Duren,24:02,6,9,66.7,0,0,0.0,2,5,40.0,1,3,4,7,0,0,1,3,14,11
Tim Hardaway Jr,25:18,4,7,57.1,1,4,25.0,3,3,100,0,2,2,4,0,0,0,2,12,6
Dennis Schroder,22:43,2,6,33.3,0,1,0.0,3,3,100,0,2,2,6,0,0,0,4,7,7
Malik Beasley,24:42,5,12,41.7,2,7,28.6,1,2,50.0,0,3,3,3,0,0,1,0,13,18
Marcus Sasser,25:36,9,12,75.0,5,7,71.4,4,5,80.0,1,3,4,1,1,0,3,1,27,21
Simone Fontecchio,16:55,1,2,50.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,1,2,2,18
Isaiah Stewart,19:43,2,3,66.7,0,0,0.0,0,0,0.0,1,5,6,2,0,3,0,1,4,12
Ronald Holland I,17:47,3,4,75.0,1,1,100,1,1,100,1,5,6,2,0,1,2,1,8,17
Lindy Waters II,4:44,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,4
Paul Reed,4:15,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,3,3
Cade Cunningham,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,44,78,56.4,15,31,48.4,19,25,76.0,6,38,44,33,6,5,10,19,122,26
