PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Kawhi Leonard,40:38,10,18,55.6,2,6,33.3,5,5,100,2,8,10,7,0,0,0,3,27,0
Norman Powell,31:04,7,12,58.3,4,5,80.0,1,2,50.0,0,1,1,2,2,1,1,4,19,-8
Ivica Zubac,30:31,7,15,46.7,0,0,0.0,4,6,66.7,6,4,10,2,2,2,2,2,18,-4
Kris Dunn,28:52,3,8,37.5,1,5,20.0,2,2,100,0,3,3,6,0,0,0,4,9,-4
James Harden,36:46,8,16,50.0,6,9,66.7,7,8,87.5,1,5,6,6,0,2,2,3,29,0
Nicolas Batum,17:39,2,2,100,2,2,100,0,0,0.0,0,1,1,0,0,2,0,1,6,18
Bogdan Bogdanovic,18:13,2,5,40.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,4,14
Ben Simmons,16:11,1,4,25.0,0,0,0.0,0,0,0.0,2,6,8,2,0,0,0,2,2,19
Derrick Jones Jr,17:51,5,8,62.5,1,3,33.3,1,1,100,2,4,6,0,0,1,0,1,12,24
Patty Mills,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Drew Eubanks,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Kobe Brown,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Amir Coffey,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,45,88,51.1,16,30,53.3,20,24,83.3,13,32,45,27,4,8,5,21,126,13
OG Anunoby,37:28,11,17,64.7,3,5,60.0,3,3,100,2,3,5,3,1,0,1,0,28,-8
Josh Hart,33:34,3,9,33.3,0,4,0.0,1,3,33.3,1,4,5,6,0,0,0,3,7,7
Karl-Anthony Towns,38:37,11,20,55.0,4,7,57.1,8,10,80.0,1,13,14,4,2,0,4,2,34,2
Mikal Bridges,39:57,7,16,43.8,1,5,20.0,2,2,100,0,4,4,9,1,0,2,2,17,2
Cameron Payne,18:15,6,9,66.7,3,6,50.0,0,0,0.0,0,2,2,0,0,0,1,0,15,2
Landry Shamet,19:24,2,5,40.0,2,5,40.0,0,0,0.0,1,1,2,2,0,0,0,3,6,-29
Precious Achiuwa,7:58,2,3,66.7,0,0,0.0,2,2,100,1,2,3,0,0,0,0,0,6,2
Tyler Kolek,18:30,0,3,0.0,0,2,0.0,0,2,0.0,1,0,1,7,0,0,1,2,0,-14
Mitchell Robinson,12:47,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,1,0,-22
Delon Wright,12:00,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0,-3
Anton Watson,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
MarJon Beauchamp,0:45,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,42,84,50.0,13,34,38.2,16,22,72.7,7,31,38,35,4,1,9,14,113,-13
