PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Rui Hachimura,27:54,4,5,80.0,4,4,100,2,2,100,0,4,4,1,0,0,1,2,14,-2
LeBron James,37:44,4,12,33.3,0,3,0.0,5,5,100,3,10,13,7,1,0,1,1,13,5
Jaxson Hayes,18:12,6,6,100,0,0,0.0,1,3,33.3,0,2,2,1,0,1,1,3,13,-13
Austin Reaves,36:12,8,16,50.0,1,8,12.5,7,7,100,1,3,4,5,1,0,4,3,24,6
Luka Doncic,37:58,11,21,52.4,6,10,60.0,6,7,85.7,0,7,7,7,0,1,3,2,34,-16
Jordan Goodwin,7:19,1,4,25.0,0,1,0.0,0,0,0.0,2,0,2,1,0,0,1,1,2,-8
Dorian Finney-Smith,31:04,4,7,57.1,3,5,60.0,0,0,0.0,0,3,3,1,2,1,2,4,11,-1
Gabe Vincent,22:08,2,6,33.3,2,5,40.0,0,0,0.0,0,1,1,0,1,0,1,2,6,-8
Jarred Vanderbilt,16:06,0,1,0.0,0,1,0.0,0,0,0.0,2,4,6,3,0,0,0,4,0,24
Dalton Knecht,5:23,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,3,18
Christian Koloko,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Alex Len,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Shake Milton,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Markieff Morris,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Cam Reddish,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,41,79,51.9,17,38,44.7,21,24,87.5,8,35,43,26,5,3,14,22,120,1
Aaron Nesmith,20:34,5,9,55.6,3,6,50.0,0,0,0.0,0,1,1,2,3,0,1,3,13,-7
Pascal Siakam,35:39,6,12,50.0,0,1,0.0,3,4,75.0,3,3,6,2,1,2,1,1,15,14
Myles Turner,35:06,6,9,66.7,4,5,80.0,0,0,0.0,0,12,12,1,1,1,1,4,16,10
Andrew Nembhard,39:18,6,9,66.7,1,2,50.0,3,3,100,3,4,7,3,1,0,1,0,16,14
Tyrese Haliburton,31:44,7,16,43.8,1,9,11.1,1,1,100,0,0,0,18,2,1,1,2,16,7
Obi Toppin,18:58,4,7,57.1,2,5,40.0,0,1,0.0,1,1,2,0,0,0,0,1,10,-6
Bennedict Mathurin,30:07,7,16,43.8,2,5,40.0,7,8,87.5,0,5,5,2,0,0,1,1,23,-5
,11:57,2,6,33.3,1,1,100,0,0,0.0,0,1,1,2,1,0,1,1,5,-6
Ben Sheppard,6:57,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-23
Thomas Bryant,1:48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9
Jarace Walker,7:52,1,2,50.0,1,1,100,2,2,100,0,2,2,1,0,0,1,2,5,6
Tony Bradley,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Johnny Furphy,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Quenton Jackson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
James Johnson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,87,50.6,15,36,41.7,16,19,84.2,7,29,36,31,9,4,9,16,119,-1
