PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Taurean Prince,32:41,6,9,66.7,3,4,75.0,0,0,0.0,0,0,0,5,1,0,0,0,15,-4
Kyle Kuzma,36:00,3,10,30.0,0,1,0.0,4,6,66.7,2,5,7,4,0,2,3,2,10,-16
Brook Lopez,38:06,12,17,70.6,2,5,40.0,0,0,0.0,5,2,7,3,1,3,1,3,26,-14
Gary Trent Jr,34:21,5,15,33.3,4,11,36.4,2,2,100,0,4,4,0,0,0,1,1,16,-5
Kevin Porter Jr,29:40,5,15,33.3,0,4,0.0,2,2,100,0,7,7,8,0,0,4,1,12,-17
AJ Green,34:13,5,9,55.6,5,9,55.6,0,0,0.0,1,4,5,5,0,0,2,2,15,1
Pat Connaughton,16:39,3,5,60.0,0,0,0.0,0,0,0.0,0,8,8,2,0,1,0,1,6,-2
Ryan Rollins,18:20,7,9,77.8,2,3,66.7,1,3,33.3,0,1,1,3,2,0,0,4,17,7
Jamaree Bouyea,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Andre Jackson Jr,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Chris Livingston,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Pete Nance,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Tyler Smith,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Stanley Umude,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,46,89,51.7,16,37,43.2,9,13,69.2,8,31,39,30,4,6,11,14,117,-10
Michael Porter Jr,33:40,7,9,77.8,6,8,75.0,3,4,75.0,1,9,10,4,3,0,2,1,23,11
Aaron Gordon,18:32,3,6,50.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,2,3,7,-1
Nikola Jokic,38:06,16,25,64.0,3,6,50.0,4,7,57.1,2,8,10,10,0,0,3,2,39,14
Christian Braun,37:42,8,15,53.3,3,6,50.0,0,0,0.0,4,6,10,6,2,0,0,3,19,13
Jamal Murray,36:44,6,15,40.0,1,7,14.3,4,5,80.0,0,4,4,6,0,1,0,0,17,7
Peyton Watson,34:00,6,8,75.0,0,0,0.0,0,0,0.0,1,6,7,2,0,3,0,1,12,15
Russell Westbrook,23:47,2,9,22.2,1,6,16.7,1,4,25.0,0,2,2,6,1,0,1,2,6,-1
Jalen Pickett,14:01,1,2,50.0,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,4,-3
DeAndre Jordan,3:14,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-5
Spencer Jones,0:14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Trey Alexander,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Vlatko Cancar,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Zeke Nnaji,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Dario Saric,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Hunter Tyson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,49,90,54.4,16,37,43.2,13,22,59.1,8,38,46,36,6,4,9,12,127,10
