PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Zaccharie Risacher,25:38,2,5,40.0,1,3,33.3,0,2,0.0,0,0,0,4,0,0,2,2,5,-20
Vit Krejci,26:00,5,8,62.5,4,6,66.7,0,0,0.0,0,6,6,4,0,1,2,3,14,-8
Onyeka Okongwu,34:23,6,12,50.0,1,4,25.0,2,2,100,2,7,9,0,2,0,2,1,15,-8
Dyson Daniels,35:09,4,10,40.0,1,4,25.0,0,0,0.0,2,6,8,3,2,1,2,0,9,-1
Trae Young,35:37,10,21,47.6,6,12,50.0,3,3,100,0,2,2,12,2,0,5,1,29,-20
Caris LeVert,28:11,6,12,50.0,2,6,33.3,3,4,75.0,1,4,5,3,1,0,1,1,17,6
Georges Niang,14:12,2,4,50.0,1,2,50.0,0,0,0.0,0,3,3,0,1,0,1,1,5,6
Terance Mann,27:13,6,8,75.0,2,4,50.0,0,0,0.0,0,1,1,1,2,0,0,1,14,-3
Dominick Barlow,13:37,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,4,-2
Mouhamed Gueye,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Jalen Johnson,NWT - Injury/Illness,,,,,,,,,,,,,,,,,,,
Garrison Mathews,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,43,83,51.8,18,41,43.9,8,11,72.7,6,30,36,27,10,2,15,11,112,-10
Andrew Wiggins,32:30,6,15,40.0,2,6,33.3,2,2,100,1,4,5,3,1,0,3,1,16,14
Bam Adebayo,37:38,4,9,44.4,1,2,50.0,3,4,75.0,0,10,10,4,3,0,3,0,12,22
Kel'el Ware,21:23,3,7,42.9,0,1,0.0,1,2,50.0,4,8,12,0,0,1,0,1,7,-7
Alec Burks,15:31,3,7,42.9,3,6,50.0,2,3,66.7,0,1,1,2,0,0,1,2,11,-5
Tyler Herro,37:31,13,17,76.5,4,6,66.7,6,7,85.7,1,2,3,4,2,0,4,1,36,4
Davion Mitchell,35:51,6,12,50.0,4,5,80.0,0,0,0.0,1,1,2,6,1,0,0,3,16,9
Haywood Highsmith,34:27,4,8,50.0,3,5,60.0,0,0,0.0,0,2,2,2,2,0,2,1,11,10
Pelle Larsson,7:13,1,2,50.0,1,1,100,0,0,0.0,0,0,0,1,1,0,0,0,3,-4
Kyle Anderson,17:56,4,5,80.0,0,1,0.0,2,2,100,0,2,2,4,0,0,0,1,10,7
Jaime Jaquez Jr,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Nikola Jovic,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Kevin Love,NWT - Personal,,,,,,,,,,,,,,,,,,,
Duncan Robinson,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Terry Rozier,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,82,53.7,18,33,54.5,16,20,80.0,7,30,37,26,10,1,13,10,122,10
