PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Aaron Nesmith,18:35,4,7,57.1,3,5,60.0,0,0,0.0,1,3,4,0,0,0,2,2,11,12
Pascal Siakam,22:47,6,8,75.0,1,1,100,0,0,0.0,1,1,2,5,1,0,1,0,13,14
Myles Turner,21:24,5,7,71.4,4,6,66.7,3,4,75.0,0,5,5,2,0,0,1,2,17,21
Andrew Nembhard,20:11,2,3,66.7,1,2,50.0,2,2,100,1,3,4,8,1,0,1,0,7,8
Tyrese Haliburton,24:57,9,15,60.0,7,10,70.0,4,5,80.0,0,2,2,6,1,1,1,2,29,29
Bennedict Mathurin,21:44,2,7,28.6,0,5,0.0,6,6,100,1,1,2,1,1,0,3,0,10,30
Obi Toppin,16:28,7,9,77.8,1,3,33.3,0,0,0.0,0,2,2,4,1,0,0,1,15,25
,17:11,5,7,71.4,0,0,0.0,0,0,0.0,3,6,9,8,0,0,1,1,10,26
Jarace Walker,24:40,6,10,60.0,4,5,80.0,0,0,0.0,1,4,5,5,0,1,1,4,16,31
Thomas Bryant,13:58,4,5,80.0,2,2,100,2,2,100,2,5,7,0,0,0,0,2,12,20
Ben Sheppard,12:00,2,4,50.0,2,4,50.0,0,0,0.0,1,1,2,2,0,0,0,1,6,16
Tony Bradley,9:23,4,6,66.7,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,2,8,10
Quenton Jackson,9:01,2,3,66.7,1,1,100,0,0,0.0,1,1,2,7,3,0,0,0,5,12
Johnny Furphy,7:41,1,1,100,1,1,100,0,0,0.0,1,1,2,0,0,0,0,2,3,11
James Johnson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,59,92,64.1,27,47,57.4,17,19,89.5,13,37,50,48,8,2,12,19,162,53
Justin Champagnie,33:17,6,9,66.7,0,2,0.0,3,4,75.0,4,3,7,1,2,0,2,1,15,-33
Khris Middleton,14:02,3,7,42.9,1,3,33.3,1,2,50.0,0,1,1,2,1,0,0,1,8,-17
Alex Sarr,27:31,8,15,53.3,1,4,25.0,5,6,83.3,4,3,7,1,1,1,3,4,22,-27
Jordan Poole,24:30,6,13,46.2,4,8,50.0,2,2,100,0,0,0,3,2,0,2,1,18,-24
Bub Carrington,30:39,5,12,41.7,3,6,50.0,0,0,0.0,0,4,4,6,0,1,2,3,13,-19
AJ Johnson,26:36,1,7,14.3,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,-41
Jaylen Martin,22:31,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,2,0,0,1,0,4,-37
Colby Jones,29:38,3,7,42.9,2,3,66.7,4,4,100,0,2,2,2,3,0,1,1,12,-24
Richaun Holmes,13:18,2,5,40.0,0,0,0.0,5,6,83.3,2,1,3,1,0,0,0,1,9,-13
Anthony Gill,3:25,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-2
Tristan Vukcevic,14:33,1,6,16.7,0,2,0.0,2,2,100,0,2,2,1,0,0,4,3,4,-28
Kyshawn George,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,38,85,44.7,11,30,36.7,22,26,84.6,12,19,31,19,9,2,15,15,109,-53
