PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jaylen Wells,28:11,3,6,50.0,2,5,40.0,5,5,100,0,5,5,0,0,0,1,4,13,-9
Santi Aldama,26:05,3,9,33.3,1,6,16.7,3,4,75.0,0,5,5,5,1,0,0,1,10,-20
Jaren Jackson Jr,30:43,9,21,42.9,5,7,71.4,4,4,100,1,1,2,4,0,2,0,4,27,-11
Desmond Bane,31:48,1,12,8.3,1,9,11.1,0,0,0.0,1,1,2,6,1,0,3,3,3,-30
Scotty Pippen Jr,31:26,5,10,50.0,3,5,60.0,4,4,100,1,9,10,7,5,0,7,3,17,-10
Jay Huff,17:57,3,5,60.0,2,3,66.7,0,0,0.0,0,2,2,1,0,1,0,1,8,0
Luke Kennard,26:27,3,4,75.0,1,2,50.0,2,2,100,1,4,5,1,0,0,5,1,9,-2
Vince Williams Jr,18:15,3,7,42.9,1,4,25.0,0,0,0.0,0,0,0,3,0,0,2,1,7,-12
Zach Edey,17:01,2,2,100,0,0,0.0,4,4,100,1,3,4,1,0,1,0,2,8,-6
John Konchar,7:29,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,0,0,-3
Lamar Stevens,2:25,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1
Cam Spencer,2:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
TOTA,,33,79,41.8,16,42,38.1,22,23,95.7,5,31,36,28,9,4,18,20,104,-21
Jalen Williams,29:13,6,12,50.0,1,1,100,7,8,87.5,0,5,5,4,0,0,4,3,20,0
Chet Holmgren,24:53,2,9,22.2,0,4,0.0,0,0,0.0,0,9,9,2,0,0,4,3,4,4
Isaiah Hartenstein,29:28,5,9,55.6,0,1,0.0,8,8,100,3,8,11,4,2,2,2,4,18,16
Luguentz Dort,29:07,3,8,37.5,3,7,42.9,0,0,0.0,1,0,1,5,3,0,0,2,9,27
Shai Gilgeous-Alexander,33:35,15,25,60.0,0,2,0.0,7,9,77.8,0,3,3,6,3,0,0,0,37,26
Kenrich Williams,20:08,3,5,60.0,1,2,50.0,1,1,100,0,2,2,1,0,1,0,4,8,-2
Jaylin Williams,7:42,1,2,50.0,1,1,100,0,0,0.0,0,3,3,0,0,0,0,0,3,6
Isaiah Joe,21:28,2,6,33.3,2,4,50.0,1,2,50.0,1,3,4,2,0,0,0,0,7,15
Cason Wallace,27:37,4,6,66.7,2,2,100,0,0,0.0,0,3,3,2,1,0,2,0,10,10
Alex Caruso,10:11,2,5,40.0,2,5,40.0,0,0,0.0,1,2,3,1,0,1,0,1,6,0
Adam Flagler,2:13,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1
Branden Carlson,2:13,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,3,1
Dillon Jones,2:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1
TOTA,,44,90,48.9,13,31,41.9,24,28,85.7,7,38,45,28,9,4,12,17,125,21
