PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Devin Vassell,36:43,7,15,46.7,4,10,40.0,4,4,100,0,3,3,4,1,0,2,5,22,-6
Harrison Barnes,27:14,4,8,50.0,1,3,33.3,1,1,100,1,1,2,2,2,0,0,0,10,-6
Bismack Biyombo,15:10,4,5,80.0,0,0,0.0,0,0,0.0,2,4,6,1,1,2,0,1,8,5
Stephon Castle,31:53,9,23,39.1,2,5,40.0,2,6,33.3,7,4,11,8,1,0,3,4,22,-1
Chris Paul,33:09,2,10,20.0,1,4,25.0,0,0,0.0,0,4,4,5,2,0,1,2,5,4
Julian Champagnie,24:28,4,13,30.8,3,9,33.3,5,5,100,2,5,7,1,0,0,1,0,16,-6
Keldon Johnson,27:25,7,16,43.8,1,5,20.0,2,2,100,4,6,10,0,2,0,1,4,17,0
Jeremy Sochan,22:47,5,12,41.7,1,3,33.3,2,3,66.7,1,4,5,2,0,1,1,3,13,-12
Blake Wesley,14:11,1,1,100,1,1,100,0,0,0.0,0,0,0,1,0,0,1,1,3,-19
Sandro Mamukelashvili,7:01,0,3,0.0,0,3,0.0,0,0,0.0,2,0,2,3,1,0,0,0,0,1
Malaki Branham,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Jordan McLaughlin,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,43,106,40.6,14,43,32.6,16,21,76.2,19,31,50,27,10,3,10,20,116,-8
Max Strus,28:43,7,10,70.0,4,7,57.1,0,0,0.0,1,3,4,4,0,0,2,3,18,-2
Dean Wade,24:36,1,5,20.0,1,5,20.0,0,0,0.0,1,2,3,0,0,0,0,0,3,-6
Jarrett Allen,30:00,10,11,90.9,0,0,0.0,9,11,81.8,3,12,15,0,1,1,2,1,29,1
Donovan Mitchell,35:15,8,18,44.4,4,9,44.4,5,5,100,3,5,8,14,1,1,1,1,25,6
Darius Garland,30:00,4,15,26.7,2,7,28.6,0,0,0.0,2,2,4,9,2,0,4,1,10,1
De'Andre Hunter,31:08,6,15,40.0,1,7,14.3,1,2,50.0,0,7,7,2,2,1,3,3,14,9
Sam Merrill,24:14,5,13,38.5,3,9,33.3,0,0,0.0,0,2,2,2,0,1,1,3,13,6
Isaac Okoro,19:17,4,7,57.1,1,2,50.0,0,0,0.0,0,4,4,1,0,0,0,1,9,10
Javonte Green,8:34,1,4,25.0,1,2,50.0,0,0,0.0,2,3,5,1,1,0,0,0,3,15
Tristan Thompson,8:13,0,1,0.0,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,1,0,0
Craig Porter Jr,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,46,99,46.5,17,48,35.4,15,18,83.3,14,42,56,33,7,5,13,14,124,8
