PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Isaac Okoro,24:47,1,2,50.0,0,1,0.0,5,8,62.5,1,2,3,0,0,0,0,4,7,-9
Evan Mobley,32:34,3,10,30.0,2,6,33.3,1,2,50.0,0,6,6,4,0,2,3,1,9,-23
Jarrett Allen,19:17,4,7,57.1,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,0,8,-13
Donovan Mitchell,35:40,12,24,50.0,3,8,37.5,11,13,84.6,2,3,5,3,1,0,3,5,38,-16
Darius Garland,34:29,7,17,41.2,5,11,45.5,2,2,100,1,4,5,6,1,0,4,3,21,-8
Sam Merrill,20:26,2,5,40.0,2,5,40.0,0,0,0.0,1,3,4,0,3,0,0,3,6,-3
De'Andre Hunter,19:30,3,7,42.9,0,2,0.0,5,6,83.3,1,2,3,0,1,0,2,3,11,-6
Dean Wade,18:35,3,5,60.0,2,4,50.0,2,3,66.7,1,1,2,1,0,0,1,2,10,8
Javonte Green,12:38,0,1,0.0,0,1,0.0,1,2,50.0,0,4,4,0,0,0,1,4,1,11
Craig Porter Jr,20:53,3,5,60.0,1,2,50.0,2,2,100,2,3,5,2,3,0,0,2,9,2
Tristan Thompson,1:11,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2
TOTA,,39,84,46.4,15,40,37.5,29,38,76.3,11,30,41,16,9,3,14,27,122,-11
Tim Hardaway Jr,33:09,10,18,55.6,7,11,63.6,5,5,100,0,1,1,3,0,0,1,3,32,14
Ausar Thompson,31:39,8,18,44.4,0,2,0.0,2,2,100,3,7,10,2,2,4,2,2,18,15
Jalen Duren,27:28,6,9,66.7,0,0,0.0,4,6,66.7,6,7,13,0,1,1,0,4,16,15
Malik Beasley,36:18,4,10,40.0,3,5,60.0,8,8,100,3,1,4,4,1,0,1,4,19,7
Dennis Schroder,39:12,5,14,35.7,1,5,20.0,6,7,85.7,2,5,7,10,1,0,2,5,17,16
Marcus Sasser,18:53,1,9,11.1,1,5,20.0,1,2,50.0,0,1,1,4,1,0,2,1,4,-3
Simone Fontecchio,13:49,1,3,33.3,1,3,33.3,0,0,0.0,1,0,1,0,2,0,0,4,3,1
Isaiah Stewart,20:32,5,6,83.3,0,0,0.0,4,5,80.0,1,3,4,1,0,0,2,5,14,-4
Ronald Holland I,19:00,4,5,80.0,2,3,66.7,0,0,0.0,0,2,2,1,0,0,3,1,10,-6
Tobias Harris,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Daniss Jenkins,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Bobi Klintman,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Paul Reed,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Lindy Waters II,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,92,47.8,15,34,44.1,30,35,85.7,16,27,43,25,8,5,13,29,133,11
