PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Norman Powell,24:54,3,9,33.3,2,5,40.0,3,4,75.0,0,2,2,5,1,0,0,2,11,29
Kawhi Leonard,26:55,10,14,71.4,5,6,83.3,6,6,100,0,6,6,2,4,2,1,0,31,32
Ivica Zubac,24:34,9,9,100,0,0,0.0,3,4,75.0,0,12,12,1,0,1,1,3,21,32
Kris Dunn,22:04,3,5,60.0,1,1,100,2,2,100,0,4,4,2,2,0,1,3,9,28
James Harden,28:51,6,10,60.0,2,5,40.0,3,3,100,0,2,2,6,0,0,2,1,17,34
Bogdan Bogdanovic,24:26,3,10,30.0,2,7,28.6,0,0,0.0,1,5,6,9,1,0,1,2,8,4
Nicolas Batum,18:41,3,4,75.0,3,4,75.0,0,0,0.0,0,4,4,0,1,0,1,1,9,3
Ben Simmons,17:13,0,3,0.0,0,0,0.0,0,0,0.0,0,3,3,3,1,0,1,0,0,1
Derrick Jones Jr,15:15,3,7,42.9,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,3,6,-5
Amir Coffey,13:32,1,4,25.0,1,3,33.3,2,2,100,0,1,1,1,1,0,1,2,5,-6
Drew Eubanks,8:57,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5,0,0,1,1,1,0,3
Kobe Brown,7:53,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,1,2,1,2
Patty Mills,6:45,3,4,75.0,3,4,75.0,5,5,100,0,0,0,0,0,0,0,2,14,3
TOTA,,44,80,55.0,19,37,51.4,25,28,89.3,2,46,48,29,11,4,12,22,132,32
Cameron Johnson,19:46,3,8,37.5,1,5,20.0,4,4,100,0,0,0,6,1,0,1,1,11,-18
Ziaire Williams,18:02,2,6,33.3,1,5,20.0,1,1,100,0,3,3,1,0,1,2,4,6,-32
Nic Claxton,19:46,3,7,42.9,0,1,0.0,0,0,0.0,0,5,5,1,0,2,2,2,6,-18
Keon Johnson,22:44,5,11,45.5,3,7,42.9,0,0,0.0,0,1,1,2,2,0,2,2,13,-28
D'Angelo Russell,18:41,2,7,28.6,1,3,33.3,0,0,0.0,1,1,2,2,2,0,1,1,5,-21
Tyrese Martin,19:28,2,7,28.6,2,5,40.0,0,0,0.0,0,4,4,1,0,0,0,1,6,-11
Jalen Wilson,27:39,1,10,10.0,0,3,0.0,6,8,75.0,2,5,7,2,2,0,0,1,8,2
Trendon Watford,20:21,3,8,37.5,0,2,0.0,0,0,0.0,1,4,5,5,2,0,2,2,6,-12
Dariq Whitehead,9:42,2,5,40.0,1,4,25.0,0,0,0.0,0,1,1,0,0,0,0,1,5,-12
Drew Timme,24:54,4,6,66.7,1,3,33.3,2,3,66.7,4,6,10,1,0,0,3,1,11,-13
Tosan Evbuomwan,14:34,1,3,33.3,1,2,50.0,1,2,50.0,1,2,3,3,0,0,0,0,4,6
Tyson Etienne,9:51,3,7,42.9,2,5,40.0,0,0,0.0,0,0,0,1,0,0,0,2,8,0
Maxwell Lewis,7:53,2,3,66.7,1,1,100,0,2,0.0,1,1,2,1,0,0,0,1,5,-2
Reece Beekman,6:39,0,1,0.0,0,1,0.0,6,6,100,0,0,0,1,1,0,1,2,6,-1
TOTA,,33,89,37.1,14,47,29.8,20,26,76.9,10,33,43,27,10,3,14,21,100,-32
