PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jalen Wilson,28:39,4,11,36.4,2,6,33.3,2,2,100,0,4,4,4,1,0,1,3,12,11
Ziaire Williams,25:19,4,8,50.0,2,6,33.3,1,2,50.0,0,2,2,0,0,0,0,1,11,3
Nic Claxton,27:20,2,6,33.3,0,0,0.0,2,5,40.0,2,5,7,3,1,1,0,3,6,6
Keon Johnson,28:30,10,19,52.6,2,8,25.0,2,2,100,0,3,3,3,1,0,2,4,24,10
D'Angelo Russell,31:20,5,10,50.0,4,7,57.1,4,5,80.0,1,4,5,11,2,1,1,1,18,4
Tyrese Martin,20:24,3,8,37.5,3,6,50.0,2,2,100,2,4,6,5,1,0,0,2,11,5
Drew Timme,20:38,4,8,50.0,1,3,33.3,0,0,0.0,1,2,3,1,0,1,1,4,9,-4
Trendon Watford,24:14,2,7,28.6,2,4,50.0,0,0,0.0,0,5,5,1,0,0,2,2,6,7
Dariq Whitehead,15:57,3,7,42.9,2,6,33.3,0,0,0.0,0,2,2,2,0,0,1,3,8,-10
Maxwell Lewis,17:39,2,6,33.3,2,5,40.0,2,2,100,1,2,3,2,0,0,0,0,8,-12
Reece Beekman,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Tyson Etienne,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Tosan Evbuomwan,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,39,90,43.3,20,51,39.2,15,20,75.0,7,33,40,32,6,3,8,23,113,4
,31:24,4,7,57.1,2,3,66.7,3,4,75.0,0,5,5,2,0,0,2,3,13,-14
Anthony Davis,28:27,5,10,50.0,0,1,0.0,2,4,50.0,0,7,7,5,0,1,1,4,12,7
Daniel Gafford,18:50,7,9,77.8,0,0,0.0,3,6,50.0,5,2,7,2,0,0,1,2,17,-6
Klay Thompson,27:30,5,16,31.3,3,12,25.0,0,0,0.0,1,2,3,4,1,1,0,0,13,-5
Spencer Dinwiddie,30:55,4,11,36.4,1,4,25.0,2,4,50.0,0,5,5,8,1,0,1,3,11,-12
Naji Marshall,27:10,4,7,57.1,0,0,0.0,0,0,0.0,2,6,8,3,1,0,0,4,8,2
Kai Jones,15:51,3,4,75.0,0,0,0.0,1,2,50.0,3,2,5,2,0,0,0,0,7,-4
Max Christie,19:56,4,9,44.4,2,4,50.0,2,3,66.7,0,3,3,0,1,0,1,0,12,0
Jaden Hardy,18:56,3,8,37.5,2,5,40.0,1,2,50.0,0,0,0,1,0,0,2,2,9,2
Caleb Martin,21:01,2,5,40.0,0,1,0.0,3,4,75.0,1,5,6,2,0,1,0,1,7,10
Dereck Lively I,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Dwight Powell,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,41,86,47.7,10,30,33.3,17,29,58.6,12,37,49,29,4,3,8,19,109,-4
