PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Norman Powell,33:34,8,14,57.1,3,6,50.0,2,2,100,0,4,4,1,0,0,0,1,21,7
Kawhi Leonard,39:11,8,22,36.4,0,6,0.0,5,6,83.3,0,8,8,2,1,1,4,2,21,10
Ivica Zubac,37:54,7,10,70.0,0,0,0.0,4,5,80.0,9,11,20,5,0,0,1,2,18,10
Kris Dunn,26:22,2,6,33.3,2,5,40.0,0,0,0.0,1,2,3,2,2,1,3,3,6,-2
James Harden,39:47,8,19,42.1,1,6,16.7,3,4,75.0,0,3,3,5,7,1,5,2,20,2
Derrick Jones Jr,18:40,2,5,40.0,1,3,33.3,0,0,0.0,1,2,3,2,1,0,1,3,5,5
Drew Eubanks,3:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3
Bogdan Bogdanovic,20:01,1,6,16.7,1,5,20.0,2,2,100,0,2,2,0,0,1,1,2,5,7
Nicolas Batum,21:13,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,1,1,1,0,3,0,9
Kobe Brown,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Cam Christie,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Trentyn Flowers,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Patty Mills,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,36,82,43.9,8,31,25.8,16,19,84.2,11,36,47,18,12,5,16,19,96,9
Franz Wagner,39:34,8,19,42.1,1,7,14.3,4,4,100,0,5,5,6,2,0,2,4,21,-10
Paolo Banchero,36:27,8,23,34.8,1,8,12.5,9,9,100,1,5,6,4,0,0,7,1,26,-5
Wendell Carter Jr,31:10,4,11,36.4,0,3,0.0,1,2,50.0,1,3,4,1,3,2,0,4,9,3
Kentavious Caldwell-Pope,32:50,4,4,100,3,3,100,0,0,0.0,1,2,3,0,1,1,1,3,11,-3
Cory Joseph,28:38,2,7,28.6,2,2,100,4,5,80.0,1,4,5,3,2,0,2,1,10,5
Gary Harris,8:31,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,1
Anthony Black,19:22,3,10,30.0,0,2,0.0,2,2,100,0,1,1,2,2,0,2,0,8,-14
Caleb Houstan,16:56,1,2,50.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,2,2,-9
Goga Bitadze,13:04,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-7
Jonathan Isaac,9:58,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,0,0,-4
Tristan da Silva,3:30,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Jett Howard,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,30,76,39.5,7,26,26.9,20,22,90.9,6,26,32,18,10,4,14,17,87,-9
