PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Pelle Larsson,29:49,7,13,53.8,0,4,0.0,1,2,50.0,3,4,7,5,1,0,2,2,15,18
Bam Adebayo,30:56,11,19,57.9,2,5,40.0,4,7,57.1,3,9,12,5,1,1,1,1,28,14
Kel'el Ware,22:11,3,6,50.0,0,0,0.0,0,0,0.0,1,10,11,0,0,0,4,4,6,24
Alec Burks,17:51,1,5,20.0,1,5,20.0,0,0,0.0,0,3,3,2,1,1,2,0,3,18
Tyler Herro,32:38,9,19,47.4,0,6,0.0,9,9,100,0,5,5,5,3,0,2,0,27,26
Haywood Highsmith,20:33,1,4,25.0,0,2,0.0,0,1,0.0,3,4,7,1,1,0,1,4,2,6
Terry Rozier,32:39,5,11,45.5,3,7,42.9,2,3,66.7,0,5,5,6,1,0,0,0,15,7
Kyle Anderson,23:51,4,6,66.7,1,1,100,1,2,50.0,1,3,4,3,1,0,2,4,10,14
Jaime Jaquez Jr,23:53,6,9,66.7,2,2,100,0,0,0.0,4,3,7,2,3,0,3,1,14,6
Isaiah Stevens,1:53,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Josh Christopher,1:53,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1
Keshad Johnson,1:53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Davion Mitchell,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,47,93,50.5,9,32,28.1,17,24,70.8,15,47,62,29,12,2,17,16,120,26
AJ Johnson,36:47,3,9,33.3,0,4,0.0,2,2,100,1,2,3,1,1,0,4,2,8,-17
Justin Champagnie,29:07,2,5,40.0,1,4,25.0,0,2,0.0,2,3,5,1,3,1,1,3,5,-14
Alex Sarr,30:45,3,17,17.6,1,7,14.3,1,1,100,0,3,3,3,1,2,2,5,8,-26
Jordan Poole,29:01,10,17,58.8,7,13,53.8,8,9,88.9,0,3,3,4,2,0,2,2,35,-18
Bub Carrington,38:28,3,11,27.3,2,6,33.3,0,0,0.0,0,8,8,9,3,0,3,1,8,-24
Marcus Smart,20:10,1,5,20.0,0,1,0.0,2,4,50.0,0,1,1,2,1,0,1,2,4,-9
Jaylen Martin,17:53,2,4,50.0,0,2,0.0,0,0,0.0,0,4,4,1,2,0,2,3,4,-8
Richaun Holmes,15:22,4,5,80.0,0,0,0.0,0,0,0.0,2,6,8,0,1,1,0,1,8,-1
Tristan Vukcevic,22:27,6,13,46.2,2,6,33.3,0,0,0.0,0,4,4,1,0,0,3,1,14,-13
Malcolm Brogdon,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Kyshawn George,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Anthony Gill,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,34,86,39.5,13,43,30.2,13,18,72.2,5,34,39,22,14,4,18,20,94,-26
