PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Johnny Juzang,19:16,5,10,50.0,2,5,40.0,0,0,0.0,2,0,2,0,1,0,0,2,12,-3
KJ Martin,29:01,2,8,25.0,1,6,16.7,0,0,0.0,0,2,2,2,1,0,1,1,5,-13
Kyle Filipowski,33:21,6,16,37.5,2,8,25.0,0,0,0.0,3,10,13,2,0,0,1,4,14,-1
Brice Sensabaugh,26:21,6,11,54.5,5,10,50.0,2,2,100,0,1,1,5,3,0,0,4,19,-3
Isaiah Collier,32:28,6,11,54.5,0,3,0.0,5,6,83.3,0,2,2,7,3,1,4,1,17,-4
Oscar Tshiebwe,24:13,3,4,75.0,0,0,0.0,0,0,0.0,5,6,11,1,2,0,1,1,6,2
Keyonte George,31:41,7,20,35.0,3,10,30.0,3,3,100,1,3,4,4,1,0,2,1,20,-2
Svi Mykhailiuk,16:32,0,7,0.0,0,5,0.0,2,2,100,1,1,2,2,0,0,0,1,2,3
Jaden Springer,27:07,4,9,44.4,1,5,20.0,2,2,100,2,2,4,2,2,1,1,0,11,1
Walker Kessler,DND-Return to Competition Reconditioning,,,,,,,,,,,,,,,,,,,
Collin Sexton,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Cody Williams,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,39,96,40.6,14,52,26.9,14,15,93.3,14,27,41,25,13,2,10,15,106,-4
Josh Green,25:40,4,5,80.0,3,3,100,3,4,75.0,1,1,2,3,0,0,1,3,14,8
Miles Bridges,34:34,11,17,64.7,3,6,50.0,1,1,100,3,7,10,8,1,1,4,1,26,17
Mark Williams,34:19,8,9,88.9,0,0,0.0,2,2,100,3,10,13,1,0,0,3,3,18,15
Seth Curry,25:57,2,9,22.2,1,7,14.3,2,2,100,0,2,2,5,0,0,2,0,7,7
KJ Simpson,32:00,4,13,30.8,2,8,25.0,0,0,0.0,2,6,8,6,2,1,2,2,10,14
Nick Smith Jr,19:41,1,6,16.7,1,5,20.0,0,0,0.0,0,0,0,5,0,0,3,3,3,-11
Jusuf Nurkic,11:06,3,7,42.9,0,1,0.0,0,1,0.0,0,2,2,1,0,0,1,0,6,-8
DaQuan Jeffries,17:49,4,7,57.1,2,5,40.0,0,0,0.0,0,4,4,1,0,1,0,1,10,-4
Tidjane Salaun,24:39,4,5,80.0,3,3,100,1,2,50.0,1,3,4,2,0,2,0,1,12,-5
Moussa Diabate,8:58,2,2,100,0,0,0.0,0,2,0.0,0,2,2,0,0,0,2,0,4,-9
Taj Gibson,5:17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-4
Grant Williams,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,43,80,53.8,15,38,39.5,9,14,64.3,10,37,47,33,3,5,18,14,110,4
