RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,CLE,41,35,6,1968.0,121.1,111.4,9.6,65.2,2.22,20.5,27.0,70.9,49.7,13.0,59.0,61.8,100.74,54.8,
2,OKC,41,34,7,1968.0,115.7,103.2,12.5,59.8,2.15,18.6,26.9,69.1,48.4,12.0,54.6,57.9,100.45,56.2,
3,BOS,42,29,13,2036.0,118.8,109.8,9.0,60.9,2.12,18.2,28.8,71.6,50.1,12.0,55.4,58.7,97.96,53.6,
4,HOU,41,28,13,1983.0,114.3,107.8,6.5,53.1,1.65,15.8,36.0,71.3,53.1,13.6,51.4,54.8,99.26,52.7,
5,MEM,42,27,15,2016.0,117.3,109.8,7.5,65.6,1.76,19.6,34.0,70.6,52.7,16.0,56.1,59.3,105.0,54.4,
5,NYK,43,27,16,2074.0,119.2,113.2,6.0,62.4,2.05,19.5,29.7,72.4,51.5,13.5,57.0,60.3,97.69,53.5,
7,DEN,41,25,16,1988.0,117.7,113.3,4.4,68.9,2.18,21.0,30.3,70.8,51.4,13.9,56.7,59.9,101.26,53.0,
8,IND,43,24,19,2074.0,114.0,113.6,0.4,65.8,2.04,20.1,25.8,71.7,49.2,13.7,56.1,59.1,100.43,51.2,
9,DAL,42,23,19,2021.0,114.9,111.5,3.4,60.0,1.76,18.1,28.5,69.9,49.7,14.3,55.3,58.6,100.16,51.6,
9,LAC,40,23,17,1925.0,110.5,107.3,3.3,60.6,1.48,17.8,28.0,73.2,51.0,16.5,54.1,57.6,99.0,51.0,
9,MIL,40,23,17,1925.0,113.2,110.8,2.4,59.3,1.74,18.2,24.0,73.4,49.6,14.1,56.5,59.2,100.11,51.2,
9,ORL,43,23,20,2064.0,107.8,107.5,0.3,62.2,1.56,17.4,30.5,73.1,50.6,15.5,50.8,54.7,96.76,50.1,
13,ATL,41,22,19,1983.0,111.6,113.4,-1.8,69.2,1.86,19.7,30.3,71.2,50.4,15.1,53.4,57.0,104.18,50.0,
13,LAL,39,22,17,1877.0,112.9,115.5,-2.6,65.0,1.98,19.2,26.4,69.8,48.3,13.5,54.3,58.0,98.33,49.8,
13,MIN,42,22,20,2026.0,112.4,110.5,1.9,63.0,1.59,18.2,28.9,70.3,50.0,15.9,55.1,58.3,97.39,51.0,
16,DET,42,21,21,2036.0,112.1,113.3,-1.2,61.6,1.63,18.2,30.4,72.8,51.4,15.7,54.3,57.3,99.19,48.6,
16,GSW,41,21,20,1973.0,111.6,111.0,0.6,69.1,1.97,19.6,31.1,71.3,50.7,14.4,53.1,55.5,99.56,50.0,
16,PHX,41,21,20,1978.0,114.2,115.3,-1.1,67.7,1.98,19.8,26.1,70.7,49.2,14.0,55.6,59.3,98.62,50.6,
16,SAC,41,21,20,1993.0,115.6,112.8,2.7,61.4,2.01,18.7,28.6,73.2,50.8,13.1,54.3,57.9,99.76,51.2,
20,MIA,40,20,20,1945.0,112.0,111.5,0.5,66.1,1.93,19.0,26.0,71.7,49.1,13.7,53.8,57.4,97.55,50.4,
21,SAS,40,19,21,1930.0,111.7,113.0,-1.3,70.6,1.98,20.1,28.4,70.4,49.8,14.4,53.3,56.9,99.39,51.1,
22,CHI,42,18,24,2021.0,112.5,115.4,-3.0,67.7,1.96,20.1,25.0,72.5,49.2,14.4,55.7,58.5,104.28,48.7,
23,PHI,40,15,25,1940.0,109.5,113.5,-4.0,57.3,1.55,16.4,27.5,69.0,47.4,14.4,52.0,56.1,97.05,46.6,
24,BKN,42,14,28,2031.0,109.6,116.4,-6.8,66.7,1.62,18.6,28.1,70.8,48.6,16.0,52.9,56.6,96.83,45.3,
25,POR,41,13,28,1968.0,108.4,117.5,-9.1,58.3,1.41,16.8,31.7,66.7,48.6,16.6,51.5,54.8,99.49,44.3,
26,NOP,43,11,32,2069.0,109.3,117.5,-8.2,62.9,1.74,17.9,30.9,67.0,48.2,14.6,51.0,54.4,99.48,45.6,
27,CHA,38,10,28,1839.0,107.8,113.4,-5.6,61.3,1.49,17.0,31.8,71.5,50.8,16.1,50.9,54.2,98.49,46.1,
27,TOR,42,10,32,2031.0,110.1,117.5,-7.4,68.7,1.8,19.8,32.0,69.1,50.3,15.9,53.1,56.0,100.12,46.7,
27,UTA,40,10,30,1925.0,111.2,118.0,-6.9,63.0,1.4,17.8,31.9,70.7,51.6,17.8,53.9,57.6,99.79,46.4,
30,WAS,40,6,34,1925.0,105.7,118.9,-13.2,62.5,1.55,17.6,27.4,68.7,47.8,15.7,51.4,54.7,102.86,43.0,
