RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,CLE,41,35,6,492.0,121.2,109.5,11.7,65.7,2.37,20.8,26.8,71.7,50.0,12.4,58.9,61.7,101.71,55.6,
2,OKC,41,34,7,492.0,114.5,104.8,9.7,60.2,1.77,18.4,25.2,69.7,47.4,14.3,55.5,58.8,102.68,53.9,
3,BOS,42,29,13,504.0,119.2,113.0,6.2,64.4,2.25,19.4,26.7,69.9,48.6,12.1,56.4,59.9,98.38,53.9,
4,HOU,41,28,13,492.0,111.6,107.8,3.9,54.4,1.54,16.1,36.5,72.3,53.5,14.9,51.3,54.0,99.56,51.3,
5,MEM,42,27,15,504.0,118.5,106.1,12.4,66.5,1.91,20.0,39.0,71.4,55.3,15.6,55.4,57.8,105.05,56.3,
5,NYK,43,27,16,516.0,124.6,110.6,14.1,60.4,2.07,19.2,33.5,73.1,53.7,13.2,57.8,61.6,99.58,56.9,
7,DEN,41,25,16,492.0,113.2,117.5,-4.3,65.2,1.87,20.0,27.9,71.5,50.7,15.1,56.0,58.9,102.83,48.6,
8,IND,43,24,19,516.0,110.4,112.0,-1.6,65.8,1.95,19.5,26.3,72.2,49.0,14.0,53.9,57.0,101.3,49.7,
9,DAL,42,23,19,504.0,116.5,108.8,7.7,64.7,1.75,18.9,30.3,68.1,50.4,15.2,56.1,59.8,100.71,54.7,
9,LAC,40,23,17,480.0,105.5,105.2,0.3,63.4,1.3,17.5,30.7,73.9,52.7,18.7,51.5,55.3,99.35,49.8,991.0
9,MIL,40,23,17,480.0,114.2,109.7,4.6,60.3,1.96,18.8,24.1,72.9,48.9,13.2,56.8,58.9,101.2,51.6,
9,ORL,43,23,20,516.0,101.8,111.2,-9.4,60.7,1.46,16.1,30.7,70.5,48.9,15.3,46.4,50.6,97.21,43.0,
13,ATL,41,22,19,492.0,111.5,114.6,-3.2,71.5,1.96,19.9,33.5,69.1,50.7,14.8,51.2,55.2,105.27,49.5,
13,LAL,39,22,17,468.0,114.9,109.4,5.5,60.2,1.88,18.3,25.1,65.7,46.6,13.3,55.2,59.2,99.85,53.9,974.0
13,MIN,42,22,20,504.0,109.5,108.1,1.4,64.2,1.47,18.1,29.6,68.9,49.4,17.2,54.1,57.1,97.33,50.5,
16,DET,42,21,21,504.0,111.5,117.5,-6.0,60.9,1.51,18.2,29.4,73.2,50.7,16.9,54.9,58.0,100.76,45.7,
16,GSW,41,21,20,492.0,103.6,107.0,-3.3,73.9,1.73,19.4,28.8,68.7,47.7,16.1,50.7,52.7,101.37,47.5,
16,PHX,41,21,20,492.0,114.1,113.1,1.1,65.6,1.83,19.2,29.5,69.7,50.5,14.8,54.6,58.3,98.98,52.0,
16,SAC,41,21,20,492.0,117.8,111.7,6.2,64.6,2.25,19.1,29.5,72.6,50.8,12.0,53.0,57.7,100.49,52.3,
20,MIA,40,20,20,480.0,113.8,106.5,7.3,66.4,2.01,18.7,27.7,74.0,50.6,13.1,52.9,57.2,98.9,53.3,987.0
21,SAS,40,19,21,480.0,109.6,112.2,-2.6,75.4,2.02,21.1,29.3,69.0,49.6,15.0,52.8,56.3,100.1,51.4,
22,CHI,42,18,24,504.0,113.2,118.6,-5.4,70.6,1.83,21.0,25.3,71.9,49.2,16.2,58.2,60.8,104.43,48.5,
23,PHI,40,15,25,480.0,109.7,111.1,-1.4,60.3,1.65,17.5,30.8,71.6,50.8,14.7,51.9,55.7,97.75,48.5,979.0
24,BKN,42,14,28,504.0,104.4,114.9,-10.5,68.7,1.52,17.7,29.0,67.8,47.6,16.3,49.3,53.8,98.52,44.6,
25,POR,41,13,28,492.0,111.2,113.3,-2.2,61.4,1.53,18.3,30.3,64.8,47.3,16.9,53.8,56.6,99.95,47.7,
26,NOP,43,11,32,516.0,103.6,114.9,-11.3,62.0,1.48,16.3,31.3,68.8,49.1,15.4,47.6,51.7,99.67,43.7,
27,CHA,38,10,28,456.0,107.1,118.8,-11.7,61.3,1.33,16.9,30.8,71.3,50.7,17.7,51.9,55.2,99.47,43.7,942.0
27,TOR,42,10,32,504.0,111.5,113.7,-2.2,70.4,1.72,20.7,30.0,71.7,51.7,17.2,55.8,58.8,102.19,49.9,
27,UTA,40,10,30,480.0,109.2,113.1,-3.9,62.7,1.36,17.3,33.9,69.6,51.8,18.0,52.1,55.8,99.9,46.7,998.0
30,WAS,40,6,34,480.0,104.6,118.9,-14.3,61.9,1.4,17.6,25.6,64.9,45.6,17.1,52.0,55.4,102.55,42.4,
