Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,GSW vs. WAS,GSW,WAS,Home,W,34.5,31,12,22,54.5,4,10,40.0,3,6,50.0,2,9,11,4,1,2,1,1,1
2025-01-15,GSW @ MIN,GSW,MIN,Away,W,35.24,24,6,16,37.5,2,8,25.0,10,12,83.3,2,3,5,2,2,0,3,2,-5
2025-01-13,GSW @ TOR,GSW,TOR,Away,L,35.1,20,6,13,46.2,4,9,44.4,4,6,66.7,1,2,3,1,1,0,2,2,4
2025-01-07,GSW vs. MIA,GSW,MIA,Home,L,24.35,9,4,10,40.0,1,3,33.3,0,0,0.0,2,3,5,1,1,1,1,2,-7
2025-01-05,GSW vs. SAC,GSW,SAC,Home,L,26.01,18,7,13,53.8,1,3,33.3,3,4,75.0,1,3,4,1,0,0,2,3,-23
2025-01-04,GSW vs. MEM,GSW,MEM,Home,W,36.13,24,9,17,52.9,3,10,30.0,3,3,100.0,0,2,2,3,4,0,2,1,10
2025-01-02,GSW vs. PHI,GSW,PHI,Home,W,26.05,15,6,11,54.5,1,4,25.0,2,2,100.0,1,6,7,4,0,1,1,2,20
2024-12-30,GSW vs. CLE,GSW,CLE,Home,L,27.16,11,5,9,55.6,1,5,20.0,0,0,0.0,0,3,3,2,0,2,2,2,-20
2024-12-28,GSW vs. PHX,GSW,PHX,Home,W,39.06,7,3,12,25.0,1,6,16.7,0,0,0.0,2,5,7,3,1,2,1,2,13
2024-12-27,GSW @ LAC,GSW,LAC,Away,L,23.35,5,2,11,18.2,1,3,33.3,0,0,0.0,1,1,2,2,0,1,1,0,-16
2024-12-25,GSW vs. LAL,GSW,LAL,Home,L,35.14,21,8,19,42.1,3,7,42.9,2,2,100.0,5,7,12,3,0,1,0,1,4
2024-12-23,GSW vs. IND,GSW,IND,Home,L,34.07,16,7,16,43.8,1,7,14.3,1,1,100.0,1,3,4,3,0,1,2,2,-15
2024-12-21,GSW @ MIN,GSW,MIN,Away,W,28.54,9,3,11,27.3,1,5,20.0,2,2,100.0,2,0,2,2,3,2,2,3,-4
2024-12-19,GSW @ MEM,GSW,MEM,Away,L,20.35,19,6,11,54.5,4,5,80.0,3,3,100.0,1,0,1,0,0,0,1,0,-33
2024-12-15,GSW vs. DAL,GSW,DAL,Home,L,33.31,29,11,20,55.0,5,9,55.6,2,3,66.7,1,2,3,4,1,1,1,2,-20
2024-12-06,GSW vs. MIN,GSW,MIN,Home,L,19.24,11,3,8,37.5,1,3,33.3,4,4,100.0,1,1,2,0,1,0,2,0,-1
2024-12-05,GSW vs. HOU,GSW,HOU,Home,W,33.35,23,8,15,53.3,3,4,75.0,4,7,57.1,0,9,9,2,2,1,3,2,14
2024-12-03,GSW @ DEN,GSW,DEN,Away,L,30.51,13,3,7,42.9,2,4,50.0,5,5,100.0,1,2,3,4,3,0,2,3,-20
2024-11-30,GSW @ PHX,GSW,PHX,Away,L,33.33,18,7,17,41.2,4,9,44.4,0,0,0.0,0,3,3,3,1,0,2,2,12
2024-11-27,GSW vs. OKC,GSW,OKC,Home,L,35.03,16,4,16,25.0,3,8,37.5,5,7,71.4,3,2,5,3,1,1,1,1,-4
2024-11-25,GSW vs. BKN,GSW,BKN,Home,L,32.57,18,7,13,53.8,2,4,50.0,2,3,66.7,2,3,5,1,0,0,1,1,-8
2024-11-23,GSW @ SAS,GSW,SAS,Away,L,33.08,20,6,16,37.5,4,10,40.0,4,5,80.0,2,3,5,3,1,0,0,1,1
