Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-15,LAL vs. MIA,LAL,MIA,Home,W,36.38,22,10,21,47.6,1,3,33.3,1,2,50.0,2,9,11,4,2,2,1,0,7
2025-01-13,LAL vs. SAS,LAL,SAS,Home,L,32.23,30,13,18,72.2,2,5,40.0,2,4,50.0,8,5,13,2,2,2,2,4,-21
2025-01-07,LAL @ DAL,LAL,DAL,Away,L,35.15,21,7,18,38.9,0,2,0.0,7,9,77.8,2,10,12,3,0,2,2,1,-19
2025-01-05,LAL @ HOU,LAL,HOU,Away,L,38.28,30,10,18,55.6,2,4,50.0,8,8,100.0,4,9,13,2,0,5,4,5,7
2025-01-03,LAL vs. ATL,LAL,ATL,Home,W,37.18,18,6,17,35.3,0,2,0.0,6,7,85.7,4,15,19,4,3,3,4,2,17
2024-12-31,LAL vs. CLE,LAL,CLE,Home,L,37.04,28,12,23,52.2,2,4,50.0,2,2,100.0,1,12,13,4,3,2,1,2,-6
2024-12-28,LAL vs. SAC,LAL,SAC,Home,W,38.55,36,12,16,75.0,1,1,100.0,11,13,84.6,2,13,15,8,0,0,2,2,21
2024-12-25,LAL @ GSW,LAL,GSW,Away,W,7.12,0,0,3,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,-7
2024-12-23,LAL vs. DET,LAL,DET,Home,L,38.36,19,7,14,50.0,1,3,33.3,4,8,50.0,3,7,10,6,2,2,3,1,15
2024-12-21,LAL @ SAC,LAL,SAC,Away,W,37.19,10,4,10,40.0,0,0,0.0,2,4,50.0,2,13,15,5,0,3,5,2,-2
2024-12-19,LAL @ SAC,LAL,SAC,Away,W,35.19,21,7,20,35.0,0,1,0.0,7,9,77.8,7,12,19,4,3,6,3,0,19
2024-12-15,LAL vs. MEM,LAL,MEM,Home,W,33.24,40,15,22,68.2,1,4,25.0,9,12,75.0,4,12,16,2,2,1,4,4,14
2024-12-13,LAL @ MIN,LAL,MIN,Away,L,36.14,23,10,21,47.6,1,5,20.0,2,5,40.0,2,9,11,1,0,3,4,1,-22
2024-12-08,LAL vs. POR,LAL,POR,Home,W,32.09,30,10,21,47.6,1,4,25.0,9,9,100.0,2,9,11,1,2,5,1,1,4
2024-12-06,LAL @ ATL,LAL,ATL,Away,L,41.31,38,15,27,55.6,0,3,0.0,8,8,100.0,3,7,10,8,1,2,6,3,6
2024-12-04,LAL @ MIA,LAL,MIA,Away,L,31.24,8,3,14,21.4,0,1,0.0,2,4,50.0,1,6,7,5,1,0,0,3,-29
2024-12-02,LAL @ MIN,LAL,MIN,Away,L,32.57,12,4,14,28.6,0,2,0.0,4,4,100.0,2,9,11,5,0,1,2,3,-9
2024-12-01,LAL @ UTA,LAL,UTA,Away,W,38.49,33,13,25,52.0,2,4,50.0,5,6,83.3,1,10,11,0,2,1,1,1,6
2024-11-29,LAL vs. OKC,LAL,OKC,Home,L,37.44,15,5,9,55.6,0,0,0.0,5,7,71.4,2,10,12,7,1,4,1,2,-5
2024-11-27,LAL @ SAS,LAL,SAS,Away,W,35.07,19,8,14,57.1,0,2,0.0,3,3,100.0,4,10,14,7,1,0,1,2,16
2024-11-26,LAL @ PHX,LAL,PHX,Away,L,34.43,25,10,19,52.6,0,2,0.0,5,7,71.4,2,13,15,5,1,4,3,3,-24
2024-11-23,LAL vs. DEN,LAL,DEN,Home,L,35.24,14,6,19,31.6,0,2,0.0,2,3,66.7,3,7,10,3,3,2,1,2,-26
2024-11-21,LAL vs. ORL,LAL,ORL,Home,L,37.46,39,14,22,63.6,1,1,100.0,10,13,76.9,4,5,9,2,0,3,3,4,0
2024-11-19,LAL vs. UTA,LAL,UTA,Home,W,33.52,26,10,15,66.7,0,1,0.0,6,10,60.0,4,10,14,6,2,0,0,3,4
2024-11-16,LAL @ NOP,LAL,NOP,Away,W,37.14,31,12,20,60.0,2,4,50.0,5,7,71.4,3,11,14,1,2,1,2,3,2
2024-11-15,LAL @ SAS,LAL,SAS,Away,W,36.1,40,14,26,53.8,2,4,50.0,10,12,83.3,5,7,12,2,1,2,2,1,12
2024-11-13,LAL vs. MEM,LAL,MEM,Home,W,32.0,21,6,16,37.5,2,3,66.7,7,8,87.5,2,12,14,3,0,3,3,5,-6
2024-11-10,LAL vs. TOR,LAL,TOR,Home,W,25.53,22,6,8,75.0,2,2,100.0,8,10,80.0,1,3,4,3,1,2,0,1,-3
2024-11-08,LAL vs. PHI,LAL,PHI,Home,W,35.3,31,11,20,55.0,2,3,66.7,7,8,87.5,3,6,9,1,0,4,3,2,20
2024-11-04,LAL @ DET,LAL,DET,Away,L,39.0,37,13,23,56.5,0,4,0.0,11,14,78.6,1,8,9,4,0,0,3,2,-1
2024-11-01,LAL @ TOR,LAL,TOR,Away,W,35.42,38,14,20,70.0,0,0,0.0,10,11,90.9,1,10,11,2,3,2,3,0,7
2024-10-30,LAL @ CLE,LAL,CLE,Away,L,31.2,22,9,17,52.9,0,1,0.0,4,8,50.0,1,12,13,2,2,0,4,1,-18
2024-10-28,LAL @ PHX,LAL,PHX,Away,L,35.3,29,12,24,50.0,0,2,0.0,5,6,83.3,5,10,15,3,1,3,3,1,14
2024-10-26,LAL vs. SAC,LAL,SAC,Home,W,37.45,31,10,15,66.7,1,2,50.0,10,13,76.9,3,6,9,2,3,2,2,1,-22
2024-10-25,LAL vs. PHX,LAL,PHX,Home,W,37.3,35,11,18,61.1,0,0,0.0,13,17,76.5,1,7,8,4,1,2,1,2,4
2024-10-22,LAL vs. MIN,LAL,MIN,Home,W,37.35,36,11,23,47.8,1,3,33.3,13,15,86.7,3,13,16,4,1,3,1,1,1
