Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,SAC vs. HOU,SAC,HOU,Home,W,39.47,19,6,17,35.3,2,4,50.0,5,5,100.0,2,1,3,7,4,1,3,2,1
2025-01-14,SAC @ MIL,SAC,MIL,Away,L,37.31,20,9,23,39.1,2,8,25.0,0,0,0.0,0,11,11,6,0,2,4,1,-6
2025-01-12,SAC @ CHI,SAC,CHI,Away,W,32.5,26,9,16,56.3,4,8,50.0,4,5,80.0,4,5,9,3,0,1,2,2,8
2025-01-03,SAC vs. MEM,SAC,MEM,Home,W,39.49,23,7,23,30.4,1,8,12.5,8,9,88.9,0,3,3,5,3,0,1,4,2
2025-01-01,SAC vs. PHI,SAC,PHI,Home,W,37.31,35,13,16,81.3,2,4,50.0,7,8,87.5,0,3,3,4,0,1,3,3,12
2024-12-30,SAC vs. DAL,SAC,DAL,Home,W,35.13,33,13,23,56.5,3,7,42.9,4,5,80.0,2,4,6,6,1,0,1,5,17
2024-12-28,SAC @ LAL,SAC,LAL,Away,L,38.59,29,12,25,48.0,1,9,11.1,4,7,57.1,1,4,5,12,4,1,3,2,-7
2024-12-26,SAC vs. DET,SAC,DET,Home,L,38.25,26,11,25,44.0,2,7,28.6,2,3,66.7,1,5,6,4,0,2,3,4,-13
2024-12-22,SAC vs. IND,SAC,IND,Home,L,35.19,23,7,19,36.8,2,6,33.3,7,8,87.5,1,4,5,7,1,0,2,2,-19
2024-12-21,SAC vs. LAL,SAC,LAL,Home,L,37.34,31,12,17,70.6,3,5,60.0,4,4,100.0,1,4,5,7,1,0,4,3,-11
2024-12-19,SAC vs. LAL,SAC,LAL,Home,L,35.39,26,7,17,41.2,2,5,40.0,10,11,90.9,0,3,3,5,3,0,4,5,-10
2024-12-16,SAC vs. DEN,SAC,DEN,Home,L,38.39,29,11,24,45.8,2,7,28.6,5,6,83.3,0,5,5,7,0,1,3,4,-13
2024-12-12,SAC @ NOP,SAC,NOP,Away,W,37.26,18,7,20,35.0,1,6,16.7,3,4,75.0,3,4,7,8,1,1,5,2,3
2024-12-08,SAC vs. UTA,SAC,UTA,Home,W,30.33,21,9,16,56.3,1,5,20.0,2,4,50.0,2,2,4,9,0,1,1,1,24
2024-12-06,SAC @ SAS,SAC,SAS,Away,W,32.35,22,9,17,52.9,2,7,28.6,2,2,100.0,0,4,4,8,0,1,2,3,8
2024-12-05,SAC @ MEM,SAC,MEM,Away,L,37.5,18,8,23,34.8,0,7,0.0,2,3,66.7,2,4,6,3,6,0,4,2,-4
2024-12-03,SAC vs. HOU,SAC,HOU,Home,W,36.58,22,9,19,47.4,4,6,66.7,0,0,0.0,3,3,6,7,3,1,3,3,17
2024-12-01,SAC vs. SAS,SAC,SAS,Home,L,36.4,23,9,23,39.1,3,8,37.5,2,2,100.0,3,3,6,9,2,1,2,1,-3
2024-11-29,SAC @ POR,SAC,POR,Away,L,36.18,22,8,18,44.4,1,6,16.7,5,7,71.4,2,3,5,5,0,0,5,5,-9
2024-11-27,SAC @ MIN,SAC,MIN,Away,W,37.56,26,10,22,45.5,3,8,37.5,3,5,60.0,0,8,8,8,2,0,5,1,6
2024-11-25,SAC vs. OKC,SAC,OKC,Home,L,39.41,14,5,15,33.3,1,6,16.7,3,4,75.0,0,3,3,5,1,0,4,4,-22
2024-11-24,SAC vs. BKN,SAC,BKN,Home,L,37.53,31,10,16,62.5,3,4,75.0,8,12,66.7,0,1,1,5,2,0,2,1,5
2024-11-22,SAC @ LAC,SAC,LAC,Away,L,42.42,29,10,20,50.0,1,7,14.3,8,10,80.0,2,5,7,7,1,0,3,0,-4
2024-11-18,SAC vs. ATL,SAC,ATL,Home,L,39.05,28,11,23,47.8,3,6,50.0,3,4,75.0,0,5,5,7,1,0,4,2,2
2024-11-16,SAC vs. UTA,SAC,UTA,Home,W,35.44,49,16,30,53.3,3,4,75.0,14,19,73.7,0,3,3,9,2,0,4,3,1
2024-11-15,SAC vs. MIN,SAC,MIN,Home,L,44.29,60,22,35,62.9,6,10,60.0,10,11,90.9,2,1,3,7,3,1,6,3,1
2024-11-13,SAC vs. PHX,SAC,PHX,Home,W,31.59,29,11,17,64.7,1,2,50.0,6,8,75.0,1,5,6,10,2,1,3,3,19
2024-11-11,SAC @ SAS,SAC,SAS,Away,L,36.07,24,9,19,47.4,2,5,40.0,4,4,100.0,1,5,6,3,1,0,1,4,-21
2024-11-10,SAC @ PHX,SAC,PHX,Away,W,40.43,21,10,23,43.5,0,6,0.0,1,1,100.0,1,10,11,8,0,0,0,0,9
2024-11-08,SAC vs. LAC,SAC,LAC,Home,L,37.39,31,12,20,60.0,2,5,40.0,5,6,83.3,1,2,3,0,1,0,7,4,-11
2024-11-06,SAC vs. TOR,SAC,TOR,Home,W,33.46,21,5,17,29.4,2,8,25.0,9,10,90.0,0,1,1,2,1,0,1,2,9
2024-11-04,SAC @ MIA,SAC,MIA,Away,W,37.04,28,11,21,52.4,3,6,50.0,3,4,75.0,2,4,6,5,0,0,4,4,-9
2024-11-02,SAC @ TOR,SAC,TOR,Away,L,43.14,24,8,22,36.4,0,11,0.0,8,10,80.0,3,3,6,1,5,0,5,2,-5
2024-11-01,SAC @ ATL,SAC,ATL,Away,W,37.07,31,11,16,68.8,4,6,66.7,5,6,83.3,0,7,7,3,4,0,6,3,21
2024-10-29,SAC @ UTA,SAC,UTA,Away,W,30.55,19,8,15,53.3,1,2,50.0,2,2,100.0,2,3,5,6,1,0,3,3,18
2024-10-28,SAC vs. POR,SAC,POR,Home,W,35.2,24,9,20,45.0,2,8,25.0,4,4,100.0,1,5,6,3,2,0,3,4,13
2024-10-26,SAC @ LAL,SAC,LAL,Away,L,41.0,28,9,20,45.0,3,10,30.0,7,8,87.5,0,5,5,10,2,0,6,3,-5
2024-10-24,SAC vs. MIN,SAC,MIN,Home,L,37.09,15,6,14,42.9,1,4,25.0,2,2,100.0,0,2,2,11,1,0,2,3,2
