Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,POR vs. LAC,POR,LAC,Home,L,23.46,14,7,13,53.8,0,0,0.0,0,0,0.0,3,4,7,1,0,0,1,1,-26
2025-01-14,POR vs. BKN,POR,BKN,Home,L,24.18,2,1,4,25.0,0,0,0.0,0,0,0.0,0,8,8,0,0,0,1,1,-19
2025-01-09,POR @ DAL,POR,DAL,Away,L,20.48,6,3,6,50.0,0,0,0.0,0,0,0.0,1,5,6,1,1,2,3,2,-3
2025-01-08,POR @ NOP,POR,NOP,Away,W,27.03,11,5,8,62.5,0,0,0.0,1,2,50.0,7,6,13,3,0,1,1,1,26
2025-01-06,POR @ DET,POR,DET,Away,L,34.37,18,9,16,56.3,0,1,0.0,0,0,0.0,1,10,11,4,0,1,1,1,-10
2025-01-04,POR @ MIL,POR,MIL,Away,W,34.04,10,5,9,55.6,0,1,0.0,0,1,0.0,2,11,13,0,1,1,2,1,3
2025-01-02,POR @ LAL,POR,LAL,Away,L,20.59,6,3,4,75.0,0,1,0.0,0,0,0.0,1,5,6,1,0,0,3,1,-14
2024-12-30,POR vs. PHI,POR,PHI,Home,L,29.51,12,6,8,75.0,0,1,0.0,0,0,0.0,3,3,6,3,0,2,3,3,-24
2024-12-28,POR vs. DAL,POR,DAL,Home,W,35.42,21,9,15,60.0,0,1,0.0,3,4,75.0,4,12,16,1,2,3,4,4,16
2024-12-26,POR vs. UTA,POR,UTA,Home,W,34.22,18,8,16,50.0,1,2,50.0,1,1,100.0,4,8,12,2,1,2,1,1,-1
2024-12-23,POR @ DAL,POR,DAL,Away,L,25.43,16,8,11,72.7,0,0,0.0,0,0,0.0,4,5,9,0,2,0,1,3,-20
2024-12-21,POR @ SAS,POR,SAS,Away,L,28.37,14,7,11,63.6,0,2,0.0,0,0,0.0,2,6,8,2,0,0,0,2,-24
2024-12-19,POR vs. DEN,POR,DEN,Home,W,34.33,15,7,14,50.0,0,0,0.0,1,2,50.0,4,9,13,4,1,4,1,4,-3
2024-12-08,POR @ LAL,POR,LAL,Away,L,34.44,14,7,14,50.0,0,2,0.0,0,0,0.0,7,12,19,1,1,1,2,6,-14
2024-12-06,POR vs. UTA,POR,UTA,Home,L,17.27,6,3,7,42.9,0,0,0.0,0,2,0.0,0,4,4,0,1,2,2,1,-29
2024-12-03,POR @ LAC,POR,LAC,Away,L,32.49,16,8,10,80.0,0,1,0.0,0,0,0.0,0,3,3,2,0,1,1,2,-27
2024-12-01,POR vs. DAL,POR,DAL,Home,L,31.41,18,8,11,72.7,0,1,0.0,2,3,66.7,2,5,7,3,1,0,5,5,-6
2024-11-29,POR vs. SAC,POR,SAC,Home,W,40.57,26,11,19,57.9,0,2,0.0,4,6,66.7,2,7,9,2,1,1,1,2,7
2024-11-27,POR @ IND,POR,IND,Away,L,33.44,16,7,10,70.0,0,0,0.0,2,2,100.0,4,8,12,2,1,3,4,1,-3
2024-11-10,POR vs. MEM,POR,MEM,Home,L,20.37,6,3,5,60.0,0,1,0.0,0,0,0.0,4,4,8,1,1,0,4,3,-22
2024-11-08,POR @ MIN,POR,MIN,Away,L,17.54,4,2,6,33.3,0,1,0.0,0,0,0.0,2,4,6,0,1,0,1,1,-8
2024-11-07,POR @ SAS,POR,SAS,Away,L,30.47,21,10,15,66.7,1,2,50.0,0,0,0.0,2,8,10,0,2,1,2,2,-4
2024-11-04,POR @ NOP,POR,NOP,Away,W,31.51,19,9,14,64.3,1,1,100.0,0,2,0.0,5,8,13,0,1,0,1,1,9
2024-11-02,POR @ PHX,POR,PHX,Away,L,30.26,10,3,13,23.1,1,2,50.0,3,3,100.0,1,12,13,2,0,0,0,2,1
2024-11-01,POR vs. OKC,POR,OKC,Home,L,28.04,14,7,11,63.6,0,0,0.0,0,0,0.0,3,2,5,2,2,0,2,1,-11
2024-10-30,POR @ LAC,POR,LAC,Away,W,33.33,15,7,15,46.7,1,3,33.3,0,0,0.0,3,9,12,1,1,1,1,2,-7
2024-10-28,POR @ SAC,POR,SAC,Away,L,34.01,20,10,17,58.8,0,0,0.0,0,0,0.0,3,8,11,1,0,0,1,2,-11
2024-10-27,POR vs. NOP,POR,NOP,Home,W,30.54,17,7,9,77.8,1,1,100.0,2,2,100.0,6,6,12,0,0,1,2,2,15
2024-10-25,POR vs. NOP,POR,NOP,Home,L,32.56,10,5,14,35.7,0,0,0.0,0,1,0.0,2,13,15,2,0,2,1,4,-2
2024-10-23,POR vs. GSW,POR,GSW,Home,L,30.57,10,5,12,41.7,0,2,0.0,0,0,0.0,2,9,11,2,2,0,1,2,-19
