Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,PHX @ DET,PHX,DET,Away,W,42.1,35,11,22,50.0,1,5,20.0,12,13,92.3,0,5,5,3,1,0,2,2,-5
2025-01-16,PHX @ WAS,PHX,WAS,Away,W,38.52,37,10,24,41.7,4,9,44.4,13,15,86.7,1,2,3,5,2,1,4,2,14
2025-01-14,PHX @ ATL,PHX,ATL,Away,L,37.42,35,12,23,52.2,7,14,50.0,4,4,100.0,3,2,5,5,3,0,5,4,6
2025-01-12,PHX vs. CHA,PHX,CHA,Home,W,38.36,30,10,20,50.0,4,9,44.4,6,6,100.0,0,5,5,8,3,0,1,1,-4
2025-01-11,PHX vs. UTA,PHX,UTA,Home,W,36.26,34,12,20,60.0,6,12,50.0,4,4,100.0,2,3,5,4,2,0,3,3,16
2025-01-09,PHX vs. ATL,PHX,ATL,Home,W,40.01,20,9,21,42.9,0,8,0.0,2,3,66.7,0,3,3,12,1,0,2,2,10
2025-01-07,PHX @ CHA,PHX,CHA,Away,L,38.59,39,14,25,56.0,2,8,25.0,9,9,100.0,1,5,6,10,0,0,3,2,2
2025-01-06,PHX @ PHI,PHX,PHI,Away,W,37.55,10,3,16,18.8,1,5,20.0,3,6,50.0,0,4,4,10,2,0,3,2,9
2025-01-04,PHX @ IND,PHX,IND,Away,L,36.13,20,7,15,46.7,2,5,40.0,4,5,80.0,0,8,8,9,0,0,1,3,-16
2024-12-31,PHX vs. MEM,PHX,MEM,Home,L,30.21,16,4,20,20.0,2,8,25.0,6,6,100.0,1,3,4,9,1,0,3,1,-1
2024-12-19,PHX vs. IND,PHX,IND,Home,L,25.01,17,5,10,50.0,0,3,0.0,7,8,87.5,1,1,2,6,1,0,1,0,-9
2024-12-15,PHX vs. POR,PHX,POR,Home,W,37.14,28,7,14,50.0,4,8,50.0,10,12,83.3,1,2,3,5,1,0,2,0,1
2024-12-13,PHX @ UTA,PHX,UTA,Away,W,37.55,34,13,27,48.1,6,13,46.2,2,2,100.0,2,0,2,8,1,0,0,1,10
