Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,CLE @ MIN,CLE,MIN,Away,W,33.36,36,12,27,44.4,4,15,26.7,8,9,88.9,2,6,8,7,1,0,3,2,10
2025-01-16,CLE @ OKC,CLE,OKC,Away,L,20.41,8,3,15,20.0,1,4,25.0,1,2,50.0,0,2,2,2,1,0,0,0,-28
2025-01-14,CLE @ IND,CLE,IND,Away,W,31.19,35,12,23,52.2,3,9,33.3,8,8,100.0,2,7,9,3,2,0,2,3,13
2025-01-12,CLE vs. IND,CLE,IND,Home,L,30.5,19,7,17,41.2,3,7,42.9,2,2,100.0,2,1,3,1,2,0,3,2,-3
2025-01-08,CLE vs. OKC,CLE,OKC,Home,W,35.09,11,3,16,18.8,2,7,28.6,3,4,75.0,1,5,6,4,0,0,1,4,8
2025-01-05,CLE vs. CHA,CLE,CHA,Home,W,29.16,19,8,16,50.0,3,7,42.9,0,0,0.0,0,3,3,4,0,0,1,2,3
2025-01-03,CLE @ DAL,CLE,DAL,Away,W,26.44,15,5,11,45.5,2,7,28.6,3,3,100.0,0,0,0,6,2,0,2,1,3
2024-12-31,CLE @ LAL,CLE,LAL,Away,W,32.11,26,8,20,40.0,6,13,46.2,4,5,80.0,1,3,4,4,0,0,3,0,9
2024-12-30,CLE @ GSW,CLE,GSW,Away,W,27.21,23,9,19,47.4,5,11,45.5,0,0,0.0,0,3,3,4,0,0,1,0,8
2024-12-27,CLE @ DEN,CLE,DEN,Away,W,30.21,33,10,17,58.8,6,12,50.0,7,7,100.0,2,3,5,6,1,0,3,2,4
2024-12-23,CLE vs. UTA,CLE,UTA,Home,W,33.42,22,7,15,46.7,4,8,50.0,4,5,80.0,0,3,3,7,3,0,1,2,17
2024-12-21,CLE vs. PHI,CLE,PHI,Home,W,27.54,19,7,16,43.8,4,10,40.0,1,1,100.0,0,4,4,5,0,0,4,0,8
2024-12-20,CLE vs. MIL,CLE,MIL,Home,W,27.13,27,9,15,60.0,3,7,42.9,6,8,75.0,0,4,4,6,2,0,0,1,21
2024-12-16,CLE @ BKN,CLE,BKN,Away,W,30.22,18,6,14,42.9,3,10,30.0,3,4,75.0,0,3,3,5,4,0,1,2,29
2024-12-13,CLE vs. WAS,CLE,WAS,Home,W,34.19,20,7,18,38.9,4,11,36.4,2,3,66.7,0,6,6,6,1,0,1,1,4
2024-12-08,CLE @ MIA,CLE,MIA,Away,L,30.5,12,5,16,31.3,1,5,20.0,1,1,100.0,0,1,1,5,2,0,3,1,-16
2024-12-07,CLE @ CHA,CLE,CHA,Away,W,36.08,18,6,12,50.0,5,10,50.0,1,2,50.0,1,7,8,8,0,0,3,2,22
2024-12-05,CLE vs. DEN,CLE,DEN,Home,W,32.56,28,11,24,45.8,6,10,60.0,0,0,0.0,1,2,3,6,2,2,5,4,21
2024-12-03,CLE vs. WAS,CLE,WAS,Home,W,27.59,19,6,15,40.0,4,8,50.0,3,3,100.0,0,5,5,7,3,0,1,2,27
2024-12-01,CLE vs. BOS,CLE,BOS,Home,W,35.22,35,12,21,57.1,6,11,54.5,5,8,62.5,1,6,7,3,2,1,3,3,7
