Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,LAC @ POR,LAC,POR,Away,W,28.53,19,7,16,43.8,1,8,12.5,4,4,100.0,1,1,2,6,1,0,3,0,13
2025-01-15,LAC vs. BKN,LAC,BKN,Home,W,23.0,21,6,10,60.0,3,5,60.0,6,6,100.0,0,6,6,11,2,0,1,1,36
2025-01-13,LAC vs. MIA,LAC,MIA,Home,W,36.56,26,9,17,52.9,6,10,60.0,2,2,100.0,0,5,5,11,1,1,4,2,13
2025-01-08,LAC @ DEN,LAC,DEN,Away,L,27.23,16,5,15,33.3,2,8,25.0,4,5,80.0,0,3,3,4,0,1,5,0,-17
2025-01-06,LAC @ MIN,LAC,MIN,Away,L,37.24,22,8,22,36.4,3,11,27.3,3,5,60.0,2,6,8,8,2,2,4,4,-5
2025-01-04,LAC vs. ATL,LAC,ATL,Home,W,29.24,10,3,9,33.3,1,5,20.0,3,4,75.0,0,2,2,15,2,0,4,2,10
2024-12-31,LAC @ SAS,LAC,SAS,Away,L,25.28,17,5,11,45.5,2,6,33.3,5,6,83.3,1,2,3,1,1,1,5,1,-27
2024-12-30,LAC @ NOP,LAC,NOP,Away,W,35.59,27,6,14,42.9,5,10,50.0,10,12,83.3,0,2,2,4,1,0,7,3,3
2024-12-27,LAC vs. GSW,LAC,GSW,Home,W,38.5,18,6,14,42.9,2,8,25.0,4,4,100.0,1,2,3,7,1,1,6,3,8
2024-12-23,LAC @ MEM,LAC,MEM,Away,W,35.48,21,6,16,37.5,1,6,16.7,8,10,80.0,2,6,8,9,1,0,4,4,-2
2024-12-21,LAC @ DAL,LAC,DAL,Away,L,36.53,19,6,18,33.3,2,9,22.2,5,5,100.0,0,8,8,3,1,1,7,2,-4
2024-12-19,LAC @ DAL,LAC,DAL,Away,W,35.46,24,6,14,42.9,2,5,40.0,10,10,100.0,1,3,4,7,1,0,6,2,19
2024-12-16,LAC vs. UTA,LAC,UTA,Home,W,30.43,41,11,17,64.7,7,11,63.6,12,14,85.7,0,1,1,6,1,1,4,2,27
2024-12-13,LAC @ DEN,LAC,DEN,Away,L,31.3,15,6,14,42.9,2,6,33.3,1,2,50.0,0,5,5,6,2,0,9,1,-16
2024-12-04,LAC vs. MIN,LAC,MIN,Home,L,24.3,5,1,10,10.0,1,6,16.7,2,2,100.0,0,3,3,3,0,0,4,0,-27
2024-12-03,LAC vs. POR,LAC,POR,Home,W,31.45,23,6,15,40.0,3,10,30.0,8,9,88.9,0,1,1,7,1,0,4,2,27
2024-12-01,LAC vs. DEN,LAC,DEN,Home,W,38.25,39,10,26,38.5,6,15,40.0,13,13,100.0,2,7,9,11,1,0,5,4,14
2024-11-29,LAC @ MIN,LAC,MIN,Away,L,36.45,20,7,20,35.0,3,9,33.3,3,4,75.0,0,6,6,11,5,0,4,1,-3
2024-11-27,LAC @ WAS,LAC,WAS,Away,W,31.52,43,13,22,59.1,7,11,63.6,10,11,90.9,1,3,4,7,3,0,4,0,25
2024-11-25,LAC @ BOS,LAC,BOS,Away,L,29.51,19,8,17,47.1,3,8,37.5,0,0,0.0,0,8,8,9,0,0,5,1,-14
2024-11-24,LAC @ PHI,LAC,PHI,Away,W,27.06,23,4,10,40.0,3,7,42.9,12,12,100.0,0,2,2,8,1,0,4,1,30
2024-11-22,LAC vs. SAC,LAC,SAC,Home,W,36.15,22,5,18,27.8,2,10,20.0,10,10,100.0,0,6,6,9,3,1,4,0,14
2024-11-20,LAC vs. ORL,LAC,ORL,Home,W,33.51,24,5,14,35.7,3,6,50.0,11,12,91.7,0,7,7,5,0,0,5,3,18
2024-11-18,LAC vs. GSW,LAC,GSW,Home,W,40.41,12,4,15,26.7,2,6,33.3,2,2,100.0,0,6,6,16,2,2,3,2,-4
2024-11-17,LAC vs. UTA,LAC,UTA,Home,W,34.21,20,7,14,50.0,2,8,25.0,4,5,80.0,1,5,6,11,2,2,0,1,9
2024-11-15,LAC @ HOU,LAC,HOU,Away,L,30.35,21,7,14,50.0,3,9,33.3,4,4,100.0,0,6,6,2,0,1,5,3,-17
2024-11-13,LAC @ HOU,LAC,HOU,Away,L,31.25,19,6,15,40.0,3,8,37.5,4,5,80.0,0,6,6,7,3,0,1,1,-12
2024-11-11,LAC @ OKC,LAC,OKC,Away,L,37.14,17,5,15,33.3,3,7,42.9,4,5,80.0,3,8,11,9,0,0,5,5,-7
2024-11-09,LAC vs. TOR,LAC,TOR,Home,W,34.09,24,5,17,29.4,2,8,25.0,12,13,92.3,1,11,12,7,1,0,4,2,-2
2024-11-08,LAC @ SAC,LAC,SAC,Away,W,34.31,22,5,16,31.3,3,6,50.0,9,9,100.0,0,4,4,8,2,0,7,2,7
2024-11-06,LAC vs. PHI,LAC,PHI,Home,W,33.57,18,5,15,33.3,1,6,16.7,7,9,77.8,0,4,4,6,3,1,6,1,13
2024-11-04,LAC vs. SAS,LAC,SAS,Home,W,33.2,17,6,10,60.0,3,5,60.0,2,4,50.0,2,6,8,4,1,3,2,3,-12
