Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-04,UTA @ MIA,UTA,MIA,Away,W,28.18,24,9,16,56.3,3,4,75.0,3,4,75.0,5,4,9,3,1,3,1,3,30
2024-12-21,UTA @ BKN,UTA,BKN,Away,W,35.2,13,5,13,38.5,0,3,0.0,3,6,50.0,2,9,11,2,1,0,5,2,8
2024-12-19,UTA @ DET,UTA,DET,Away,W,36.47,16,4,10,40.0,2,4,50.0,6,6,100.0,3,6,9,0,0,1,6,5,0
2024-12-16,UTA @ LAC,UTA,LAC,Away,L,37.4,14,4,11,36.4,0,3,0.0,6,8,75.0,0,5,5,2,2,1,2,3,-25
2024-12-13,UTA vs. PHX,UTA,PHX,Home,L,35.28,22,8,12,66.7,4,6,66.7,2,4,50.0,0,6,6,6,2,2,1,1,1
2024-12-08,UTA @ SAC,UTA,SAC,Away,L,22.52,19,5,12,41.7,5,8,62.5,4,4,100.0,2,5,7,3,0,1,1,1,-7
2024-12-06,UTA @ POR,UTA,POR,Away,W,28.07,20,7,10,70.0,1,1,100.0,5,5,100.0,1,2,3,2,0,1,0,3,32
2024-12-03,UTA @ OKC,UTA,OKC,Away,L,31.0,15,5,9,55.6,3,4,75.0,2,2,100.0,0,5,5,2,0,1,5,2,-12
2024-12-01,UTA vs. LAL,UTA,LAL,Home,L,35.36,21,7,14,50.0,3,5,60.0,4,7,57.1,2,7,9,3,0,1,0,2,2
2024-11-30,UTA vs. DAL,UTA,DAL,Home,L,36.5,16,6,15,40.0,1,5,20.0,3,3,100.0,4,5,9,2,1,1,2,2,-9
2024-11-26,UTA vs. SAS,UTA,SAS,Home,L,32.48,20,7,10,70.0,0,0,0.0,6,8,75.0,3,10,13,3,0,1,3,2,7
2024-11-23,UTA vs. NYK,UTA,NYK,Home,W,32.53,20,7,11,63.6,2,3,66.7,4,4,100.0,2,11,13,1,2,1,4,4,3
2024-11-21,UTA @ SAS,UTA,SAS,Away,L,32.5,18,8,14,57.1,1,5,20.0,1,1,100.0,3,11,14,3,1,1,1,4,5
2024-11-19,UTA @ LAL,UTA,LAL,Away,L,29.17,18,8,14,57.1,1,2,50.0,1,1,100.0,3,5,8,2,1,0,2,5,-12
2024-11-17,UTA @ LAC,UTA,LAC,Away,L,30.53,13,5,6,83.3,0,0,0.0,3,3,100.0,0,8,8,2,2,0,3,1,-4
2024-11-16,UTA @ SAC,UTA,SAC,Away,L,32.22,16,6,13,46.2,0,1,0.0,4,4,100.0,4,4,8,2,3,2,2,3,2
2024-11-14,UTA vs. DAL,UTA,DAL,Home,W,35.3,28,10,20,50.0,1,3,33.3,7,7,100.0,6,3,9,3,2,0,4,2,-4
2024-11-12,UTA vs. PHX,UTA,PHX,Home,L,34.23,29,12,19,63.2,3,6,50.0,2,2,100.0,4,6,10,4,3,1,2,1,1
2024-11-09,UTA @ SAS,UTA,SAS,Away,W,28.59,15,6,11,54.5,1,3,33.3,2,2,100.0,3,7,10,2,3,0,5,5,10
2024-11-07,UTA @ MIL,UTA,MIL,Away,L,25.26,11,4,7,57.1,0,1,0.0,3,3,100.0,0,3,3,1,0,0,4,1,-12
2024-11-04,UTA @ CHI,UTA,CHI,Away,W,30.47,28,12,17,70.6,2,4,50.0,2,2,100.0,3,10,13,5,0,1,2,3,11
2024-11-02,UTA @ DEN,UTA,DEN,Away,L,21.47,15,5,9,55.6,1,1,100.0,4,5,80.0,0,5,5,5,1,1,2,4,-4
2024-10-31,UTA vs. SAS,UTA,SAS,Home,L,27.53,14,6,13,46.2,0,1,0.0,2,2,100.0,4,7,11,3,1,1,2,3,-6
2024-10-29,UTA vs. SAC,UTA,SAC,Home,L,23.0,18,7,16,43.8,1,4,25.0,3,3,100.0,4,3,7,0,1,1,2,4,-18
2024-10-28,UTA @ DAL,UTA,DAL,Away,L,19.1,16,5,13,38.5,3,6,50.0,3,3,100.0,2,4,6,3,1,1,2,5,-8
2024-10-25,UTA vs. GSW,UTA,GSW,Home,L,23.42,14,4,10,40.0,1,3,33.3,5,5,100.0,2,5,7,4,1,1,3,2,-13
2024-10-23,UTA vs. MEM,UTA,MEM,Home,L,18.19,11,5,12,41.7,0,3,0.0,1,1,100.0,1,4,5,0,1,1,2,5,-9
