Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,BOS vs. ATL,BOS,ATL,Home,L,30.15,8,3,8,37.5,2,5,40.0,0,0,0.0,1,5,6,1,1,1,3,3,-7
2025-01-17,BOS vs. ORL,BOS,ORL,Home,W,29.24,9,3,8,37.5,3,6,50.0,0,0,0.0,2,4,6,4,1,0,0,1,20
2025-01-15,BOS @ TOR,BOS,TOR,Away,L,31.15,12,5,11,45.5,0,3,0.0,2,2,100.0,3,3,6,2,1,0,1,2,-13
2025-01-12,BOS vs. NOP,BOS,NOP,Home,W,31.48,8,3,8,37.5,1,4,25.0,1,2,50.0,2,2,4,6,1,1,1,1,-1
2025-01-10,BOS vs. SAC,BOS,SAC,Home,L,27.57,5,2,4,50.0,1,2,50.0,0,0,0.0,0,5,5,2,1,1,1,1,-18
2025-01-07,BOS @ DEN,BOS,DEN,Away,W,32.07,19,6,12,50.0,3,7,42.9,4,4,100.0,0,3,3,7,2,1,0,1,10
2025-01-05,BOS @ OKC,BOS,OKC,Away,L,33.49,2,1,6,16.7,0,4,0.0,0,0,0.0,3,4,7,6,0,0,2,4,-11
2025-01-03,BOS @ HOU,BOS,HOU,Away,W,27.46,14,5,9,55.6,2,5,40.0,2,2,100.0,0,4,4,3,1,1,2,0,16
2025-01-02,BOS @ MIN,BOS,MIN,Away,W,38.59,11,4,9,44.4,3,7,42.9,0,0,0.0,2,1,3,8,2,0,0,4,1
2024-12-31,BOS vs. TOR,BOS,TOR,Home,W,25.05,14,5,8,62.5,4,5,80.0,0,0,0.0,1,0,1,4,3,0,0,0,25
2024-12-23,BOS @ ORL,BOS,ORL,Away,L,33.06,16,7,12,58.3,2,5,40.0,0,0,0.0,1,7,8,0,3,2,5,2,-4
2024-12-21,BOS @ CHI,BOS,CHI,Away,W,29.01,7,3,5,60.0,1,3,33.3,0,0,0.0,2,4,6,1,2,0,0,3,14
2024-12-19,BOS vs. CHI,BOS,CHI,Home,L,29.07,6,3,8,37.5,0,4,0.0,0,0,0.0,0,1,1,4,1,1,0,1,1
2024-12-15,BOS @ WAS,BOS,WAS,Away,W,23.46,12,4,7,57.1,1,3,33.3,3,4,75.0,0,1,1,1,1,0,2,0,-2
2024-12-12,BOS vs. DET,BOS,DET,Home,W,25.0,12,4,8,50.0,2,4,50.0,2,2,100.0,2,5,7,6,0,0,1,1,17
2024-12-07,BOS vs. MEM,BOS,MEM,Home,L,30.05,23,8,26,30.8,4,17,23.5,3,4,75.0,3,1,4,3,0,1,0,1,-12
2024-12-06,BOS vs. MIL,BOS,MIL,Home,W,34.06,20,7,14,50.0,4,9,44.4,2,2,100.0,1,4,5,6,1,1,0,4,4
