Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-13,MIA @ LAC,MIA,LAC,Away,L,15.23,9,3,8,37.5,3,8,37.5,0,0,0.0,0,3,3,0,1,0,0,2,3
2024-12-29,MIA @ HOU,MIA,HOU,Away,W,14.0,5,1,7,14.3,0,1,0.0,3,4,75.0,3,3,6,1,0,0,1,1,-13
2024-12-20,MIA vs. OKC,MIA,OKC,Home,L,3.24,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-8
2024-12-16,MIA @ DET,MIA,DET,Away,L,12.19,4,2,5,40.0,0,2,0.0,0,0,0.0,0,5,5,1,0,0,2,2,9
2024-12-12,MIA vs. TOR,MIA,TOR,Home,W,8.48,6,2,4,50.0,1,2,50.0,1,2,50.0,1,2,3,1,0,0,1,1,3
2024-12-08,MIA vs. CLE,MIA,CLE,Home,W,4.5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-11
2024-12-07,MIA vs. PHX,MIA,PHX,Home,W,13.47,11,3,10,30.0,2,6,33.3,3,4,75.0,1,3,4,2,0,0,1,0,-12
2024-12-04,MIA vs. LAL,MIA,LAL,Home,W,14.4,10,4,7,57.1,2,5,40.0,0,0,0.0,1,3,4,5,1,1,1,2,11
2024-12-01,MIA @ TOR,MIA,TOR,Away,L,9.36,5,1,5,20.0,0,2,0.0,3,4,75.0,4,1,5,1,0,0,0,4,-17
2024-11-29,MIA vs. TOR,MIA,TOR,Home,W,13.24,8,3,6,50.0,2,4,50.0,0,0,0.0,0,2,2,2,2,0,2,0,10
2024-11-26,MIA vs. MIL,MIA,MIL,Home,L,6.57,2,0,5,0.0,0,2,0.0,2,2,100.0,1,3,4,0,1,0,0,0,0
2024-11-24,MIA vs. DAL,MIA,DAL,Home,W,18.41,9,3,10,30.0,3,7,42.9,0,2,0.0,2,9,11,1,1,1,2,2,10
2024-11-18,MIA vs. PHI,MIA,PHI,Home,W,15.19,3,1,6,16.7,1,3,33.3,0,0,0.0,1,6,7,1,2,0,1,0,6
2024-11-17,MIA @ IND,MIA,IND,Away,L,11.42,8,3,6,50.0,2,3,66.7,0,0,0.0,0,6,6,0,0,0,1,0,-12
2024-11-15,MIA @ IND,MIA,IND,Away,W,12.17,15,6,8,75.0,3,4,75.0,0,0,0.0,1,6,7,2,4,0,0,2,16
2024-11-12,MIA @ DET,MIA,DET,Away,L,9.44,3,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,0,0,0,0,0,-6
2024-11-10,MIA @ MIN,MIA,MIN,Away,W,13.02,6,2,7,28.6,1,4,25.0,1,1,100.0,2,4,6,2,2,0,0,0,10
