Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-04,PHI @ BKN,PHI,BKN,Away,W,24.07,5,2,2,100.0,1,1,100.0,0,0,0.0,1,3,4,4,2,0,1,2,15
2025-01-02,PHI @ GSW,PHI,GSW,Away,L,9.36,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,0,1,0,0,2,-14
2025-01-01,PHI @ SAC,PHI,SAC,Away,L,17.21,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,1,1,0,3,1,-9
2024-12-28,PHI @ UTA,PHI,UTA,Away,W,18.45,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,5,2,1,0,0,9
2024-12-25,PHI @ BOS,PHI,BOS,Away,W,20.33,5,2,4,50.0,1,2,50.0,0,0,0.0,0,3,3,3,0,1,0,4,20
2024-12-23,PHI vs. SAS,PHI,SAS,Home,W,21.26,6,2,6,33.3,2,4,50.0,0,0,0.0,0,1,1,4,0,0,1,2,-3
2024-12-21,PHI @ CLE,PHI,CLE,Away,L,4.34,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-2
2024-12-20,PHI vs. CHA,PHI,CHA,Home,W,12.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,3,0
2024-12-16,PHI @ CHA,PHI,CHA,Away,W,17.49,3,0,1,0.0,0,1,0.0,3,4,75.0,1,0,1,1,1,1,0,3,0
2024-12-08,PHI @ CHI,PHI,CHI,Away,W,11.42,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,0,1,0,2,1,-5
2024-12-06,PHI vs. ORL,PHI,ORL,Home,W,11.11,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,2,10
2024-12-03,PHI @ CHA,PHI,CHA,Away,W,12.31,0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,3,-2
2024-11-18,PHI @ MIA,PHI,MIA,Away,L,19.01,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,1,0,1,2,-18
2024-11-15,PHI @ ORL,PHI,ORL,Away,L,28.28,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,3,3,0,0,0,-15
2024-11-13,PHI vs. CLE,PHI,CLE,Home,L,17.26,0,0,6,0.0,0,4,0.0,0,0,0.0,1,1,2,3,1,0,0,2,-3
2024-11-12,PHI vs. NYK,PHI,NYK,Home,L,26.21,4,1,5,20.0,0,4,0.0,2,2,100.0,1,2,3,2,0,1,0,2,-7
2024-11-10,PHI vs. CHA,PHI,CHA,Home,W,33.1,8,2,3,66.7,1,2,50.0,3,4,75.0,0,4,4,5,1,1,3,3,-1
2024-11-08,PHI @ LAL,PHI,LAL,Away,L,31.34,5,1,7,14.3,1,6,16.7,2,2,100.0,0,3,3,6,0,1,1,1,-6
2024-11-06,PHI @ LAC,PHI,LAC,Away,L,19.55,0,0,3,0.0,0,3,0.0,0,0,0.0,1,1,2,4,1,0,2,2,-9
2024-11-04,PHI @ PHX,PHI,PHX,Away,L,27.46,13,5,8,62.5,3,6,50.0,0,0,0.0,2,0,2,7,1,1,0,1,-5
2024-11-02,PHI vs. MEM,PHI,MEM,Home,L,20.55,10,3,4,75.0,3,4,75.0,1,2,50.0,1,2,3,1,2,0,1,1,-1
2024-10-30,PHI vs. DET,PHI,DET,Home,L,19.38,3,1,3,33.3,1,2,50.0,0,0,0.0,0,3,3,2,2,1,1,2,-11
2024-10-27,PHI @ IND,PHI,IND,Away,W,17.08,6,2,4,50.0,2,3,66.7,0,0,0.0,0,1,1,2,1,0,0,2,-1
2024-10-25,PHI @ TOR,PHI,TOR,Away,L,29.13,14,3,5,60.0,3,5,60.0,5,5,100.0,0,1,1,2,3,0,2,5,-12
2024-10-23,PHI vs. MIL,PHI,MIL,Home,L,24.12,13,4,7,57.1,3,5,60.0,2,4,50.0,0,4,4,6,0,0,0,1,-11
