Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,DEN @ MIA,DEN,MIA,Away,W,30.37,24,9,12,75.0,1,2,50.0,5,5,100.0,2,10,12,10,1,0,2,1,6
2025-01-14,DEN @ DAL,DEN,DAL,Away,W,28.56,10,4,7,57.1,1,2,50.0,1,2,50.0,2,12,14,10,2,0,1,3,23
2025-01-12,DEN @ DAL,DEN,DAL,Away,W,38.38,19,6,13,46.2,0,2,0.0,7,9,77.8,4,14,18,9,3,0,4,4,-2
2025-01-10,DEN vs. BKN,DEN,BKN,Home,W,38.11,35,14,21,66.7,1,1,100.0,6,8,75.0,5,7,12,15,4,0,1,1,33
2025-01-04,DEN @ SAS,DEN,SAS,Away,W,43.19,46,19,35,54.3,3,8,37.5,5,6,83.3,4,5,9,10,2,2,2,3,7
2025-01-03,DEN vs. SAS,DEN,SAS,Home,L,36.39,41,15,36,41.7,3,10,30.0,8,9,88.9,4,14,18,9,2,0,2,3,7
2025-01-01,DEN vs. ATL,DEN,ATL,Home,W,29.31,23,8,16,50.0,1,1,100.0,6,6,100.0,3,14,17,15,0,1,2,2,31
2024-12-30,DEN @ UTA,DEN,UTA,Away,W,38.18,36,14,33,42.4,3,9,33.3,5,6,83.3,7,15,22,11,4,0,2,0,20
2024-12-28,DEN vs. DET,DEN,DET,Home,W,37.14,37,11,17,64.7,4,5,80.0,11,14,78.6,1,8,9,8,0,0,2,4,25
2024-12-27,DEN vs. CLE,DEN,CLE,Home,L,35.45,27,12,19,63.2,0,3,0.0,3,4,75.0,3,11,14,13,3,0,1,1,-15
2024-12-25,DEN @ PHX,DEN,PHX,Away,L,37.48,25,10,19,52.6,2,7,28.6,3,4,75.0,5,10,15,2,2,0,2,1,-3
2024-12-23,DEN vs. PHX,DEN,PHX,Home,W,29.45,32,12,17,70.6,4,6,66.7,4,5,80.0,0,2,2,7,0,0,1,1,19
2024-12-22,DEN @ NOP,DEN,NOP,Away,W,42.34,27,11,20,55.0,2,3,66.7,3,5,60.0,2,11,13,10,1,1,3,5,6
2024-12-19,DEN @ POR,DEN,POR,Away,L,36.37,34,13,18,72.2,4,6,66.7,4,4,100.0,0,6,6,8,1,0,3,4,-5
2024-12-16,DEN @ SAC,DEN,SAC,Away,W,38.18,20,8,19,42.1,1,6,16.7,3,4,75.0,2,12,14,13,2,1,5,0,4
2024-12-13,DEN vs. LAC,DEN,LAC,Home,W,29.57,16,6,9,66.7,2,2,100.0,2,4,50.0,0,7,7,2,2,0,5,2,14
2024-12-08,DEN @ ATL,DEN,ATL,Away,W,35.03,48,17,29,58.6,3,6,50.0,11,13,84.6,3,11,14,8,3,0,3,2,25
2024-12-07,DEN @ WAS,DEN,WAS,Away,L,38.39,56,22,39,56.4,3,6,50.0,9,13,69.2,7,9,16,8,1,0,5,5,-1
2024-12-05,DEN @ CLE,DEN,CLE,Away,L,38.4,27,13,26,50.0,0,3,0.0,1,1,100.0,3,17,20,11,3,0,3,3,-8
2024-12-03,DEN vs. GSW,DEN,GSW,Home,W,40.02,38,14,24,58.3,3,4,75.0,7,9,77.8,2,8,10,6,5,1,4,1,23
2024-12-01,DEN @ LAC,DEN,LAC,Away,L,39.04,28,12,24,50.0,2,7,28.6,2,4,50.0,3,11,14,11,1,1,5,3,-7
2024-11-27,DEN @ UTA,DEN,UTA,Away,W,33.37,30,13,19,68.4,2,3,66.7,2,3,66.7,3,7,10,7,1,1,1,1,20
2024-11-25,DEN vs. NYK,DEN,NYK,Home,L,31.5,22,9,20,45.0,2,7,28.6,2,2,100.0,3,4,7,7,1,0,0,1,-20
2024-11-23,DEN @ LAL,DEN,LAL,Away,W,36.37,34,12,20,60.0,3,7,42.9,7,8,87.5,2,11,13,8,2,1,6,3,39
2024-11-22,DEN vs. DAL,DEN,DAL,Home,L,39.28,33,13,22,59.1,2,2,100.0,5,7,71.4,6,11,17,10,0,0,3,0,4
2024-11-10,DEN vs. DAL,DEN,DAL,Home,W,38.0,37,13,21,61.9,3,3,100.0,8,8,100.0,8,10,18,15,3,0,4,2,13
2024-11-08,DEN vs. MIA,DEN,MIA,Home,W,39.6,30,11,13,84.6,1,1,100.0,7,7,100.0,2,9,11,14,2,0,5,2,26
2024-11-06,DEN vs. OKC,DEN,OKC,Home,W,39.29,23,9,20,45.0,1,3,33.3,4,6,66.7,7,13,20,16,2,2,5,2,8
2024-11-04,DEN vs. TOR,DEN,TOR,Home,W,38.12,28,10,22,45.5,1,5,20.0,7,8,87.5,5,9,14,13,1,2,7,2,-1
2024-11-02,DEN vs. UTA,DEN,UTA,Home,W,29.42,27,10,18,55.6,3,4,75.0,4,4,100.0,5,11,16,9,1,0,5,1,31
