Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,IND vs. PHI,IND,PHI,Home,W,34.42,21,6,12,50.0,0,2,0.0,9,14,64.3,4,4,8,5,0,2,0,2,14
2025-01-16,IND @ DET,IND,DET,Away,W,38.45,26,10,20,50.0,0,2,0.0,6,7,85.7,0,7,7,7,4,0,0,3,14
2025-01-14,IND vs. CLE,IND,CLE,Home,L,33.44,23,10,16,62.5,2,2,100.0,1,1,100.0,2,5,7,4,1,0,1,2,-11
2025-01-12,IND @ CLE,IND,CLE,Away,W,31.03,18,8,21,38.1,0,5,0.0,2,2,100.0,3,6,9,2,1,2,1,1,6
2025-01-10,IND vs. GSW,IND,GSW,Home,W,29.55,25,12,16,75.0,1,4,25.0,0,2,0.0,3,6,9,0,1,0,1,1,21
2025-01-08,IND vs. CHI,IND,CHI,Home,W,28.38,26,11,17,64.7,3,7,42.9,1,3,33.3,2,4,6,3,0,0,2,0,10
2025-01-06,IND @ BKN,IND,BKN,Away,W,23.44,19,7,16,43.8,0,3,0.0,5,5,100.0,1,5,6,2,0,0,0,2,14
2025-01-04,IND vs. PHX,IND,PHX,Home,W,34.04,15,7,17,41.2,1,5,20.0,0,0,0.0,1,8,9,4,0,0,1,1,18
2025-01-02,IND @ MIA,IND,MIA,Away,W,31.54,18,8,13,61.5,1,2,50.0,1,4,25.0,4,7,11,4,0,0,0,1,13
2024-12-31,IND vs. MIL,IND,MIL,Home,L,31.0,20,6,14,42.9,3,7,42.9,5,8,62.5,0,7,7,4,0,0,1,3,-5
2024-12-29,IND @ BOS,IND,BOS,Away,W,30.51,17,6,11,54.5,1,2,50.0,4,4,100.0,0,8,8,6,3,1,2,3,10
2024-12-27,IND @ BOS,IND,BOS,Away,L,23.49,14,5,11,45.5,3,6,50.0,1,2,50.0,2,7,9,1,1,0,1,1,-17
2024-12-26,IND vs. OKC,IND,OKC,Home,L,31.11,22,7,14,50.0,5,7,71.4,3,4,75.0,1,9,10,3,0,0,1,4,3
2024-12-23,IND @ GSW,IND,GSW,Away,W,34.17,20,9,18,50.0,1,4,25.0,1,1,100.0,1,4,5,1,2,0,1,5,0
2024-12-22,IND @ SAC,IND,SAC,Away,W,28.07,19,7,14,50.0,2,5,40.0,3,5,60.0,1,9,10,3,0,0,0,3,13
2024-12-19,IND @ PHX,IND,PHX,Away,W,39.37,25,9,22,40.9,3,7,42.9,4,5,80.0,3,15,18,3,1,1,1,3,5
2024-12-15,IND vs. NOP,IND,NOP,Home,W,36.05,22,8,16,50.0,3,6,50.0,3,4,75.0,1,4,5,2,1,1,0,2,14
2024-12-13,IND @ PHI,IND,PHI,Away,W,30.34,23,9,11,81.8,2,2,100.0,3,5,60.0,1,7,8,3,1,1,2,2,19
2024-12-08,IND vs. CHA,IND,CHA,Home,L,34.08,9,3,8,37.5,0,2,0.0,3,3,100.0,1,10,11,3,2,0,3,4,-5
2024-12-06,IND @ CHI,IND,CHI,Away,W,36.41,21,7,15,46.7,3,5,60.0,4,4,100.0,2,5,7,2,0,0,1,1,-1
2024-12-04,IND @ BKN,IND,BKN,Away,L,37.05,14,5,10,50.0,1,3,33.3,3,5,60.0,0,6,6,0,1,1,1,2,-6
2024-12-03,IND @ TOR,IND,TOR,Away,L,35.47,13,4,13,30.8,2,5,40.0,3,5,60.0,4,2,6,1,3,0,2,6,-22
2024-12-01,IND @ MEM,IND,MEM,Away,L,30.03,17,7,15,46.7,1,5,20.0,2,2,100.0,1,1,2,6,0,1,3,3,-11
2024-11-29,IND vs. DET,IND,DET,Home,L,34.39,21,9,19,47.4,1,6,16.7,2,2,100.0,2,7,9,2,1,0,1,2,-4
2024-11-27,IND vs. POR,IND,POR,Home,W,38.12,29,12,20,60.0,2,5,40.0,3,4,75.0,2,5,7,4,2,2,1,5,1
