Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-15,PHI vs. NYK,PHI,NYK,Home,L,43.27,26,9,20,45.0,3,8,37.5,5,5,100.0,0,3,3,6,3,0,3,2,4
2025-01-12,PHI @ ORL,PHI,ORL,Away,L,37.08,25,10,20,50.0,5,8,62.5,0,0,0.0,0,10,10,6,1,0,3,6,11
2025-01-10,PHI vs. NOP,PHI,NOP,Home,L,35.15,25,10,22,45.5,5,12,41.7,0,0,0.0,1,10,11,5,2,0,3,3,7
2025-01-06,PHI vs. PHX,PHI,PHX,Home,L,37.48,13,5,18,27.8,3,9,33.3,0,0,0.0,0,9,9,5,2,0,2,2,-8
2025-01-04,PHI @ BKN,PHI,BKN,Away,W,28.58,17,6,14,42.9,3,9,33.3,2,2,100.0,0,4,4,6,2,0,2,2,22
2025-01-02,PHI @ GSW,PHI,GSW,Away,L,32.1,19,7,12,58.3,3,6,50.0,2,2,100.0,0,2,2,0,0,0,2,2,-26
2025-01-01,PHI @ SAC,PHI,SAC,Away,L,36.15,30,11,20,55.0,4,7,57.1,4,4,100.0,1,7,8,5,0,1,5,6,-3
2024-12-30,PHI @ POR,PHI,POR,Away,W,22.5,9,4,9,44.4,1,3,33.3,0,0,0.0,3,3,6,4,1,0,4,5,20
2024-12-28,PHI @ UTA,PHI,UTA,Away,W,31.39,13,4,11,36.4,2,5,40.0,3,5,60.0,0,3,3,2,5,0,1,5,6
2024-12-25,PHI @ BOS,PHI,BOS,Away,W,33.41,12,4,15,26.7,0,7,0.0,4,4,100.0,0,4,4,4,3,1,1,0,-16
2024-12-23,PHI vs. SAS,PHI,SAS,Home,W,36.56,19,6,16,37.5,2,7,28.6,5,7,71.4,1,8,9,4,0,0,2,1,15
2024-12-21,PHI @ CLE,PHI,CLE,Away,L,27.11,11,4,12,33.3,1,4,25.0,2,2,100.0,1,4,5,1,1,0,3,1,-7
2024-12-20,PHI vs. CHA,PHI,CHA,Home,W,38.39,5,2,12,16.7,1,7,14.3,0,0,0.0,2,8,10,8,3,1,2,4,5
2024-12-16,PHI @ CHA,PHI,CHA,Away,W,39.47,33,13,20,65.0,6,9,66.7,1,2,50.0,0,5,5,8,2,1,4,2,11
2024-12-13,PHI vs. IND,PHI,IND,Home,L,35.0,15,5,12,41.7,2,5,40.0,3,4,75.0,0,5,5,2,2,2,2,1,-29
2024-12-08,PHI @ CHI,PHI,CHI,Away,W,34.41,12,6,13,46.2,0,5,0.0,0,0,0.0,0,7,7,2,0,1,1,2,4
2024-12-06,PHI vs. ORL,PHI,ORL,Home,W,36.55,21,8,19,42.1,2,7,28.6,3,4,75.0,0,4,4,9,1,0,2,3,7
2024-12-03,PHI @ CHA,PHI,CHA,Away,W,37.17,29,10,16,62.5,6,9,66.7,3,3,100.0,1,1,2,8,2,1,2,2,0
2024-11-30,PHI @ DET,PHI,DET,Away,W,26.21,11,4,12,33.3,1,2,50.0,2,3,66.7,1,7,8,5,1,0,3,3,30
2024-11-20,PHI @ MEM,PHI,MEM,Away,L,17.27,2,1,6,16.7,0,2,0.0,0,0,0.0,1,3,4,2,1,0,1,1,-10
2024-11-18,PHI @ MIA,PHI,MIA,Away,L,32.57,18,5,13,38.5,1,7,14.3,7,9,77.8,0,6,6,5,3,0,3,3,-17
2024-11-15,PHI @ ORL,PHI,ORL,Away,L,35.35,13,4,15,26.7,3,9,33.3,2,3,66.7,1,3,4,5,4,0,3,2,-11
2024-11-12,PHI vs. NYK,PHI,NYK,Home,L,32.08,29,10,19,52.6,7,11,63.6,2,2,100.0,1,9,10,3,3,1,4,3,-11
2024-11-10,PHI vs. CHA,PHI,CHA,Home,W,33.14,15,6,18,33.3,1,9,11.1,2,2,100.0,0,3,3,9,2,0,4,1,-2
2024-11-08,PHI @ LAL,PHI,LAL,Away,L,24.57,9,4,13,30.8,0,6,0.0,1,2,50.0,1,3,4,8,1,0,0,2,-4
2024-11-06,PHI @ LAC,PHI,LAC,Away,L,23.36,18,7,9,77.8,2,3,66.7,2,2,100.0,3,4,7,2,3,1,4,4,-11
2024-11-04,PHI @ PHX,PHI,PHX,Away,L,31.36,15,4,14,28.6,1,7,14.3,6,7,85.7,0,5,5,4,1,0,6,3,3
