Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,GSW vs. WAS,GSW,WAS,Home,W,34.14,26,10,22,45.5,4,14,28.6,2,2,100.0,1,4,5,6,1,1,1,1,7
2025-01-15,GSW @ MIN,GSW,MIN,Away,W,37.2,31,10,21,47.6,7,12,58.3,4,4,100.0,1,0,1,8,1,0,1,1,-1
2025-01-13,GSW @ TOR,GSW,TOR,Away,L,34.6,26,9,17,52.9,4,10,40.0,4,4,100.0,1,6,7,7,1,0,4,2,0
2025-01-09,GSW @ DET,GSW,DET,Away,W,36.08,17,5,21,23.8,2,14,14.3,5,5,100.0,1,8,9,6,2,0,3,0,-14
2025-01-07,GSW vs. MIA,GSW,MIA,Home,L,33.24,31,11,22,50.0,8,17,47.1,1,1,100.0,0,7,7,0,1,2,4,2,-10
2025-01-05,GSW vs. SAC,GSW,SAC,Home,L,29.42,26,8,12,66.7,4,8,50.0,6,6,100.0,0,7,7,0,1,0,4,3,-17
2025-01-02,GSW vs. PHI,GSW,PHI,Home,W,29.49,30,11,15,73.3,8,8,100.0,0,0,0.0,1,5,6,10,1,0,2,1,32
2024-12-30,GSW vs. CLE,GSW,CLE,Home,L,29.05,11,4,14,28.6,3,11,27.3,0,0,0.0,0,2,2,3,1,1,1,1,-2
2024-12-28,GSW vs. PHX,GSW,PHX,Home,W,35.03,22,9,22,40.9,4,13,30.8,0,0,0.0,2,4,6,6,1,0,5,3,20
2024-12-25,GSW vs. LAL,GSW,LAL,Home,L,35.37,38,14,24,58.3,8,15,53.3,2,2,100.0,0,1,1,6,0,0,4,3,-1
2024-12-23,GSW vs. IND,GSW,IND,Home,L,35.25,10,2,13,15.4,2,9,22.2,4,4,100.0,0,5,5,7,0,3,3,1,6
2024-12-21,GSW @ MIN,GSW,MIN,Away,W,34.13,31,10,21,47.6,7,16,43.8,4,5,80.0,0,3,3,10,1,0,1,1,20
2024-12-19,GSW @ MEM,GSW,MEM,Away,L,24.22,2,0,7,0.0,0,6,0.0,2,2,100.0,0,3,3,1,1,1,2,0,-41
2024-12-15,GSW vs. DAL,GSW,DAL,Home,L,35.25,26,9,19,47.4,7,13,53.8,1,1,100.0,0,5,5,10,1,0,2,1,-10
2024-12-11,GSW @ HOU,GSW,HOU,Away,L,33.39,19,8,17,47.1,3,9,33.3,0,1,0.0,1,2,3,5,2,1,1,0,4
2024-12-08,GSW vs. MIN,GSW,MIN,Home,W,34.36,30,8,18,44.4,5,11,45.5,9,11,81.8,0,4,4,8,1,0,3,0,14
2024-12-06,GSW vs. MIN,GSW,MIN,Home,L,32.08,23,6,17,35.3,3,9,33.3,8,8,100.0,1,1,2,4,0,0,3,0,-3
2024-12-03,GSW @ DEN,GSW,DEN,Away,L,34.18,24,8,23,34.8,4,15,26.7,4,4,100.0,1,6,7,11,0,0,5,0,5
2024-11-30,GSW @ PHX,GSW,PHX,Away,L,32.24,23,8,21,38.1,3,10,30.0,4,5,80.0,1,6,7,4,0,0,0,1,4
2024-11-25,GSW vs. BKN,GSW,BKN,Home,L,29.28,28,8,17,47.1,8,16,50.0,4,4,100.0,0,4,4,7,1,0,3,0,-4
2024-11-23,GSW @ SAS,GSW,SAS,Away,L,31.59,14,5,16,31.3,3,10,30.0,1,1,100.0,2,5,7,5,0,0,3,1,4
2024-11-22,GSW @ NOP,GSW,NOP,Away,W,33.09,19,6,13,46.2,4,7,57.1,3,3,100.0,0,7,7,7,1,1,4,3,4
2024-11-20,GSW vs. ATL,GSW,ATL,Home,W,30.12,23,7,10,70.0,4,6,66.7,5,5,100.0,0,4,4,8,2,1,5,0,27
2024-11-18,GSW @ LAC,GSW,LAC,Away,L,32.23,26,10,21,47.6,6,15,40.0,0,0,0.0,1,6,7,6,0,1,3,1,-5
2024-11-15,GSW vs. MEM,GSW,MEM,Home,W,26.01,13,4,9,44.4,3,7,42.9,2,2,100.0,1,7,8,5,4,0,3,2,9
2024-11-12,GSW vs. DAL,GSW,DAL,Home,W,34.52,37,14,27,51.9,5,12,41.7,4,5,80.0,0,6,6,9,1,2,4,2,24
2024-11-10,GSW @ OKC,GSW,OKC,Away,W,36.3,36,13,23,56.5,7,13,53.8,3,4,75.0,1,4,5,7,1,1,3,2,21
2024-11-08,GSW @ CLE,GSW,CLE,Away,L,23.46,12,5,10,50.0,1,4,25.0,1,1,100.0,0,1,1,2,2,0,6,0,-25
2024-11-06,GSW @ BOS,GSW,BOS,Away,W,34.23,27,8,17,47.1,4,9,44.4,7,7,100.0,0,7,7,9,4,1,3,2,7
2024-11-04,GSW @ WAS,GSW,WAS,Away,W,24.05,24,7,15,46.7,4,9,44.4,6,6,100.0,1,2,3,6,0,0,2,1,9
2024-10-27,GSW vs. LAC,GSW,LAC,Home,L,26.42,18,6,11,54.5,4,7,57.1,2,2,100.0,0,4,4,6,2,1,6,1,2
2024-10-25,GSW @ UTA,GSW,UTA,Away,W,27.25,20,7,20,35.0,4,13,30.8,2,2,100.0,0,3,3,4,2,0,3,3,22
2024-10-23,GSW @ POR,GSW,POR,Away,W,25.04,17,4,10,40.0,3,7,42.9,6,6,100.0,0,9,9,10,2,0,2,0,23
