Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,ATL @ BOS,ATL,BOS,Away,W,38.52,28,10,23,43.5,3,10,30.0,5,5,100.0,0,4,4,11,2,2,5,1,3
2025-01-14,ATL vs. PHX,ATL,PHX,Home,W,38.07,43,13,31,41.9,6,12,50.0,11,14,78.6,2,1,3,5,3,0,6,2,10
2025-01-09,ATL @ PHX,ATL,PHX,Away,L,33.5,21,6,15,40.0,1,4,25.0,8,9,88.9,0,2,2,7,1,0,3,0,-15
2025-01-07,ATL @ UTA,ATL,UTA,Away,W,36.34,24,6,16,37.5,3,10,30.0,9,10,90.0,0,2,2,20,0,1,2,1,4
2025-01-04,ATL @ LAC,ATL,LAC,Away,L,33.5,20,7,16,43.8,4,9,44.4,2,3,66.7,0,4,4,14,1,0,3,2,-7
2025-01-03,ATL @ LAL,ATL,LAL,Away,L,35.57,33,10,22,45.5,3,9,33.3,10,12,83.3,0,0,0,9,1,0,3,1,-8
2025-01-01,ATL @ DEN,ATL,DEN,Away,L,30.16,30,8,17,47.1,4,10,40.0,10,12,83.3,0,4,4,9,2,0,4,1,-25
2024-12-29,ATL @ TOR,ATL,TOR,Away,W,32.24,34,10,21,47.6,7,13,53.8,7,7,100.0,0,2,2,10,1,2,5,2,39
2024-12-28,ATL vs. MIA,ATL,MIA,Home,W,36.51,11,3,13,23.1,2,9,22.2,3,4,75.0,0,1,1,15,1,0,3,0,17
2024-12-26,ATL vs. CHI,ATL,CHI,Home,W,38.44,27,8,17,47.1,4,11,36.4,7,7,100.0,1,1,2,13,2,0,2,2,20
2024-12-23,ATL vs. MIN,ATL,MIN,Home,W,31.18,29,8,15,53.3,4,7,57.1,9,12,75.0,0,2,2,7,0,0,5,2,9
2024-12-19,ATL @ SAS,ATL,SAS,Away,L,36.4,23,7,16,43.8,3,6,50.0,6,8,75.0,0,0,0,16,3,0,5,3,-7
2024-12-14,ATL @ MIL,ATL,MIL,Away,L,39.36,35,9,18,50.0,3,5,60.0,14,17,82.4,2,5,7,10,0,1,5,4,-4
2024-12-11,ATL @ NYK,ATL,NYK,Away,W,36.24,22,8,22,36.4,2,8,25.0,4,4,100.0,0,5,5,11,1,0,3,1,6
2024-12-08,ATL vs. DEN,ATL,DEN,Home,L,35.08,15,6,13,46.2,2,7,28.6,1,2,50.0,1,3,4,10,3,0,4,1,-5
2024-12-06,ATL vs. LAL,ATL,LAL,Home,W,42.06,31,9,25,36.0,5,13,38.5,8,8,100.0,0,4,4,20,2,0,3,1,-6
2024-12-04,ATL @ MIL,ATL,MIL,Away,W,35.23,17,6,19,31.6,0,9,0.0,5,6,83.3,0,4,4,7,0,0,4,3,8
2024-12-02,ATL vs. NOP,ATL,NOP,Home,W,35.5,12,5,16,31.3,2,9,22.2,0,0,0.0,1,7,8,15,1,0,5,3,20
2024-11-30,ATL @ CHA,ATL,CHA,Away,W,30.48,14,4,9,44.4,2,6,33.3,4,6,66.7,0,4,4,5,1,0,6,2,-4
2024-11-29,ATL vs. CLE,ATL,CLE,Home,W,34.41,21,7,12,58.3,2,5,40.0,5,5,100.0,0,3,3,11,0,0,7,4,10
2024-11-27,ATL @ CLE,ATL,CLE,Away,W,36.57,20,6,18,33.3,3,13,23.1,5,5,100.0,0,4,4,22,0,0,5,3,5
2024-11-25,ATL vs. DAL,ATL,DAL,Home,L,35.16,18,5,12,41.7,2,4,50.0,6,7,85.7,1,1,2,16,3,0,3,2,-1
2024-11-22,ATL @ CHI,ATL,CHI,Away,L,37.31,25,8,18,44.4,1,8,12.5,8,8,100.0,0,1,1,13,4,1,4,2,-9
2024-11-20,ATL @ GSW,ATL,GSW,Away,L,30.2,12,4,12,33.3,1,6,16.7,3,4,75.0,0,3,3,11,2,0,3,2,-19
2024-11-18,ATL @ SAC,ATL,SAC,Away,W,35.43,7,1,7,14.3,0,2,0.0,5,5,100.0,0,3,3,19,2,0,5,1,15
2024-11-17,ATL @ POR,ATL,POR,Away,L,37.55,29,8,16,50.0,5,10,50.0,8,9,88.9,1,4,5,8,0,0,6,2,-4
2024-11-15,ATL vs. WAS,ATL,WAS,Home,W,33.08,18,5,18,27.8,4,9,44.4,4,4,100.0,0,2,2,9,0,0,6,3,2
2024-11-09,ATL vs. CHI,ATL,CHI,Home,L,37.52,14,6,16,37.5,2,6,33.3,0,0,0.0,1,2,3,16,0,0,6,2,-6
2024-11-08,ATL @ DET,ATL,DET,Away,L,41.0,35,11,25,44.0,6,12,50.0,7,8,87.5,0,2,2,13,2,0,3,2,14
2024-11-06,ATL vs. NYK,ATL,NYK,Home,W,35.15,23,7,21,33.3,3,9,33.3,6,8,75.0,2,4,6,10,2,0,2,2,6
2024-11-04,ATL vs. BOS,ATL,BOS,Home,L,23.15,2,1,10,10.0,0,6,0.0,0,0,0.0,0,0,0,6,1,0,3,2,-28
2024-11-03,ATL @ NOP,ATL,NOP,Away,W,31.21,23,8,15,53.3,5,10,50.0,2,2,100.0,1,3,4,12,1,0,2,1,29
2024-11-01,ATL vs. SAC,ATL,SAC,Home,L,42.18,25,8,21,38.1,3,9,33.3,6,7,85.7,1,4,5,12,0,0,5,2,-11
2024-10-30,ATL @ WAS,ATL,WAS,Away,L,40.21,35,12,28,42.9,4,13,30.8,7,7,100.0,2,2,4,15,2,0,3,2,-16
2024-10-28,ATL vs. WAS,ATL,WAS,Home,L,35.45,14,2,15,13.3,2,10,20.0,8,9,88.9,0,8,8,13,1,1,6,3,-7
2024-10-27,ATL @ OKC,ATL,OKC,Away,L,37.03,24,7,14,50.0,2,7,28.6,8,8,100.0,0,1,1,8,0,0,10,3,-18
2024-10-25,ATL vs. CHA,ATL,CHA,Home,W,41.29,38,11,24,45.8,5,14,35.7,11,13,84.6,3,5,8,10,4,0,7,1,9
2024-10-23,ATL vs. BKN,ATL,BKN,Home,W,36.41,30,7,16,43.8,2,6,33.3,14,16,87.5,1,4,5,12,1,1,3,1,12
