Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,CHI vs. CHA,CHI,CHA,Home,L,34.48,19,7,15,46.7,2,4,50.0,3,3,100.0,1,5,6,8,2,0,4,1,4
2025-01-15,CHI vs. ATL,CHI,ATL,Home,L,35.3,15,7,13,53.8,1,2,50.0,0,0,0.0,0,6,6,7,2,0,3,2,-10
2025-01-14,CHI vs. NOP,CHI,NOP,Home,L,38.02,25,10,22,45.5,4,6,66.7,1,3,33.3,0,7,7,5,1,0,5,2,6
2025-01-12,CHI vs. SAC,CHI,SAC,Home,L,37.3,36,12,24,50.0,5,8,62.5,7,7,100.0,2,8,10,4,1,0,2,0,5
2025-01-10,CHI vs. WAS,CHI,WAS,Home,W,32.57,33,14,21,66.7,3,7,42.9,2,4,50.0,0,5,5,3,1,0,1,0,34
2025-01-08,CHI @ IND,CHI,IND,Away,L,34.55,31,12,20,60.0,2,6,33.3,5,6,83.3,0,4,4,4,0,1,3,2,-20
2025-01-06,CHI vs. SAS,CHI,SAS,Home,W,39.35,35,13,25,52.0,3,6,50.0,6,7,85.7,1,9,10,8,1,0,2,1,13
2025-01-04,CHI vs. NYK,CHI,NYK,Home,W,35.49,33,13,21,61.9,3,6,50.0,4,4,100.0,1,3,4,7,1,0,2,0,7
2025-01-01,CHI @ WAS,CHI,WAS,Away,L,31.13,32,12,20,60.0,3,8,37.5,5,7,71.4,0,1,1,3,2,1,3,2,2
2024-12-28,CHI vs. MIL,CHI,MIL,Home,W,34.35,15,5,12,41.7,1,4,25.0,4,6,66.7,0,6,6,7,0,0,3,0,7
2024-12-26,CHI @ ATL,CHI,ATL,Away,L,36.04,37,14,25,56.0,7,9,77.8,2,2,100.0,1,4,5,7,1,1,7,3,-8
2024-12-23,CHI vs. MIL,CHI,MIL,Home,L,33.37,14,5,13,38.5,1,6,16.7,3,3,100.0,0,6,6,3,1,0,3,0,-18
2024-12-21,CHI vs. BOS,CHI,BOS,Home,L,29.32,14,4,11,36.4,4,5,80.0,2,2,100.0,0,4,4,4,1,0,2,1,-12
2024-12-19,CHI @ BOS,CHI,BOS,Away,W,33.0,36,11,19,57.9,6,11,54.5,8,9,88.9,0,6,6,4,0,0,1,1,8
2024-12-13,CHI vs. CHA,CHI,CHA,Home,W,33.55,13,4,11,36.4,1,4,25.0,4,5,80.0,0,4,4,3,3,0,5,2,17
2024-12-08,CHI vs. PHI,CHI,PHI,Home,L,31.52,30,10,21,47.6,6,14,42.9,4,5,80.0,0,4,4,3,1,0,5,2,-13
2024-12-06,CHI vs. IND,CHI,IND,Home,L,33.52,32,12,22,54.5,5,9,55.6,3,5,60.0,0,3,3,3,1,0,4,1,-8
2024-12-05,CHI @ SAS,CHI,SAS,Away,W,33.08,11,4,11,36.4,2,6,33.3,1,2,50.0,1,8,9,9,0,0,4,5,16
2024-12-02,CHI vs. BKN,CHI,BKN,Home,W,25.59,18,7,13,53.8,3,7,42.9,1,1,100.0,0,0,0,4,1,0,0,0,25
2024-11-29,CHI vs. BOS,CHI,BOS,Home,L,35.18,29,11,22,50.0,4,11,36.4,3,3,100.0,0,1,1,1,0,0,0,4,-19
2024-11-27,CHI @ ORL,CHI,ORL,Away,L,31.03,8,3,9,33.3,1,5,20.0,1,2,50.0,1,4,5,10,1,0,2,3,-20
2024-11-26,CHI @ WAS,CHI,WAS,Away,W,30.37,18,6,14,42.9,4,8,50.0,2,2,100.0,0,1,1,4,0,0,1,1,25
2024-11-23,CHI vs. MEM,CHI,MEM,Home,L,34.1,29,10,19,52.6,3,6,50.0,6,6,100.0,0,3,3,0,2,0,1,0,-18
2024-11-22,CHI vs. ATL,CHI,ATL,Home,W,33.33,26,11,18,61.1,4,8,50.0,0,0,0.0,0,3,3,4,0,0,6,2,5
2024-11-20,CHI @ MIL,CHI,MIL,Away,L,33.2,27,9,15,60.0,4,7,57.1,5,5,100.0,0,5,5,6,0,0,4,2,-10
2024-11-18,CHI @ DET,CHI,DET,Away,W,34.45,25,9,19,47.4,7,14,50.0,0,0,0.0,0,6,6,5,1,0,1,0,24
2024-11-17,CHI vs. HOU,CHI,HOU,Home,L,26.2,15,4,9,44.4,1,3,33.3,6,6,100.0,0,5,5,1,2,1,0,3,-36
2024-11-15,CHI @ CLE,CHI,CLE,Away,L,37.07,8,4,16,25.0,0,3,0.0,0,0,0.0,0,4,4,9,0,1,1,5,-5
2024-11-13,CHI @ NYK,CHI,NYK,Away,W,36.17,31,12,17,70.6,4,8,50.0,3,6,50.0,1,6,7,8,2,1,6,1,21
2024-11-11,CHI vs. CLE,CHI,CLE,Home,L,35.51,26,12,20,60.0,2,7,28.6,0,1,0.0,0,6,6,3,0,0,2,2,16
2024-11-09,CHI @ ATL,CHI,ATL,Away,W,31.35,18,7,12,58.3,1,5,20.0,3,4,75.0,0,2,2,7,1,0,3,1,5
2024-11-01,CHI @ BKN,CHI,BKN,Away,L,33.56,21,7,17,41.2,5,9,55.6,2,2,100.0,0,1,1,2,1,0,2,1,-7
2024-10-30,CHI vs. ORL,CHI,ORL,Home,W,35.37,11,2,9,22.2,1,4,25.0,6,8,75.0,0,10,10,3,1,0,4,2,10
2024-10-28,CHI @ MEM,CHI,MEM,Away,W,34.36,30,12,22,54.5,5,12,41.7,1,1,100.0,0,3,3,4,1,0,1,0,-6
2024-10-26,CHI vs. OKC,CHI,OKC,Home,L,34.16,22,6,13,46.2,4,9,44.4,6,7,85.7,0,9,9,3,2,1,7,1,-11
2024-10-25,CHI @ MIL,CHI,MIL,Away,W,33.17,25,9,15,60.0,2,6,33.3,5,6,83.3,1,4,5,1,0,2,1,0,9
2024-10-23,CHI @ NOP,CHI,NOP,Away,L,36.46,27,10,17,58.8,5,8,62.5,2,3,66.7,1,4,5,3,0,0,7,4,-15
