Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,GSW vs. WAS,GSW,WAS,Home,W,9.24,6,3,6,50.0,0,2,0.0,0,0,0.0,1,1,2,2,1,0,0,0,-3
2025-01-15,GSW @ MIN,GSW,MIN,Away,W,8.21,2,1,4,25.0,0,3,0.0,0,0,0.0,1,1,2,1,0,0,1,0,14
2025-01-13,GSW @ TOR,GSW,TOR,Away,L,8.3,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,0,0,0,0,0,1
2025-01-07,GSW vs. MIA,GSW,MIA,Home,L,7.3,4,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,0
2025-01-05,GSW vs. SAC,GSW,SAC,Home,L,8.53,7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,-12
2025-01-04,GSW vs. MEM,GSW,MEM,Home,W,7.56,0,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,1,0,6
2025-01-02,GSW vs. PHI,GSW,PHI,Home,W,9.51,4,1,3,33.3,0,2,0.0,2,2,100.0,0,2,2,3,0,0,0,1,11
2024-12-30,GSW vs. CLE,GSW,CLE,Home,L,7.46,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,6
2024-12-28,GSW vs. PHX,GSW,PHX,Home,W,8.17,3,1,4,25.0,1,3,33.3,0,0,0.0,1,1,2,1,0,1,0,0,7
2024-12-27,GSW @ LAC,GSW,LAC,Away,L,8.26,3,1,4,25.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,1,0,-3
2024-12-25,GSW vs. LAL,GSW,LAL,Home,L,9.34,10,4,5,80.0,2,3,66.7,0,0,0.0,0,1,1,0,0,1,0,0,5
2024-12-23,GSW vs. IND,GSW,IND,Home,L,7.43,5,2,3,66.7,1,2,50.0,0,0,0.0,1,0,1,0,0,0,2,0,-2
2024-12-21,GSW @ MIN,GSW,MIN,Away,W,8.07,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,1,3
2024-12-19,GSW @ MEM,GSW,MEM,Away,L,8.06,9,3,6,50.0,2,2,100.0,1,1,100.0,1,0,1,0,0,0,1,0,-11
2024-12-15,GSW vs. DAL,GSW,DAL,Home,L,6.48,9,3,5,60.0,1,2,50.0,2,3,66.7,0,0,0,1,0,0,0,0,-17
2024-12-06,GSW vs. MIN,GSW,MIN,Home,L,9.13,7,3,5,60.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,-2
2024-12-05,GSW vs. HOU,GSW,HOU,Home,W,9.34,3,1,3,33.3,0,0,0.0,1,3,33.3,0,3,3,0,1,1,0,0,-4
2024-12-03,GSW @ DEN,GSW,DEN,Away,L,7.47,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,0,1,0,0,1,1
2024-11-30,GSW @ PHX,GSW,PHX,Away,L,6.54,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,0,2
2024-11-27,GSW vs. OKC,GSW,OKC,Home,L,9.15,11,2,3,66.7,2,2,100.0,5,5,100.0,0,1,1,2,0,0,0,1,-8
2024-11-25,GSW vs. BKN,GSW,BKN,Home,L,6.34,2,1,3,33.3,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,-3
2024-11-23,GSW @ SAS,GSW,SAS,Away,L,9.55,10,4,7,57.1,2,4,50.0,0,1,0.0,1,1,2,1,0,0,0,0,14
2024-11-22,GSW @ NOP,GSW,NOP,Away,W,7.45,13,5,5,100.0,3,3,100.0,0,0,0.0,0,0,0,1,0,1,0,2,1
2024-11-20,GSW vs. ATL,GSW,ATL,Home,W,7.09,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,7
2024-11-18,GSW @ LAC,GSW,LAC,Away,L,7.14,4,1,3,33.3,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-7
2024-11-15,GSW vs. MEM,GSW,MEM,Home,W,9.25,9,4,8,50.0,1,3,33.3,0,0,0.0,0,0,0,1,1,0,0,1,1
2024-11-12,GSW vs. DAL,GSW,DAL,Home,W,7.24,2,1,3,33.3,0,1,0.0,0,2,0.0,0,0,0,2,0,0,0,1,8
2024-11-10,GSW @ OKC,GSW,OKC,Away,W,9.21,9,3,5,60.0,1,2,50.0,2,2,100.0,1,1,2,1,2,0,0,0,-2
2024-11-08,GSW @ CLE,GSW,CLE,Away,L,7.11,7,3,5,60.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,-15
2024-11-06,GSW @ BOS,GSW,BOS,Away,W,8.17,0,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-5
