Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,MIA vs. DEN,MIA,DEN,Home,L,10.44,6,2,5,40.0,0,1,0.0,2,2,100.0,0,3,3,0,0,0,0,0,-11
2025-01-15,MIA @ LAL,MIA,LAL,Away,L,9.39,7,2,3,66.7,1,1,100.0,2,2,100.0,0,1,1,2,1,0,1,1,-2
2025-01-11,MIA @ POR,MIA,POR,Away,W,6.4,2,1,3,33.3,0,1,0.0,0,0,0.0,1,4,5,1,1,0,0,0,4
2025-01-09,MIA @ UTA,MIA,UTA,Away,W,7.06,1,0,3,0.0,0,0,0.0,1,2,50.0,1,1,2,1,0,0,1,0,-6
2025-01-07,MIA @ GSW,MIA,GSW,Away,W,5.26,4,2,5,40.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1
2025-01-06,MIA @ SAC,MIA,SAC,Away,L,10.13,2,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,1,3,0,1,0,3
2025-01-04,MIA vs. UTA,MIA,UTA,Home,L,8.26,2,0,3,0.0,0,1,0.0,2,2,100.0,0,6,6,0,0,1,2,0,2
2025-01-02,MIA vs. IND,MIA,IND,Home,L,7.49,6,3,4,75.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,-5
2025-01-01,MIA vs. NOP,MIA,NOP,Home,W,9.25,7,2,4,50.0,0,2,0.0,3,3,100.0,0,1,1,2,1,0,0,0,8
2024-12-29,MIA @ HOU,MIA,HOU,Away,W,8.28,4,2,4,50.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,0,-1
2024-12-28,MIA @ ATL,MIA,ATL,Away,L,8.37,6,3,6,50.0,0,0,0.0,0,0,0.0,1,1,2,1,1,2,0,0,0
2024-12-26,MIA @ ORL,MIA,ORL,Away,W,8.16,0,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,3,1,-13
2024-12-23,MIA vs. BKN,MIA,BKN,Home,W,7.28,2,0,0,0.0,0,0,0.0,2,2,100.0,0,2,2,5,0,0,1,0,2
2024-12-21,MIA @ ORL,MIA,ORL,Away,L,6.28,8,2,2,100.0,0,0,0.0,4,5,80.0,0,1,1,0,0,0,2,0,-6
2024-12-20,MIA vs. OKC,MIA,OKC,Home,L,8.36,7,3,5,60.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,0,3
2024-12-16,MIA @ DET,MIA,DET,Away,L,7.29,7,2,3,66.7,1,2,50.0,2,2,100.0,0,2,2,1,1,0,0,0,-1
2024-12-12,MIA vs. TOR,MIA,TOR,Home,W,9.06,2,1,2,50.0,0,0,0.0,0,0,0.0,0,4,4,2,0,1,0,1,-3
2024-12-08,MIA vs. CLE,MIA,CLE,Home,W,7.1,7,3,4,75.0,1,1,100.0,0,0,0.0,0,4,4,1,0,0,1,1,7
2024-12-07,MIA vs. PHX,MIA,PHX,Home,W,7.08,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,1,0,1,0,2
2024-12-04,MIA vs. LAL,MIA,LAL,Home,W,8.21,7,3,4,75.0,0,0,0.0,1,2,50.0,0,4,4,2,1,0,1,0,12
2024-12-02,MIA @ BOS,MIA,BOS,Away,L,7.32,2,1,5,20.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,-6
2024-12-01,MIA @ TOR,MIA,TOR,Away,L,9.14,0,0,4,0.0,0,1,0.0,0,0,0.0,2,6,8,3,0,0,0,0,-3
2024-11-29,MIA vs. TOR,MIA,TOR,Home,W,7.28,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,-2
2024-11-27,MIA @ CHA,MIA,CHA,Away,W,6.54,2,1,2,50.0,0,1,0.0,0,0,0.0,0,3,3,4,0,0,0,0,3
2024-11-26,MIA vs. MIL,MIA,MIL,Home,L,8.07,6,2,3,66.7,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,2,-12
2024-11-24,MIA vs. DAL,MIA,DAL,Home,W,8.52,9,4,8,50.0,1,2,50.0,0,0,0.0,1,1,2,2,0,0,0,1,6
2024-11-18,MIA vs. PHI,MIA,PHI,Home,W,8.12,2,1,3,33.3,0,1,0.0,0,0,0.0,0,6,6,1,0,0,1,0,5
2024-11-17,MIA @ IND,MIA,IND,Away,L,10.17,2,0,2,0.0,0,0,0.0,2,2,100.0,2,0,2,1,0,0,0,0,-6
2024-11-15,MIA @ IND,MIA,IND,Away,W,8.3,1,0,2,0.0,0,0,0.0,1,2,50.0,0,5,5,1,1,0,1,0,2
2024-11-12,MIA @ DET,MIA,DET,Away,L,7.21,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,-13
2024-11-10,MIA @ MIN,MIA,MIN,Away,W,7.51,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,1,0,2,3,0,1
2024-11-08,MIA @ DEN,MIA,DEN,Away,L,9.51,7,3,6,50.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,1,-7
2024-11-06,MIA @ PHX,MIA,PHX,Away,L,8.33,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,1,2,0,0,1,-3
2024-11-04,MIA vs. SAC,MIA,SAC,Home,L,8.21,4,2,4,50.0,0,0,0.0,0,0,0.0,1,2,3,1,1,2,0,1,3
2024-11-02,MIA @ WAS,MIA,WAS,Away,W,6.19,7,2,3,66.7,1,1,100.0,2,2,100.0,1,1,2,0,0,0,1,0,10
2024-10-30,MIA vs. NYK,MIA,NYK,Home,L,7.43,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,2,-2
2024-10-28,MIA vs. DET,MIA,DET,Home,W,8.55,2,0,0,0.0,0,0,0.0,2,4,50.0,1,2,3,2,0,1,0,0,-3
2024-10-26,MIA @ CHA,MIA,CHA,Away,W,8.51,0,0,3,0.0,0,1,0.0,0,0,0.0,1,2,3,1,0,1,0,0,2
2024-10-23,MIA vs. ORL,MIA,ORL,Home,L,7.47,2,0,0,0.0,0,0,0.0,2,4,50.0,1,1,2,1,0,0,0,0,2
