Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,NOP vs. UTA,NOP,UTA,Home,W,10.04,15,5,8,62.5,5,7,71.4,0,0,0.0,0,1,1,3,0,0,0,1,18
2025-01-15,NOP vs. DAL,NOP,DAL,Home,W,10.01,7,2,5,40.0,1,2,50.0,2,2,100.0,0,0,0,1,1,0,1,0,5
2025-01-14,NOP @ CHI,NOP,CHI,Away,W,10.06,3,1,4,25.0,1,3,33.3,0,0,0.0,1,0,1,2,0,0,0,0,-8
2025-01-12,NOP @ BOS,NOP,BOS,Away,L,12.0,4,2,5,40.0,0,2,0.0,0,0,0.0,1,2,3,3,0,0,0,0,6
2025-01-10,NOP @ PHI,NOP,PHI,Away,W,12.0,18,6,10,60.0,3,4,75.0,3,3,100.0,0,1,1,1,0,0,1,0,4
2025-01-08,NOP vs. POR,NOP,POR,Home,L,9.25,11,5,8,62.5,1,4,25.0,0,0,0.0,0,1,1,0,0,0,1,0,-16
2025-01-07,NOP vs. MIN,NOP,MIN,Home,L,7.06,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-10
2025-01-05,NOP @ WAS,NOP,WAS,Away,W,7.38,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,1,0,1,0,0,0
2025-01-03,NOP vs. WAS,NOP,WAS,Home,W,6.08,8,3,5,60.0,2,3,66.7,0,0,0.0,0,1,1,0,0,0,0,0,-1
2025-01-01,NOP @ MIA,NOP,MIA,Away,L,12.0,4,1,4,25.0,0,1,0.0,2,2,100.0,0,0,0,2,0,1,0,0,-12
2024-12-30,NOP vs. LAC,NOP,LAC,Home,L,11.07,6,2,6,33.3,2,4,50.0,0,0,0.0,0,0,0,1,0,0,0,0,5
2024-12-27,NOP vs. MEM,NOP,MEM,Home,L,7.06,4,1,3,33.3,0,1,0.0,2,2,100.0,0,2,2,1,0,0,0,2,-8
2024-12-26,NOP vs. HOU,NOP,HOU,Home,L,8.58,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,1,-7
2024-12-22,NOP vs. DEN,NOP,DEN,Home,L,9.56,6,2,4,50.0,0,1,0.0,2,2,100.0,0,1,1,3,1,0,0,1,3
2024-12-21,NOP vs. NYK,NOP,NYK,Home,L,8.1,4,1,3,33.3,0,2,0.0,2,2,100.0,0,1,1,0,1,0,0,0,-1
2024-12-19,NOP @ HOU,NOP,HOU,Away,L,7.56,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-12
2024-12-15,NOP @ IND,NOP,IND,Away,L,9.06,0,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-6
2024-12-12,NOP vs. SAC,NOP,SAC,Home,L,9.04,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,-7
2024-12-08,NOP @ SAS,NOP,SAS,Away,L,8.26,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2024-12-07,NOP vs. OKC,NOP,OKC,Home,L,9.28,1,0,3,0.0,0,2,0.0,1,2,50.0,0,0,0,2,1,0,1,1,-7
2024-12-05,NOP vs. PHX,NOP,PHX,Home,W,8.3,8,3,4,75.0,2,3,66.7,0,0,0.0,0,1,1,2,1,0,0,0,8
2024-12-02,NOP @ ATL,NOP,ATL,Away,L,7.52,5,2,3,66.7,0,1,0.0,1,2,50.0,0,1,1,0,0,0,1,2,-4
2024-12-01,NOP @ NYK,NOP,NYK,Away,L,7.44,4,2,6,33.3,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-16
2024-11-29,NOP @ MEM,NOP,MEM,Away,L,8.18,8,4,5,80.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5
2024-11-27,NOP vs. TOR,NOP,TOR,Home,L,6.44,2,1,6,16.7,0,4,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-4
2024-11-25,NOP @ IND,NOP,IND,Away,L,5.45,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-10
2024-10-29,NOP @ GSW,NOP,GSW,Away,L,9.09,5,2,3,66.7,1,2,50.0,0,0,0.0,1,3,4,1,0,1,2,0,9
2024-10-27,NOP @ POR,NOP,POR,Away,L,8.33,9,4,8,50.0,1,4,25.0,0,0,0.0,0,0,0,0,2,0,0,0,-7
2024-10-25,NOP @ POR,NOP,POR,Away,W,9.02,5,2,4,50.0,1,3,33.3,0,0,0.0,0,1,1,0,2,0,1,0,-12
2024-10-23,NOP vs. CHI,NOP,CHI,Home,W,9.26,7,3,6,50.0,1,2,50.0,0,0,0.0,0,0,0,3,0,0,0,0,6
