Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,SAS vs. MEM,SAS,MEM,Home,L,6.49,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,1,3
2025-01-15,SAS vs. MEM,SAS,MEM,Home,L,5.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2025-01-13,SAS @ LAL,SAS,LAL,Away,W,9.21,3,0,0,0.0,0,0,0.0,3,3,100.0,0,0,0,4,3,0,0,1,5
2025-01-08,SAS @ MIL,SAS,MIL,Away,L,7.25,1,0,1,0.0,0,0,0.0,1,1,100.0,1,1,2,3,0,0,0,0,4
2025-01-06,SAS @ CHI,SAS,CHI,Away,L,8.42,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,5,0,0,0,1,6
2025-01-04,SAS vs. DEN,SAS,DEN,Home,L,6.41,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,1,1,-5
2025-01-03,SAS @ DEN,SAS,DEN,Away,W,8.3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,6,0,0,1,0,8
2024-12-31,SAS vs. LAC,SAS,LAC,Home,W,8.23,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,6
2024-12-29,SAS @ MIN,SAS,MIN,Away,L,7.44,1,0,2,0.0,0,2,0.0,1,1,100.0,0,1,1,3,2,0,0,0,10
2024-12-27,SAS @ BKN,SAS,BKN,Away,W,5.38,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-5
2024-12-25,SAS @ NYK,SAS,NYK,Away,L,6.52,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,1
2024-12-23,SAS @ PHI,SAS,PHI,Away,L,6.42,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1
