Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,BKN @ LAL,BKN,LAL,Away,L,2.55,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
2025-01-14,BKN @ POR,BKN,POR,Away,W,4.47,6,2,4,50.0,2,3,66.7,0,0,0.0,0,1,1,2,1,0,1,1,3
2025-01-04,BKN vs. PHI,BKN,PHI,Home,L,7.23,3,1,4,25.0,1,2,50.0,0,1,0.0,0,1,1,3,1,0,2,0,-5
2025-01-02,BKN @ MIL,BKN,MIL,Away,W,6.37,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,1,0,-5
2025-01-01,BKN @ TOR,BKN,TOR,Away,L,4.35,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,2,1,0,1,0,7
2024-12-28,LAL vs. SAC,LAL,SAC,Home,W,6.36,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,0,4
2024-12-23,LAL vs. DET,LAL,DET,Home,L,6.24,5,1,3,33.3,1,3,33.3,2,2,100.0,0,0,0,0,0,0,1,1,-7
2024-12-21,LAL @ SAC,LAL,SAC,Away,W,5.36,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,0,-5
2024-12-19,LAL @ SAC,LAL,SAC,Away,W,5.52,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,1,1
2024-12-15,LAL vs. MEM,LAL,MEM,Home,W,6.47,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,2,0,7
2024-12-13,LAL @ MIN,LAL,MIN,Away,L,4.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,3,-6
2024-12-08,LAL vs. POR,LAL,POR,Home,W,6.25,4,1,4,25.0,0,2,0.0,2,2,100.0,0,0,0,0,0,0,0,1,-6
2024-12-06,LAL @ ATL,LAL,ATL,Away,L,6.08,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,1
2024-12-04,LAL @ MIA,LAL,MIA,Away,L,9.4,5,2,6,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,1,0,-7
2024-12-02,LAL @ MIN,LAL,MIN,Away,L,7.44,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,1,1,1
2024-11-29,LAL vs. OKC,LAL,OKC,Home,L,6.38,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,2,1,0,1,1,2
2024-11-27,LAL @ SAS,LAL,SAS,Away,W,3.38,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,4
2024-11-26,LAL @ PHX,LAL,PHX,Away,L,4.28,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-6
2024-11-23,LAL vs. DEN,LAL,DEN,Home,L,6.32,2,0,4,0.0,0,3,0.0,2,2,100.0,0,1,1,2,0,0,0,0,-1
2024-11-21,LAL vs. ORL,LAL,ORL,Home,L,5.15,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,0,3
2024-11-19,LAL vs. UTA,LAL,UTA,Home,W,6.13,2,1,3,33.3,0,1,0.0,0,0,0.0,1,2,3,2,1,1,0,0,4
2024-11-16,LAL @ NOP,LAL,NOP,Away,W,5.38,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,2,3,0
2024-11-15,LAL @ SAS,LAL,SAS,Away,W,6.23,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,12
2024-11-13,LAL vs. MEM,LAL,MEM,Home,W,5.57,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,4
2024-11-10,LAL vs. TOR,LAL,TOR,Home,W,6.38,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-2
2024-11-08,LAL vs. PHI,LAL,PHI,Home,W,4.1,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,1,0,0,0,0,1
2024-11-06,LAL @ MEM,LAL,MEM,Away,L,9.54,9,3,7,42.9,1,4,25.0,2,2,100.0,0,1,1,1,0,0,1,2,-6
2024-11-04,LAL @ DET,LAL,DET,Away,L,9.35,4,2,7,28.6,0,1,0.0,0,0,0.0,0,1,1,4,1,0,0,0,-3
2024-11-01,LAL @ TOR,LAL,TOR,Away,W,10.06,6,2,3,66.7,0,1,0.0,2,2,100.0,0,2,2,4,0,0,0,0,23
2024-10-30,LAL @ CLE,LAL,CLE,Away,L,8.59,2,0,2,0.0,0,2,0.0,2,2,100.0,0,2,2,4,0,0,0,0,-11
2024-10-28,LAL @ PHX,LAL,PHX,Away,L,9.2,2,0,2,0.0,0,2,0.0,2,2,100.0,0,1,1,6,0,0,1,0,12
2024-10-26,LAL vs. SAC,LAL,SAC,Home,W,8.52,3,1,3,33.3,0,1,0.0,1,1,100.0,0,0,0,1,0,0,0,1,0
2024-10-25,LAL vs. PHX,LAL,PHX,Home,W,9.2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,1,1,-4
2024-10-22,LAL vs. MIN,LAL,MIN,Home,W,7.59,3,1,4,25.0,1,3,33.3,0,0,0.0,0,0,0,1,1,0,0,0,3
