Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,MIL vs. TOR,MIL,TOR,Home,W,12.0,11,2,4,50.0,0,1,0.0,7,9,77.8,1,4,5,1,0,1,1,1,15
2025-01-15,MIL vs. ORL,MIL,ORL,Home,W,12.0,8,3,5,60.0,0,0,0.0,2,3,66.7,0,5,5,2,0,0,2,0,18
2025-01-14,MIL vs. SAC,MIL,SAC,Home,W,12.0,15,6,8,75.0,0,0,0.0,3,4,75.0,1,3,4,4,0,0,1,1,21
2025-01-12,MIL @ NYK,MIL,NYK,Away,L,12.0,13,5,9,55.6,0,0,0.0,3,5,60.0,4,1,5,0,0,0,2,1,-3
2025-01-10,MIL @ ORL,MIL,ORL,Away,W,12.0,10,5,10,50.0,0,1,0.0,0,2,0.0,3,2,5,1,3,0,1,2,-2
2025-01-08,MIL vs. SAS,MIL,SAS,Home,W,12.0,11,5,7,71.4,0,1,0.0,1,4,25.0,1,4,5,3,0,0,1,0,4
2025-01-06,MIL @ TOR,MIL,TOR,Away,W,11.15,4,2,4,50.0,0,1,0.0,0,0,0.0,1,4,5,4,0,0,2,0,11
2025-01-04,MIL vs. POR,MIL,POR,Home,L,10.38,8,4,7,57.1,0,1,0.0,0,0,0.0,0,2,2,0,0,1,3,1,-1
2025-01-02,MIL vs. BKN,MIL,BKN,Home,L,12.0,8,4,7,57.1,0,0,0.0,0,1,0.0,0,4,4,3,0,1,1,1,-7
2024-12-31,MIL @ IND,MIL,IND,Away,W,7.56,2,0,3,0.0,0,0,0.0,2,2,100.0,1,3,4,3,0,0,0,0,9
2024-12-20,MIL @ CLE,MIL,CLE,Away,L,7.31,5,2,5,40.0,0,0,0.0,1,4,25.0,0,1,1,0,0,0,2,0,-9
2024-12-14,MIL @ ATL,MIL,ATL,Away,W,11.09,7,3,4,75.0,0,0,0.0,1,2,50.0,0,6,6,4,0,2,1,1,0
2024-12-10,MIL vs. ORL,MIL,ORL,Home,W,10.39,11,4,7,57.1,0,0,0.0,3,3,100.0,0,1,1,0,1,1,2,0,-5
2024-12-08,MIL @ BKN,MIL,BKN,Away,W,12.0,11,5,8,62.5,0,0,0.0,1,1,100.0,1,5,6,1,0,1,0,0,2
2024-12-06,MIL @ BOS,MIL,BOS,Away,L,12.0,8,3,7,42.9,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,0,-2
2024-12-04,MIL vs. ATL,MIL,ATL,Home,L,10.33,10,2,4,50.0,0,0,0.0,6,10,60.0,2,2,4,4,1,0,0,0,2
2024-12-03,MIL @ DET,MIL,DET,Away,W,9.23,9,3,3,100.0,0,0,0.0,3,4,75.0,1,2,3,2,0,1,2,0,6
2024-11-30,MIL vs. WAS,MIL,WAS,Home,W,12.0,15,6,9,66.7,0,0,0.0,3,3,100.0,0,3,3,4,0,0,1,0,-1
2024-11-23,MIL vs. CHA,MIL,CHA,Home,W,9.39,11,5,5,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,3,1,1
2024-11-22,MIL vs. IND,MIL,IND,Home,W,11.24,13,5,8,62.5,0,0,0.0,3,3,100.0,1,3,4,4,0,0,0,1,9
2024-11-20,MIL vs. CHI,MIL,CHI,Home,W,10.48,7,3,3,100.0,0,0,0.0,1,2,50.0,0,2,2,3,0,0,0,0,1
2024-11-18,MIL vs. HOU,MIL,HOU,Home,W,9.58,2,1,3,33.3,0,0,0.0,0,2,0.0,0,2,2,2,0,1,3,0,-7
2024-11-16,MIL @ CHA,MIL,CHA,Away,L,10.38,6,3,6,50.0,0,0,0.0,0,0,0.0,1,5,6,6,0,1,0,1,5
2024-11-13,MIL vs. DET,MIL,DET,Home,W,12.0,22,7,10,70.0,0,0,0.0,8,8,100.0,1,1,2,0,0,1,0,0,-3
2024-11-12,MIL vs. TOR,MIL,TOR,Home,W,9.14,4,2,3,66.7,0,1,0.0,0,0,0.0,1,2,3,2,0,0,1,1,1
2024-11-10,MIL vs. BOS,MIL,BOS,Home,L,10.0,19,8,10,80.0,1,2,50.0,2,4,50.0,0,4,4,1,0,1,0,0,11
2024-11-08,MIL @ NYK,MIL,NYK,Away,L,12.0,8,3,7,42.9,0,0,0.0,2,4,50.0,3,4,7,2,0,2,0,1,-7
2024-11-07,MIL vs. UTA,MIL,UTA,Home,W,7.35,8,3,5,60.0,0,0,0.0,2,2,100.0,1,2,3,1,0,0,1,1,7
2024-11-02,MIL vs. CLE,MIL,CLE,Home,L,8.19,7,3,3,100.0,0,0,0.0,1,2,50.0,0,3,3,3,1,0,0,0,15
2024-10-31,MIL @ MEM,MIL,MEM,Away,L,8.18,7,3,5,60.0,0,0,0.0,1,2,50.0,1,5,6,1,0,1,1,1,-6
2024-10-28,MIL @ BOS,MIL,BOS,Away,L,12.0,11,5,8,62.5,0,0,0.0,1,3,33.3,0,3,3,3,0,0,2,0,1
2024-10-27,MIL @ BKN,MIL,BKN,Away,L,7.4,6,1,1,100.0,0,0,0.0,4,6,66.7,0,4,4,2,0,0,3,2,5
2024-10-25,MIL vs. CHI,MIL,CHI,Home,L,8.37,6,3,7,42.9,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3
2024-10-23,MIL @ PHI,MIL,PHI,Away,W,8.31,9,3,4,75.0,0,0,0.0,3,5,60.0,1,6,7,2,0,0,1,2,4
